Date,Open,High,Low,Close,Volume,Adj Close
7/25/2011,613.36,625.41,613,618.98,3131600,618.98
7/22/2011,605.39,619.5,604.27,618.23,3528200,618.23
7/21/2011,594.03,608.06,594.01,606.99,3469500,606.99
7/20/2011,602.18,602.83,595.35,595.35,2227800,595.35
7/19/2011,596.14,604.68,595.53,602.55,2967500,602.55
7/18/2011,592.49,602.05,592,594.94,4468300,594.94
7/15/2011,597.5,600.25,588.16,597.62,13732100,597.62
7/14/2011,539.12,542,526.73,528.94,6594400,528.94
7/13/2011,537,544,536.48,538.26,2790200,538.26
7/12/2011,528.16,539.42,526,534.01,2841200,534.01
7/11/2011,528.18,535.98,525.5,527.28,2839300,527.28
7/8/2011,532.95,537.65,527.27,531.99,4770200,531.99
7/7/2011,541,550.68,535.88,546.6,3935500,546.6
7/6/2011,533.5,538.51,533.04,535.36,2695600,535.36
7/5/2011,525.3,535.4,525.3,532.44,3849200,532.44
7/1/2011,506.74,521.18,506.38,521.03,3636700,521.03
6/30/2011,501.99,506.67,501.5,506.38,2428400,506.38
6/29/2011,496.54,500.25,492.38,497.57,2343000,497.57
6/28/2011,484.02,496.21,484.02,493.65,2715100,493.65
6/27/2011,474,488.4,473.6,482.8,3444700,482.8
6/24/2011,480.68,480.75,473.02,474.88,3805600,474.88
6/23/2011,482.13,482.86,473.73,480.22,4801700,480.22
6/22/2011,491.45,492.35,486.73,487.01,2407100,487.01
6/21/2011,487.19,493.94,484.73,493,2765400,493
6/20/2011,485,486.23,479.23,484.58,3028600,484.58
6/17/2011,506.18,506.69,484.8,485.02,5245400,485.02
6/16/2011,502.81,506.57,496.67,500.37,2757000,500.37
6/15/2011,505.03,508.35,500.61,502.95,2073300,502.95
6/14/2011,508.15,514.08,506.99,508.37,2341500,508.37
6/13/2011,510,510.2,502.17,504.73,2427300,504.73
6/10/2011,514.08,516.69,509.29,509.51,2439900,509.51
6/9/2011,520,520,515.64,516.73,1689100,516.73
6/8/2011,516.53,521.24,515.78,519.17,1653400,519.17
6/7/2011,522.89,524.63,518.99,519.03,1907600,519.03
6/6/2011,523.54,526.82,519.25,521.06,1942100,521.06
6/3/2011,522,527.6,521.5,523.08,1748500,523.08
6/2/2011,527.57,530.3,522.48,528.06,2204500,528.06
6/1/2011,528.04,533.2,525.31,525.6,2955900,525.6
5/31/2011,525,529.05,523.5,529.02,2687300,529.02
5/27/2011,518.48,521.79,516.3,520.9,1745800,520.9
5/26/2011,517.7,522.12,515,518.13,2118500,518.13
5/25/2011,517.33,522.77,517.25,519.67,1301600,519.67
5/24/2011,520.37,523.96,518.15,518.26,1888400,518.26
5/23/2011,516.6,520,513.4,518.39,2252700,518.39
5/20/2011,531.8,531.99,523.13,524.03,2317500,524.03
5/19/2011,532.73,536.54,529.72,531.25,2468700,531.25
5/18/2011,529.54,530.33,525.7,529.81,1953200,529.81
5/17/2011,515.43,531.22,515.03,530.46,3303600,530.46
5/16/2011,526.31,527.27,516.4,518.42,2958200,518.42
5/13/2011,534.61,535.92,529.05,529.55,2108700,529.55
5/12/2011,535.24,536.94,530.91,535.05,1400000,535.05
5/11/2011,540.14,543.55,533.69,535.45,2338800,535.45
5/10/2011,540,544.43,537.54,542.66,2042900,542.66
5/9/2011,535,538.49,531.1,537.68,1948700,537.68
5/6/2011,538.15,541.46,535.18,535.3,2056100,535.3
5/5/2011,533.86,539.42,531.5,534.27,1997800,534.27
