Date,Open,High,Low,Close,Volumne
7/16/2010 4:00:00 PM,469.12,470.56,459.52,459.61,7824800
7/16/2010 3:58:00 PM,491.73,494.7,482.68,494.02,4845100
7/16/2010 3:56:00 PM,489.88,493.83,486.46,491.34,3118000
7/16/2010 3:54:00 PM,482.25,492.99,480.28,489.2,3976300
7/16/2010 3:52:00 PM,472.37,479.44,471.08,475.83,3334400
7/16/2010 3:50:00 PM,471.96,473.26,462.78,467.49,4331500
7/16/2010 3:48:00 PM,453.55,457.33,449.66,456.56,2668900
7/16/2010 3:46:00 PM,438.31,451.29,435.38,450.2,3129700
7/16/2010 3:44:00 PM,444,447.67,433.63,436.07,2560100
7/16/2010 3:42:00 PM,441.62,442.28,436,436.55,1936000
7/16/2010 3:40:00 PM,445.29,448.4,433.63,439.49,3513600
7/16/2010 3:38:00 PM,454.96,457.83,444.72,444.95,3603200
7/16/2010 3:36:00 PM,463.44,464.55,451.12,454.26,3502100
7/16/2010 3:34:00 PM,472.59,477.55,469.01,472.08,1762300
7/16/2010 3:32:00 PM,477.06,477.65,470.56,472.68,2245200
7/16/2010 3:30:00 PM,479.66,482.75,473.26,475.1,1893600
7/16/2010 3:28:00 PM,486.89,486.89,478.16,482.05,2029100
7/16/2010 3:26:00 PM,489.9,496.6,485.73,486.25,2219700
7/16/2010 3:24:00 PM,499.9,500.97,484.89,488.56,2983500
7/16/2010 3:22:00 PM,502.51,503.47,498.13,500.03,2872900
7/16/2010 3:20:00 PM,503.45,505.87,496.69,500.08,1977300
7/16/2010 3:18:00 PM,496.17,504,496.11,501.27,2289300
7/16/2010 3:16:00 PM,483.08,500.4,482.18,497.99,4259600
7/16/2010 3:14:00 PM,494.48,494.5,483.19,483.19,2040400
7/16/2010 3:12:00 PM,482.5,488.71,481.62,488.5,1781700
7/16/2010 3:10:00 PM,480.37,488.5,475.84,487.01,2577900
7/16/2010 3:08:00 PM,487.22,488.88,472,474.02,2729000
7/16/2010 3:06:00 PM,487.85,488.84,477.54,484.78,2673400
7/16/2010 3:04:00 PM,499.06,500.91,483.15,485.52,3632700
7/16/2010 3:02:00 PM,499.72,509.25,496.7,498.72,3920300
7/16/2010 3:00:00 PM,495.11,508,494.7,505.6,3650700
7/16/2010 2:58:00 PM,486.68,493.87,481.46,493.37,2517900
7/16/2010 2:56:00 PM,480.43,491.06,480.12,482.37,2666800
7/16/2010 2:54:00 PM,492.74,493.45,483,485.63,2894800
7/16/2010 2:52:00 PM,484.95,492.31,481.05,490.46,2809100
7/16/2010 2:50:00 PM,482.07,489.76,475,475.47,3475600
7/16/2010 2:48:00 PM,468.15,477.45,464.01,477.07,3017400
7/16/2010 2:46:00 PM,480.73,489.79,476.8,477.16,4345600
7/16/2010 2:44:00 PM,469.06,485,464.4,472.05,9690800
7/16/2010 2:42:00 PM,485.07,485.58,473.8,475.01,4913300
7/16/2010 2:40:00 PM,496.26,499.44,487.74,494.43,3445700
7/16/2010 2:38:00 PM,510,510.97,497.07,498.37,2825500
7/16/2010 2:36:00 PM,506.78,508.36,498.35,507.97,2793800
7/16/2010 2:34:00 PM,509.77,510.99,496.25,507.53,4116000
7/16/2010 2:32:00 PM,516.5,522,510.37,510.88,3325800
7/16/2010 2:30:00 PM,512.04,512.04,502,505.39,3851800
7/16/2010 2:28:00 PM,515.67,519.88,508.22,509.05,3322600
7/16/2010 2:26:00 PM,513.97,522.82,512.6,521.65,4128000
7/16/2010 2:24:00 PM,499.97,505.32,481.33,493.14,5089000
7/16/2010 2:22:00 PM,508.75,517.52,460,498.67,4986600
7/16/2010 2:20:00 PM,500.98,515.72,500.47,509.76,4566900
7/16/2010 2:18:00 PM,526.52,526.74,504.21,506.37,6076300
7/16/2010 2:16:00 PM,526.5,532.92,525.08,530.6,1857800
7/16/2010 2:14:00 PM,531.13,537.68,525.44,525.7,2435400
