Transaction_ID	Time_Stamp	Items
session_4795	01-01-2003 17:59	{doc_154}
session_4797	02-01-2003 04:46	{doc_3d6}
session_479a	02-01-2003 07:50	{doc_16f}
session_47b7	02-01-2003 15:55	{doc_11d,doc_1a7,doc_f4}
session_47bb	02-01-2003 18:27	{doc_83}
session_47c2	03-01-2003 07:18	{doc_11d}
session_47cb	03-01-2003 11:40	{doc_368}
session_47d8	03-01-2003 16:00	{doc_11d,doc_192}
session_47e2	04-01-2003 09:48	{doc_364}
session_47e7	04-01-2003 12:58	{doc_ec}
session_47fb	05-01-2003 13:58	{doc_156,doc_15d,doc_165,doc_16b,doc_16e,doc_172,doc_185,doc_18f,doc_19d,doc_1d2,doc_1d7,doc_1da,doc_1ea,doc_224,doc_235,doc_23a,doc_24d,doc_31e,doc_367}
session_4809	05-01-2003 18:40	{doc_13d}
session_481c	06-01-2003 17:24	{doc_83}
session_4845	07-01-2003 13:37	{doc_2cd}
session_4848	07-01-2003 16:28	{doc_1a1}
session_484d	07-01-2003 21:41	{doc_256}
session_4855	08-01-2003 08:48	{doc_11d}
session_4877	09-01-2003 08:33	{doc_a2}
session_488d	09-01-2003 15:21	{doc_11d}
session_4893	09-01-2003 17:18	{doc_3c4,doc_3d6}
session_4894	09-01-2003 17:24	{doc_19f}
session_4898	09-01-2003 17:46	{doc_11d,doc_364}
session_489b	09-01-2003 17:46	{doc_11d,doc_364}
session_489c	09-01-2003 17:46	{doc_11d}
session_48a1	09-01-2003 17:46	{doc_11d,doc_364}
session_4897	09-01-2003 17:46	{doc_11d,doc_364}
session_48a0	09-01-2003 17:46	{doc_11d,doc_364}
session_489d	09-01-2003 17:46	{doc_11d}
session_48a5	09-01-2003 17:47	{doc_11d,doc_364}
session_489a	09-01-2003 17:47	{doc_11d,doc_60}
session_4896	09-01-2003 17:47	{doc_11d}
session_489e	09-01-2003 17:48	{doc_364}
session_48a6	09-01-2003 17:48	{doc_364}
session_489f	09-01-2003 17:48	{doc_364}
session_48a3	09-01-2003 17:49	{doc_19d}
session_48aa	09-01-2003 18:14	{doc_11d}
session_48ab	09-01-2003 18:21	{doc_83}
session_48ba	10-01-2003 10:02	{doc_24e}
session_48c3	10-01-2003 12:29	{doc_1a2,doc_36c}
session_48d0	10-01-2003 18:45	{doc_11d,doc_155,doc_16e,doc_196,doc_24e,doc_27b}
session_48d9	11-01-2003 10:25	{doc_2cd}
session_48dc	11-01-2003 16:56	{doc_71}
session_48e1	11-01-2003 21:56	{doc_163,doc_164,doc_16c}
session_48e2	12-01-2003 11:05	{doc_19a}
session_48f9	13-01-2003 11:26	{doc_19f}
session_48f4	13-01-2003 12:51	{doc_24f,doc_252,doc_3c4,doc_3d6,doc_a2}
session_4910	13-01-2003 22:24	{doc_16c}
session_wu430ff	15-01-2003 07:37	{doc_3f3}
session_494e	15-01-2003 09:11	{doc_24f}
session_4955	15-01-2003 12:23	{doc_16e}
session_496e	15-01-2003 19:42	{doc_173}
session_4989	16-01-2003 15:21	{doc_3fc}
session_498d	16-01-2003 15:33	{doc_19f}
session_4993	16-01-2003 20:42	{doc_16c}
session_4998	17-01-2003 09:41	{doc_36c}
session_49a4	17-01-2003 10:29	{doc_71}
session_49b5	17-01-2003 20:46	{doc_26f}
session_49c0	18-01-2003 14:50	{doc_ec}
session_49d5	19-01-2003 15:33	{doc_27b}
session_49de	19-01-2003 20:49	{doc_11d}
session_4a24	21-01-2003 09:19	{doc_364}
session_4ac7	25-01-2003 12:06	{doc_23a,doc_e8}
