Transaction_ID	Items
2	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
3	{income=$40,000+,sex=female,marital status=married,age=14-34,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
4	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
5	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=1-9,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
6	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
7	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=unemployed,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
8	{income=$0-$40,000,sex=male,marital status=divorced,age=14-34,education=no college graduate,occupation=laborer,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
9	{income=$0-$40,000,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
10	{income=$0-$40,000,sex=male,marital status=married,age=35+,education=no college graduate,occupation=retired,years in bay area=1-9,dual incomes=no,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
11	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=unemployed,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
12	{income=$0-$40,000,sex=female,marital status=cohabitation,age=14-34,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=hispanic,language in home=english}
13	{income=$40,000+,sex=female,marital status=married,age=14-34,education=college graduate,occupation=student,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
14	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=2+,number of children=0,householder status=rent,type of home=house,ethnic classification=white,language in home=english}
16	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
17	{income=$0-$40,000,sex=female,marital status=divorced,age=14-34,education=no college graduate,occupation=sales,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
19	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
21	{income=$0-$40,000,sex=male,marital status=divorced,age=35+,education=no college graduate,occupation=laborer,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
22	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=sales,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=hispanic,language in home=spanish}
23	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=no,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
24	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=no college graduate,occupation=sales,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=other,ethnic classification=white,language in home=english}
25	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
26	{income=$40,000+,sex=male,marital status=married,age=14-34,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
27	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
28	{income=$40,000+,sex=male,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
30	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=no college graduate,occupation=retired,years in bay area=10+,dual incomes=not married,number in household=1,number of children=0,householder status=own,type of home=other,ethnic classification=white,language in home=english}
31	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
32	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=yes,number in household=2+,number of children=1+,householder status=rent,type of home=house,ethnic classification=white,language in home=english}
33	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
34	{income=$0-$40,000,sex=female,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=1,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
35	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
37	{income=$0-$40,000,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=10+,dual incomes=no,number in household=1,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
38	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=homemaker,years in bay area=1-9,dual incomes=no,number in household=1,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
39	{income=$40,000+,sex=male,marital status=married,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=2+,number of children=0,householder status=own,type of home=house,ethnic classification=white,language in home=english}
40	{income=$0-$40,000,sex=female,marital status=divorced,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=1+,householder status=rent,type of home=apartment,ethnic classification=asian,language in home=other}
41	{income=$0-$40,000,sex=female,marital status=widowed,age=35+,education=college graduate,occupation=professional/managerial,years in bay area=1-9,dual incomes=not married,number in household=1,number of children=0,householder status=rent,type of home=apartment,ethnic classification=white,language in home=english}
42	{income=$0-$40,000,sex=male,marital status=single,age=14-34,education=no college graduate,occupation=student,years in bay area=10+,dual incomes=not married,number in household=2+,number of children=1+,householder status=live with parents/family,type of home=house,ethnic classification=white,language in home=english}
43	{income=$40,000+,sex=female,marital status=married,age=35+,education=no college graduate,occupation=professional/managerial,years in bay area=10+,dual incomes=yes,number in household=2+,number of children=1+,householder status=own,type of home=house,ethnic classification=white,language in home=english}
