,Predicted_censored
1,1
2,1
3,2
4,1
5,2
6,2
7,1
8,1
9,2
10,1
11,2
12,2
13,1
14,1
15,1
16,1
17,2
18,1
19,1
20,2
21,1
22,1
23,1
24,1
25,2
26,2
27,2
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,1
37,2
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,2
46,1
47,1
48,2
49,1
50,2
51,1
52,1
53,1
54,2
55,2
56,2
57,1
58,1
59,1
60,1
61,2
62,1
63,2
64,1
65,1
66,2
67,2
68,2
69,2
70,2
71,2
72,1
73,2
74,2
75,2
76,2
77,1
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,1
93,1
94,1
95,2
96,1
97,2
98,2
99,1
100,1
101,2
102,1
103,2
104,1
105,2
106,1
107,1
108,2
109,1
110,1
111,1
112,1
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,1
124,1
125,1
126,2
127,2
128,2
129,1
130,1
131,1
132,2
133,1
134,2
135,2
136,2
137,2
138,1
139,1
140,2
141,2
142,2
143,2
144,1
145,2
146,2
147,1
148,2
149,2
150,1
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,1
160,2
161,1
162,1
163,1
164,2
165,1
166,2
167,2
168,1
169,1
170,2
171,2
172,2
173,2
174,1
175,1
176,2
177,1
178,1
179,2
180,2
181,1
182,1
183,1
184,1
185,1
186,1
187,2
188,1
189,2
190,2
191,1
192,1
193,2
194,1
195,1
196,1
197,2
198,1
199,2
200,2
201,1
202,1
203,1
204,2
205,2
206,2
207,2
208,1
209,1
210,2
211,2
212,2
213,2
214,2
215,2
216,1
217,2
218,2
219,2
220,2
221,2
222,1
223,1
224,2
225,1
226,1
227,2
228,2
229,2
230,1
231,1
232,2
233,2
234,2
235,2
236,1
237,2
238,2
239,1
240,1
241,1
242,1
243,2
244,2
245,2
246,2
247,1
248,2
249,1
250,1
251,1
252,1
253,2
254,2
255,1
256,2
257,2
258,2
259,2
260,2
261,1
262,2
263,1
264,1
265,2
266,1
267,2
268,2
269,1
270,2
271,1
272,1
273,2
274,1
275,1
276,2
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,2
285,1
286,1
287,1
288,2
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,2
297,1
298,1
299,1
300,2
301,1
302,1
303,2
304,1
305,2
306,1
307,1
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,1
320,2
321,2
322,2
323,1
324,1
325,2
326,2
327,2
328,1
329,2
330,1
331,2
332,2
333,2
334,2
335,2
336,2
337,1
338,1
339,2
340,2
341,1
342,1
343,2
344,2
345,2
346,2
347,1
348,2
349,2
350,1
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,1
359,1
360,2
361,2
362,1
363,1
364,1
365,1
366,1
367,2
368,1
369,1
370,1
371,1
372,2
373,2
374,2
375,1
376,1
377,1
378,1
379,2
380,2
381,1
382,2
383,1
384,2
385,1
386,1
387,2
388,2
389,2
390,2
391,1
392,2
393,2
394,1
395,2
396,2
397,2
398,2
399,1
400,1
401,2
402,1
403,1
404,1
405,1
406,2
407,2
408,1
409,2
410,1
411,2
412,2
413,1
414,1
415,1
416,2
417,1
418,1
419,1
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,1
430,1
431,2
432,1
433,1
434,1
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,1
443,2
444,1
445,1
446,1
447,2
448,2
449,2
450,2
451,1
452,2
453,2
454,1
455,2
456,1
457,2
458,2
459,2
460,1
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,1
469,1
470,1
471,1
472,1
473,2
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,2
485,1
486,2
487,1
488,1
489,1
490,2
491,2
492,2
493,2
494,1
495,1
496,2
497,1
498,2
499,2
500,1
501,2
502,2
503,1
504,1
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,1
519,1
520,1
521,2
522,1
523,2
524,1
525,2
526,1
527,1
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,1
541,2
542,2
543,1
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,1
562,2
563,2
564,1
565,2
566,2
567,2
568,1
569,2
570,2
571,1
572,1
573,1
574,2
575,2
576,1
577,1
578,2
579,1
580,2
581,2
582,2
583,1
584,1
585,1
586,2
587,1
588,2
589,1
590,1
591,2
592,2
593,1
594,2
595,1
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,1
606,2
607,1
608,2
609,1
610,2
611,2
612,2
613,2
614,2
615,1
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,1
630,1
631,1
632,1
633,2
634,2
635,1
636,1
637,1
638,2
639,2
640,2
641,2
642,2
643,1
644,1
645,2
646,2
647,2
648,2
649,1
650,1
651,2
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,2
664,1
665,1
666,2
667,1
668,1
669,2
670,1
671,1
672,1
673,2
674,2
675,1
676,2
677,2
678,2
679,2
680,2
681,2
682,2
683,2
684,2
685,2
686,1
