,Predicted_Type
1,2
2,5
3,6
4,5
5,5
6,6
7,5
8,5
9,5
10,5
11,6
12,5
13,6
14,5
15,5
16,5
17,5
18,2
19,5
20,5
21,5
22,5
23,5
24,5
25,6
26,5
27,5
28,6
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,6
37,5
38,5
39,2
40,2
41,5
42,5
43,5
44,2
45,5
46,5
47,5
48,2
49,2
50,5
51,2
52,5
53,5
54,5
55,5
56,5
57,3
58,5
59,5
60,5
61,5
62,5
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,6
72,5
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,3
86,6
87,6
88,6
89,6
90,6
91,5
92,6
93,6
94,6
95,6
96,5
97,5
98,5
99,6
100,5
101,6
102,5
103,5
104,4
105,2
106,4
107,4
108,4
109,2
110,1
111,4
112,4
113,4
114,5
115,5
116,5
117,5
118,6
119,6
120,6
121,5
122,6
123,6
124,6
125,2
126,5
127,6
128,2
129,2
130,2
131,2
132,4
133,5
134,5
135,5
136,5
137,5
138,6
139,6
140,6
141,6
142,5
143,6
144,6
145,6
146,5
147,5
148,6
149,6
150,6
151,6
152,2
153,5
154,6
155,6
156,6
157,6
158,2
159,5
160,5
161,5
162,5
163,2
164,3
165,5
166,2
167,2
168,2
169,1
170,2
171,2
172,3
173,3
174,2
175,2
176,2
177,5
178,5
179,5
180,5
181,3
182,1
183,1
184,2
185,3
186,3
187,5
188,2
189,2
190,2
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,2
213,1
214,1
