,Predicted_Survived
1,2
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,2
14,2
15,1
17,2
18,1
19,2
20,1
21,1
22,1
23,2
24,1
25,2
26,2
27,2
28,2
29,1
30,2
31,1
32,1
33,2
34,1
35,1
36,1
37,2
39,1
40,1
42,1
43,1
44,1
45,1
46,1
48,1
49,1
50,1
51,1
52,2
53,2
54,2
55,2
56,2
57,1
58,1
59,1
61,1
62,1
63,1
64,1
65,2
66,2
67,1
68,2
69,1
72,2
73,2
74,2
76,1
77,1
78,1
79,1
80,1
82,1
83,1
84,1
85,1
86,1
87,1
88,2
89,2
90,2
91,2
92,2
93,2
94,1
95,2
96,1
97,1
98,2
99,1
100,1
101,1
102,1
103,2
104,1
105,1
106,1
110,1
111,2
112,2
113,2
114,2
115,2
116,1
117,1
118,2
120,1
121,1
123,2
124,1
125,1
127,1
128,1
129,1
130,1
131,2
132,1
133,2
134,1
136,1
137,1
138,2
139,1
140,1
141,2
142,1
143,1
144,2
145,2
146,1
147,1
149,1
150,1
151,1
152,2
154,2
155,1
156,1
157,1
159,1
160,2
161,1
162,1
163,1
164,1
165,1
166,1
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,1
176,1
178,1
179,1
181,1
182,1
183,2
184,1
186,1
187,1
188,2
189,1
190,2
191,2
192,2
193,1
194,2
195,2
196,2
198,2
199,2
200,2
201,1
202,1
203,1
204,2
206,1
207,1
208,2
209,1
210,2
211,1
212,1
213,1
214,2
215,2
216,1
217,2
218,1
219,1
221,2
222,1
223,2
225,1
226,2
227,2
228,2
229,2
230,2
231,2
232,1
233,1
234,1
235,1
237,2
239,1
240,2
241,1
243,2
244,1
245,1
246,2
247,1
248,1
249,2
250,2
251,2
252,2
253,1
254,1
256,2
258,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,2
267,1
268,1
269,2
271,2
272,2
273,2
274,2
275,1
276,1
277,1
279,2
280,1
281,1
282,1
283,1
285,1
286,1
287,1
288,1
289,1
290,2
291,1
292,1
293,1
295,1
296,2
297,1
299,2
300,1
301,1
302,1
303,1
304,1
