,Predicted_Type
1,1
2,1
3,3
4,3
5,1
6,3
7,3
8,3
9,1
10,1
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,3
28,3
29,1
30,1
31,3
32,3
33,1
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,1
46,1
47,1
48,1
49,1
50,3
51,3
52,3
53,3
54,3
55,1
56,3
57,1
58,3
59,3
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,1
70,2
71,1
72,2
73,2
74,1
75,1
76,2
77,2
78,2
79,1
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,1
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,1
143,2
144,2
145,1
146,1
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,1
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,1
170,2
171,2
172,2
173,2
174,1
175,1
176,1
177,1
178,2
