Litter_Number,Treatment,Survival_Time,Tumor_Status,Sex
1,1,101,0,f
1,0,49,1,f
1,0,104,0,f
2,1,91,0,m
2,0,104,0,m
2,0,102,0,m
3,1,104,0,f
3,0,102,0,f
3,0,104,0,f
4,1,91,0,m
4,0,104,0,m
4,0,102,0,m
5,1,104,0,f
5,0,104,0,f
5,0,104,0,f
6,1,98,0,m
6,0,62,0,m
6,0,77,0,m
7,1,77,0,f
7,0,97,0,f
7,0,79,0,f
8,1,91,0,m
8,0,98,0,m
8,0,76,0,m
9,1,89,0,f
9,0,104,0,f
9,0,104,0,f
10,1,104,0,m
10,0,104,0,m
10,0,98,0,m
11,1,88,1,f
11,0,96,1,f
11,0,104,0,f
12,1,96,0,m
12,0,71,0,m
12,0,91,0,m
13,1,104,1,f
13,0,94,0,f
13,0,77,1,f
14,1,79,0,m
14,0,104,0,m
14,0,99,0,m
15,1,96,1,f
15,0,104,0,f
15,0,104,0,f
16,1,61,0,m
16,0,88,0,m
16,0,85,0,m
17,1,82,0,f
17,0,77,0,f
17,0,104,0,f
18,1,63,0,m
18,0,104,0,m
18,0,102,0,m
19,1,70,1,f
19,0,104,0,f
19,0,77,0,f
20,1,104,0,m
20,0,104,0,m
20,0,102,0,m
21,1,89,1,f
21,0,91,0,f
21,0,90,0,f
22,1,104,0,m
22,0,80,0,m
22,0,92,0,m
23,1,91,0,f
23,0,70,0,f
23,0,92,0,f
24,1,104,0,m
24,0,104,0,m
24,0,101,0,m
25,1,39,1,f
25,0,45,0,f
25,0,50,1,f
26,1,104,0,m
26,0,53,0,m
26,0,102,0,m
27,1,103,1,f
27,0,69,0,f
27,0,91,0,f
28,1,65,0,m
28,0,104,0,m
28,0,91,0,m
29,1,93,0,f
29,0,104,0,f
29,0,103,0,f
30,1,86,0,m
30,0,104,0,m
30,0,75,0,m
31,1,85,0,f
31,0,72,0,f
31,0,104,0,f
32,1,104,0,m
32,0,100,0,m
32,0,102,0,m
33,1,104,0,f
33,0,63,0,f
33,0,104,0,f
34,1,95,0,m
34,0,104,0,m
34,0,95,0,m
35,1,104,0,f
35,0,104,0,f
35,0,74,0,f
