,Predicted_Adjusted,AuditLowriskProbability,AuditHighriskProbability
1,0,1,2.22044604925033e-16
2,0,0.999999999989435,1.05647150090392e-11
3,0,0.999999973220084,2.67799161542689e-08
4,0,0.521500147974896,0.478499852025104
5,1,0.428905186465557,0.571094813534443
6,0,1,2.22044604925033e-16
7,1,0.0380781706428498,0.96192182935715
8,0,0.999999999813221,1.8677892674657e-10
9,0,0.99999959037708,4.0962292001408e-07
10,0,0.999999999715654,2.84346072465931e-10
11,0,1,2.22044604925033e-16
12,0,1,2.22044604925033e-16
13,0,1,2.22044604925033e-16
14,0,1,2.22044604925033e-16
15,1,0.0312990577138215,0.968700942286179
16,0,0.999999827753083,1.7224691665645e-07
17,0,1,2.22044604925033e-16
18,0,0.999999999999999,1.49312611357583e-15
19,1,0.467631566631783,0.532368433368217
20,0,0.619796623831512,0.380203376168488
21,0,0.999918092248889,8.19077511114736e-05
22,0,0.9938633472831,0.00613665271689974
23,0,1,2.22044604925033e-16
24,0,0.997370716614304,0.00262928338569556
25,0,1,2.22044604925033e-16
26,0,0.9999393253794,6.06746205995919e-05
27,0,0.999975105388422,2.48946115776155e-05
28,0,0.98902692052535,0.0109730794746496
29,0,0.883909284200111,0.116090715799889
30,0,0.999057039306777,0.000942960693223136
31,0,1,2.22044604925033e-16
32,0,0.62722566119019,0.37277433880981
33,0,1,2.22044604925033e-16
34,0,1,2.22044604925033e-16
35,0,0.999999991518217,8.48178287702386e-09
36,0,1,2.22044604925033e-16
37,0,0.940749586762489,0.0592504132375112
38,0,1,2.22044604925033e-16
39,0,0.957795181830524,0.0422048181694757
40,0,0.999995687660971,4.31233902849477e-06
41,1,0.00508903742591738,0.994910962574083
42,0,1,2.22044604925033e-16
43,0,0.819459867326232,0.180540132673768
44,0,1,2.22044604925033e-16
45,0,0.985208569437605,0.0147914305623952
46,1,0.300692463681571,0.699307536318429
47,0,1,2.22044604925033e-16
48,1,0.113540513499566,0.886459486500434
49,0,1,2.22044604925033e-16
50,0,0.525445176341119,0.474554823658881
51,0,0.999999910655201,8.93447991895963e-08
52,1,8.86132603183931e-07,0.999999113867397
53,0,0.818413480563242,0.181586519436758
54,0,1,2.22044604925033e-16
55,0,0.999999999999998,1.57682961323678e-15
56,0,0.997490650430925,0.00250934956907536
57,0,0.999993489220132,6.51077986807209e-06
58,0,0.999997176507282,2.82349271784036e-06
59,0,0.999999999383696,6.16304357036385e-10
60,0,0.809551954540673,0.190448045459327
61,0,0.999852666447015,0.000147333552984596
62,0,0.999999999786399,2.13600709799945e-10
63,0,0.999999971810216,2.81897836835077e-08
64,0,0.737056286029723,0.262943713970277
65,0,0.988315138057325,0.0116848619426755
66,0,0.999999904067013,9.59329868892087e-08
67,1,0.0239843704869999,0.976015629513
68,0,0.999072244913347,0.000927755086652921
69,0,1,2.22044604925033e-16
70,0,1,2.22044604925033e-16
71,0,0.993865386393547,0.00613461360645327
72,0,1,2.22044604925033e-16
73,0,1,2.22044604925033e-16
74,0,0.999999999973973,2.60266862374862e-11
75,1,0.192053485185544,0.807946514814456
76,0,1,2.22044604925033e-16
77,0,1,2.22044604925033e-16
78,1,0.0105947567173215,0.989405243282679
79,0,0.999951820111333,4.81798886668043e-05
80,0,0.999999999999963,3.65127572769693e-14
81,0,0.999994556988862,5.44301113779175e-06
82,0,0.994358610224872,0.00564138977512804
83,0,0.999999994675999,5.32400128157209e-09
84,1,0.0873813058916707,0.912618694108329
85,0,0.999999998777641,1.22235851780218e-09
86,0,0.987244456791644,0.0127555432083565
