,Predicted_Adjusted
1,2.22044604925031e-16
2,1.29118215443773e-06
3,5.92342555258135e-06
4,0.497194414678809
5,0.777518416835873
6,5.78049636929807e-10
7,0.979375154446946
8,6.08679479020203e-09
9,2.94303275049846e-05
10,1.86527833468453e-06
11,1.07810256118243e-13
12,2.01328552538758e-12
13,2.22044604925031e-16
14,1.05074830573478e-13
15,0.973330213728021
16,1.65136159590612e-05
17,2.57997389634169e-08
18,1.04388662610937e-10
19,0.512277929790457
20,0.461293211156394
21,0.000648108968380419
22,0.00212731455042743
23,2.22044604925031e-16
24,0.0022537531618272
25,2.22044604925031e-16
26,0.00040276805590618
27,0.000232948622806476
28,0.0117060750497976
29,0.372679600735838
30,0.000996735995916202
31,2.22044604925031e-16
32,0.673015239161011
33,2.22044604925031e-16
34,3.83730382129986e-13
35,1.25226878651693e-05
36,2.22044604925031e-16
37,0.060292856725774
38,3.81960986385285e-12
39,0.0271559304021319
40,0.000545220220477607
41,0.986850667368446
42,5.152027049959e-10
43,0.194305953398546
44,2.22044604925031e-16
45,0.00757519127153849
46,0.628518941811379
47,2.22044604925031e-16
48,0.921429342032674
49,2.22044604925031e-16
50,0.736441338781595
51,6.90566012488217e-05
52,0.999943106191302
53,0.0879906622604216
54,2.22044604925031e-16
55,1.05751278435309e-10
56,0.00298213190458124
57,7.77933623586424e-05
58,0.000121290978627579
59,5.38635289465111e-06
60,0.159802346183757
61,0.00189112426296095
62,4.30502268209966e-10
63,1.51301820686714e-05
64,0.18054934495179
65,0.0168166896986437
66,1.58685954877875e-05
67,0.96906152232341
68,0.000820379661613237
69,2.22044604925031e-16
70,1.19767981173423e-13
71,0.00967087033617714
72,1.0998488855601e-10
73,2.22044604925031e-16
74,2.30840618368555e-09
75,0.838318904036056
76,2.22044604925031e-16
77,2.22044604925031e-16
78,0.993374522246216
79,0.00112460306668978
80,1.08823950726391e-07
81,0.000134961221801705
82,0.00445458449364424
83,1.24299438762439e-05
84,0.953837997495906
85,5.84930606454324e-06
86,0.0143354675364956
87,2.22044604925031e-16
88,0.0195966089091095
89,2.42359392514954e-06
90,1.97836262733375e-10
91,0.98947095050284
92,0.0331856365695311
93,3.45253342460905e-07
94,0.999054417619851
95,0.90394468565032
96,0.471134399308338
97,0.0254624545638861
98,0.115091928710492
99,0.0833212808861607
100,2.88052179558238e-08
101,0.0115653991310139
102,0.00169219595970141
103,0.908570136485421
104,1.06613921158336e-05
105,0.450545368767366
106,1.97454210541197e-05
107,4.07090660754944e-13
108,0.0918574205841026
109,3.1646848749002e-13
110,1.19074538823992e-09
111,3.02077350449474e-13
112,5.57685711571692e-05
113,0.922463419629558
114,7.87057884816697e-06
115,9.63359695688021e-06
116,0.304768588460562
117,0.00149081087282349
118,2.22044604925031e-16
119,0.877239635806201
120,3.19942960211519e-10
121,3.6632354925801e-07
122,2.22044604925031e-16
123,6.48256526897338e-10
124,4.06603330753272e-13
125,0.942054058572863
126,9.97794274315034e-13
127,1.40226909515958e-06
128,0.993682635508763
129,0.0612568527352085
130,2.22044604925031e-16
131,2.41916219663012e-06
132,5.89336879696982e-11
133,0.963908621867261
134,0.0438978618282855
135,0.0848101209840268
136,3.78468397596588e-07
137,3.06644249815148e-13
138,2.22044604925031e-16
139,2.22044604925031e-16
140,1.68578131251121e-07
141,6.77921318897202e-11
142,2.22044604925031e-16
143,5.36895573509143e-10
145,0.00110296522077756
146,0.000292664558062806
147,0.865981124175568
148,0.000722270481333684
149,2.05504793196505e-12
150,0.950942479343563
151,0.0127725989329165
152,0.932309148729805
153,0.0613686885861494
154,6.6774971361149e-06
155,0.000140390202565585
156,0.955888797290089
157,0.00500447748971393
158,0.0795507791544255
159,0.444956766084922
160,0.00701947937321568
161,0.21422192019931
162,0.109512851986141
163,0.0615155222106289
164,0.0777485577677766
165,2.90517355210321e-06
166,0.951944039783071
167,2.22044604925031e-16
168,0.00670887832434683
169,0.717023828919105
170,2.22044604925031e-16
171,4.5775030538602e-09
172,2.22044604925031e-16
173,2.66845893298652e-05
174,1.39944078158262e-13
175,2.22044604925031e-16
176,4.33466923742015e-09
177,4.54765956457697e-05
178,3.97368328235746e-11
179,0.99990860543768
180,0.801601314126142
181,0.0266869712659818
182,1.15184400637071e-07
183,5.59337846617152e-05
184,0.00231575944112373
185,0.0347247678317058
186,8.02228101922081e-07
187,2.22044604925031e-16
188,2.22044604925031e-16
189,0.989673902400936
190,0.0122495023167181
