,Predicted_RetailPrice
1,20372.8228642802
2,19923.2904381049
3,30760.5960809541
4,31979.8056985152
5,35734.0847045191
6,31603.9518263821
7,35820.1444911208
8,31432.4976945466
9,31156.055752315
10,27078.0910387173
11,28536.3270500227
12,26636.2750929189
13,26384.8681942795
14,24307.9577255933
15,26264.0423694141
16,28918.2450862098
17,26210.671933458
18,26937.7295010487
19,26177.783644474
20,29465.6516903638
21,27731.7744724429
22,26313.8433456693
23,26249.1831447559
24,28594.7958055505
25,30965.2601482411
26,30229.6043771332
27,31142.342911487
28,30533.01057318
29,28975.6834631757
30,30043.2054566428
31,35556.3538978936
32,32594.959745028
33,38145.8594258497
34,33558.4098981132
35,26256.3511354425
36,31594.4704292928
37,33085.6299524517
38,28329.0589216905
39,28230.9033214145
40,30239.6797989132
41,25887.6541219704
42,28207.4679373145
43,24802.8906918549
44,25635.806364349
45,22823.8333066115
46,29510.080141229
47,25040.3446797623
48,31974.536739245
49,26191.2379943996
50,26434.2296832853
51,25517.6398105013
52,25735.0222249832
53,29491.6498167484
54,28098.4634693042
55,28669.4297633887
56,31437.5059899736
57,31057.400806516
58,28969.4726838657
59,31084.7307587006
60,30390.9202784885
61,29881.4792609277
62,14850.8896980492
63,15120.6877205239
64,14548.8834684351
65,13670.0271712098
66,13894.2360904803
67,15265.5962724086
68,13376.570175025
69,31757.8304302369
70,44747.4097074604
71,43731.3749939299
72,35412.6687158524
73,34666.5894893047
74,38668.4283542548
75,32264.4630134181
76,14075.521086577
77,14002.1988801695
78,14325.3835407877
79,13427.8352461442
80,15476.5207892486
81,13638.1196523673
82,13820.6937140049
83,13464.1274038155
84,13991.5478236182
85,14065.5219161929
86,14073.6093184789
87,14597.9064782233
88,14400.3733826258
89,14346.0105366141
90,33123.2551854653
91,33114.8468144052
92,25688.6049725389
93,32212.9622410641
94,27985.5756935664
95,32967.6340783431
96,29262.1699066541
97,28542.8920166839
98,31841.4226030158
99,27967.9076615915
100,32768.8469447166
101,30452.7450967171
102,28969.8742242569
103,28240.5395626923
104,14495.9994204643
105,14090.7407186029
106,14582.5668506746
107,14333.7726827308
108,13433.928454478
109,14688.4747926115
110,13355.7773985602
111,19980.2214689621
112,20879.5211360726
113,19978.6805055452
114,20133.9625668593
115,19925.9178874788
116,22658.5897039272
117,23534.7148990107
118,21153.0972111529
119,19019.8213844892
120,20652.9160664247
121,21348.8585565635
122,20145.3144142033
123,20292.271157144
124,21121.5512217187
125,22569.5881156697
126,22281.7091720981
127,21349.9807579771
128,21965.7855348931
129,20501.7206403668
130,19708.8954571484
131,20202.1573168923
132,20401.7458639633
133,19480.2788075723
134,19759.3616193791
135,19810.1299789074
136,21248.3131296576
137,21393.7426132274
138,21178.8248536861
139,43115.7987284207
140,39669.1509457405
141,40409.7603305045
142,44597.2734463978
143,38797.3521939024
144,43781.9644633426
145,45015.7700914564
146,32772.6460185924
147,40606.6560689092
148,34147.2135983471
149,39213.2732331383
150,47232.462415269
151,49275.8433116796
152,40281.4677241294
153,19124.4850597505
154,19637.8356737786
155,19530.1819713274
156,17612.3811079854
157,19320.9080711114
158,20679.4916562687
159,21436.7377787555
160,17889.0149308807
161,17527.308748783
162,18712.1380596545
163,17363.081923581
164,18139.4806225762
165,19476.5700180171
166,20280.4419319148
167,17861.5029929913
168,18124.9030162425
169,17616.658273279
170,18280.7181377952
171,17398.633960588
172,17885.5153922997
173,19199.3921313093
174,13766.9536740764
175,13185.1749166325
176,14398.6917664366
177,13968.3153691614
178,14228.1998149228
179,14103.8331461329
180,14259.1786476076
181,18671.4512122017
182,18448.0801054327
183,19301.1403306982
184,17695.380446332
185,17761.8582481467
186,19097.598404716
187,19432.0510873081
188,27720.714086638
189,27513.5922238644
190,26201.2707620243
191,28112.7639447045
192,28192.1005469434
193,25870.4777190848
194,25427.7332103134
195,93348.7894810218
196,113189.017376308
197,44681.3504504508
198,62079.8055996601
199,68955.6449655504
200,89397.090387197
201,79908.4310781633
202,18927.9440067096
203,17891.5273657489
204,18098.5091221789
205,17121.5774347099
206,18448.2335498479
207,16091.691326106
208,17655.9530336378
209,20747.0190245088
210,20627.4960747367
211,19627.1166195293
212,19883.0282693701
213,20957.2240581684
214,20072.7274523108
215,21187.4113262045
216,32266.2187371707
217,28289.9999907231
218,35740.5301439643
219,33692.2614274927
220,31309.8227533408
221,37394.9021659409
222,35119.6281146472
223,24181.0784642399
224,30660.1230731228
225,25503.1944575108
226,21022.524038976
227,26443.3790893187
228,26574.1111049322
229,26232.6841223045
230,31465.4549551734
231,29923.1875074838
232,32055.4031621851
233,25752.9494558382
234,31663.528183007
235,35980.0800486765
236,31323.1484829879
237,29013.2749259168
238,29608.0639615439
239,35240.372538612
240,31287.2082361051
241,14387.7762061377
242,13447.1201445662
243,13272.2939292354
244,14587.5623419757
245,13746.2258717123
246,14256.0070925456
247,13891.0385572501
248,13916.2866221667
249,13734.7139794535
250,13588.0157159151
251,14038.7788460727
252,14495.765434504
253,14173.0039204151
254,14082.8543450457
255,20319.5884641569
