,Predicted_RetailPrice
1,20241.5228009364
2,21597.9677465253
3,35584.8738837428
4,36022.0500230034
5,38056.3198810898
6,35818.9222894141
7,38093.0445318857
8,35928.0229457188
9,35570.4598194355
10,25930.28675703
11,26794.150122299
12,25632.1209993782
13,25436.7247712196
14,23428.1094538807
15,25341.4866815956
16,27213.8923745643
17,25299.1391177591
18,25861.606137845
19,25272.9574289141
20,27564.7972915001
21,26405.7743410201
22,25380.8470728793
23,25329.713707417
24,28594.8852183136
25,30057.1940409173
26,29627.9197734791
27,30193.9254637443
28,29843.8991269711
29,28845.9834287799
30,29515.8129447335
31,37943.4858386851
32,36547.7733924051
33,39022.7580599315
34,37028.8838894358
35,32538.6607440337
36,36017.1109742048
37,36629.34898091
38,26654.1044443832
39,26790.4410857281
40,27872.3436978213
41,25002.6818213745
42,26570.9907610029
43,23912.9343371232
44,24628.450021531
45,22170.3150932382
46,27629.1337089302
47,24325.1451495192
48,29055.772176933
49,25283.6761068976
50,25475.3822983733
51,24733.1577770229
52,24913.9695744825
53,27581.1388825241
54,26699.2444648519
55,28644.6128555158
56,30322.1738179525
57,30145.9549868672
58,28841.941960032
59,30161.4179977287
60,29760.2582954931
61,29417.4119665241
62,15138.4849876416
63,15831.1819373513
64,14374.9988263566
65,14232.0680556458
66,15080.2303447156
67,16377.4640825575
68,13595.2785034462
69,36802.9108299667
70,41795.7061778954
71,41512.1005014135
72,38541.5966221902
73,38246.0666050261
74,39876.7113867808
75,37072.9863719448
76,12734.2798860089
77,14801.8568043578
78,13411.1380432632
79,13133.2573595795
80,16247.1948080823
81,11489.6832276933
82,12018.764201601
83,13242.9041638699
84,14772.1607948625
85,12706.6924689038
86,12729.0084050334
87,14122.9636909882
88,13609.697160007
89,13465.9614454084
90,30403.8070325675
91,30363.1922795272
92,25594.7863051222
93,29937.8081143333
94,27339.9979400778
95,30325.9648301626
96,28227.9154019135
97,26875.9474432581
98,28858.3757221112
99,26482.5192464533
100,29343.8791199548
101,28039.690377087
102,27121.5741071874
103,26671.0625493437
104,12978.3406507024
105,14165.4045301103
106,13202.0271600961
107,12551.8778397845
108,12270.1314033854
109,13472.1027020743
110,12032.2118953579
111,19751.1237037114
112,20928.5968376056
113,19749.0151113212
114,19959.8743503412
115,19676.6201059243
116,23186.0017074592
117,24046.9859172619
118,21470.3103659664
119,18370.6985522604
120,20844.9370062396
121,21503.7154120327
122,19975.1616451701
123,20374.8966192575
124,21228.368389079
125,23090.9393338677
126,22574.8803462543
127,21672.0080217665
128,22425.6784347595
129,20649.892210146
130,19338.3423938007
131,20015.0248350224
132,20519.3351979862
133,19013.0920176124
134,19445.5535231649
135,19479.9695160092
136,21382.6470656287
137,21760.7689677164
138,21298.3033700207
139,41479.3310842977
140,40415.0434248732
141,40630.9740793072
142,41900.1709821751
143,40069.2099233514
144,41672.0915719685
145,42014.0349712459
146,37517.4860486733
147,40696.5161594359
148,38151.972292562
149,40254.9661192505
150,42619.9282008924
151,43063.0596853705
152,40587.9236513406
153,22045.4150407102
154,22792.0324628735
155,20367.9277145483
156,19593.29780694
157,20064.9932744896
158,21922.3117381908
159,22855.3638708544
160,17670.5185045077
161,17040.4008119029
162,19050.0894253251
163,16542.2648596062
164,17925.1743850414
165,20159.3603890739
166,21104.0531293006
167,17456.5397263195
168,17864.5280042942
169,16995.0850754017
170,18157.8224120935
171,16642.9744957673
172,17664.5441594021
173,19790.9082184154
174,14513.389423705
175,12762.7305917413
176,14223.1855239031
177,15085.3451095467
178,15836.0283499869
179,15700.8837210935
180,16086.3803469061
181,18986.4802215541
182,18595.8391317405
183,19737.5095444184
184,17133.0221609273
185,17451.927760057
186,19639.2652823535
187,19928.161439699
188,26176.7809549971
189,26064.8741918129
190,25034.0995955412
191,26487.9983981131
192,26506.2485159658
