,Predicted_RetailPrice
1,20402.6779588009
2,19468.4353105555
3,29767.8097751267
4,31889.2356348661
5,34905.7506200838
6,31481.2365154329
7,34995.5061150872
8,30710.5612827055
9,30996.1552311119
10,26710.4759813558
11,28539.3137396545
12,26055.4133737473
13,25792.686298612
14,24137.4940255791
15,25666.5416828591
16,28677.6895264413
17,25610.8469866278
18,26370.8931202187
19,25576.5340884086
20,29266.9470624672
21,27406.9017995572
22,25718.5253528914
23,25651.0337993092
24,29150.1648833963
25,31868.0405685501
26,31019.0310567494
27,31795.9733392705
28,31103.3858751837
29,29583.4032175478
30,30804.7067218591
31,35051.2675634478
32,31926.3205341366
33,37432.1995165944
34,32938.5820180281
35,25196.4924660984
36,30879.5947912336
37,32799.6004141227
38,28312.9057283553
39,27729.8478316565
40,30411.6064131775
41,25448.9155202768
42,28180.228742234
43,24507.404547966
44,25398.4881568939
45,22241.3597901442
46,29083.1208685829
47,24393.4090827951
48,31715.9771018088
49,25590.5705291197
50,25844.2434103085
51,24889.0283215044
52,25115.1617651228
53,29294.9793840835
54,27590.2508611647
55,29234.953071003
56,32415.709025158
57,31699.2371262776
58,29576.3282292457
59,31730.3551434167
60,30942.3312682101
61,30619.0110570584
62,14892.9787961857
63,15127.5617546461
64,14561.7035113394
65,14109.669812648
66,14246.6715416285
67,15145.3313269821
68,13604.0449089948
69,32196.2023353817
70,47460.3967313878
71,46215.7938226812
72,36715.8567333639
73,35496.0341409721
74,40145.1018782966
75,32766.2494458549
76,13374.7513277603
77,13784.5179496073
78,13621.4696838329
79,13178.0752501463
80,14762.4878293793
81,12943.6635850307
82,13123.4771249064
83,13216.2829947558
84,13773.2376709156
85,13364.8849873805
86,13372.8649141189
87,13890.9478556073
88,13695.5816599282
89,13641.8521815072
90,33212.4117970587
91,33505.5557165716
92,25389.5950415543
93,32214.8594949457
94,27859.4442151894
95,33041.5010357304
96,29016.9181181905
97,28660.4093729474
98,32336.316513135
99,28028.0914261985
100,33384.9598215109
101,31038.2780942293
102,29364.0837563346
103,28327.5994908779
104,13888.2784653524
105,13977.7511526346
106,13975.1422115221
107,13725.6277757067
108,13274.1755410849
109,14081.4790827372
110,13190.8259047486
111,19865.3005845755
112,20840.6294803568
113,19863.6358667417
114,20031.5004093688
115,19806.6493025811
116,22480.9539415509
117,23576.6818155474
118,20870.3879356109
119,18832.0634096051
120,20339.2599843166
121,21352.6823170463
122,20043.7809611568
123,19957.5171056602
124,21104.425903075
125,22385.239110175
126,22376.67894804
127,21201.4700288937
128,21737.5618085381
129,20179.0958284605
130,19677.2082632603
131,20215.7665522523
132,20073.2887922976
133,19428.42961757
134,19626.9300353892
135,19787.5388185017
136,21242.8097880787
137,21126.623237332
138,21166.9316605167
139,44584.1033690031
140,40154.8560302724
141,41447.5568423244
142,46323.0581023468
143,39602.6626719106
144,45364.1214483136
145,46817.1212189797
146,32572.3421100748
147,41674.0625272349
148,34379.912946472
149,39644.996740692
150,48799.1696605013
151,51918.7488304914
152,41300.1146508239
153,19560.5776211224
154,20149.3325709481
155,19023.9386940074
156,17847.7973846602
157,18807.0860554047
158,20220.2359065854
159,21013.4370516666
160,17779.5864957344
161,17389.7954002479
162,18577.4219351198
163,17395.4734875341
164,18160.6712652095
165,19506.5952846595
166,20532.2436207621
167,17856.6111510844
168,18234.6345462447
169,17674.0159530542
170,18315.4973380676
171,17352.2503371663
172,17775.8087263589
173,19103.4430721059
174,14222.6216604377
175,13547.7185149489
176,14217.2413455111
177,14457.932725654
178,14703.9498912005
179,14431.1083088184
180,14667.3217160242
181,18533.6032463906
182,18384.7399291383
183,19440.8789196415
184,17760.6461218139
185,17642.4019313556
186,18993.3576806562
187,19586.1233942014
188,28924.9171435522
189,28456.9051350827
190,27130.787672831
191,29159.3752675394
192,29487.1440251657
193,26743.8180342028
194,26042.236862494
195,102288.679292873
196,129463.770921246
197,44389.4742011837
198,63803.7870441636
199,71851.017639272
200,97146.2658228837
201,85139.9470453555
202,19159.0576522829
203,18204.7475272196
204,18439.2411692193
205,17256.4432338912
206,18836.8361570733
207,16191.0055115112
208,17851.5578339975
209,20813.5313495841
210,20566.5288523375
211,19484.4181190244
212,19525.5611124594
213,20925.2598562828
214,19965.2764389447
215,20906.8971562012
216,31921.335477496
217,27920.7290033266
218,36019.5017018361
219,33079.5491290112
220,31162.5510502917
221,37478.754409156
222,34265.7543671453
223,24000.8324246287
224,30559.2596431828
225,24874.0104513518
226,20381.5249995797
227,26455.9287246876
228,25990.4184577828
229,26040.0020716546
230,32164.5080537003
231,30666.8778383226
232,33135.4509600543
233,25776.9412838122
234,32390.8647942594
235,37408.1104411454
236,32282.8959862405
237,29626.2329011117
238,30618.0508143428
239,37367.5134105797
240,32241.1808393078
241,13683.1298284749
242,13198.376186491
243,13014.4936125992
244,13880.7119547605
245,13513.7828941657
246,13552.9324362274
247,13192.8061869937
248,13217.6961631346
249,13038.7750854786
250,13346.8233657129
251,13338.4998227171
252,14308.6742685026
253,13470.9674336837
254,13381.9875130128
255,19882.5402112428
256,18217.3259485381
257,17850.458465002
258,18662.5964585639
259,19780.0755168818
260,17937.0213134122
261,20369.9713580713
262,11634.2760958692
263,11792.9076098968
264,12223.2021177775
265,12095.6687148439
266,11370.0759691639
267,12333.9766438976
268,11836.727107459
269,15082.8325983205
270,14291.2285665217
271,16063.1269091842
272,14993.5488108703
273,15214.4149453229
274,15440.0422113408
275,15616.1023179254
276,14149.3279904719
277,14061.778438168
278,14097.5309180987
279,12416.3743838577
280,13698.896205893
281,13733.203271333
282,12973.5921120204
283,14297.4013699126
284,13473.4720689961
285,12792.8449378851
286,13285.7467965167
287,12421.3963496344
288,13284.4437673388
289,14184.1128626156
290,12703.2034957957
291,13071.1457977758
292,13579.60646552
293,13213.106652704
294,12915.6436102473
295,13502.5099747456
296,12297.6640820491
297,18458.992386504
298,17628.991829456
299,20404.0558552876
300,17411.1317397055
301,18202.9003806932
302,17160.2947574461
303,18014.0700142112
304,18185.979634857
305,17730.0536792402
306,16288.3338442446
307,17388.0990829104
308,16767.064763761
309,20882.2493600668
310,17156.9410156833
311,12861.9567475461
312,13873.7385002683
313,13861.3660383375
314,14973.8698329572
315,13808.6093485302
316,14255.0367319426
317,14296.0172146645
318,13326.5169702423
319,13136.6445984043
320,13573.3214813264
321,13037.8338985348
322,13131.6721648448
323,13868.6145627536
324,13687.3610584786
325,18170.5786834194
326,18573.5516511002
327,16614.1919966917
328,18940.5422449381
329,19511.7858484441
330,20359.1378651744
331,11726.5252498948
332,11871.6395605072
333,11726.6219390493
334,12250.2448179844
335,11963.7657078532
336,11613.7694333883
337,11809.2904114517
338,15675.051487743
339,17312.394936339
340,16053.6983782812
341,15774.5869779473
342,15577.6181836968
343,15494.3739462309
344,15580.0917266906
345,13769.1011156096
346,12220.441147862
347,13540.948815987
348,13368.8198879695
349,12743.634016036
350,12632.2717105016
351,13684.3513502937
352,13047.2231005827
353,13794.0954787842
354,13205.7453512171
355,14977.5174243884
356,13724.0794152745
357,13952.015255695
358,13150.3095609264
359,18018.0192845653
360,18431.3259301347
361,18589.8494993323
362,18396.7557756894
363,17895.0279070989
364,19877.241127184
365,16691.9897898274
366,15755.7142567723
367,17229.6548003615
368,16657.548138003
