,Predicted_RetailPrice
1,20355.7940894672
2,21215.6708904022
3,32293.2198487799
4,32147.9982498246
5,35953.4900874766
6,31882.4251219287
7,36014.1471655457
8,32815.3028764985
9,31563.4867733823
10,27443.6954604717
11,27667.3031509367
12,27119.7277894984
13,26937.6442293256
14,24763.2197553148
15,26849.7782784545
16,28734.8952299245
17,26810.8925688179
18,27336.7460769089
19,26786.9074911623
20,29109.2991981315
21,27908.236174771
22,26886.0222922163
23,26838.956412714
24,28439.5577494182
25,30032.7440956633
26,29546.84002926
27,30140.8841029218
28,29740.6475480625
29,28700.9983796402
30,29422.5224249711
31,35838.8360779994
32,33689.2687430099
33,37620.9464272394
34,34400.4999308203
35,28692.7923274602
36,32938.1328514984
37,32909.4344883437
38,27531.2302078409
39,28251.7878573461
40,28761.7338143187
41,26580.5591708055
42,27451.1052886822
43,25113.6491253684
44,25702.7896036395
45,24251.5914870548
46,29132.2954114462
47,25946.6060880006
48,30763.2048028592
49,26796.7216953382
50,26973.4736827391
51,26301.7865212639
52,26462.3140250017
53,29126.9730439752
54,28159.2423649862
55,28490.9546921482
56,30340.7389932158
57,30085.3965739424
58,28696.7523932198
59,30103.2603373165
60,29646.5771585341
61,29314.2624526947
62,14697.6866162729
63,14878.8992184059
64,14490.2734339572
65,13113.8893682942
66,13437.1331680181
67,15206.8229766586
68,13094.1865898151
69,34457.3758644544
70,44144.9950618404
71,43451.0795683111
72,37385.1748493033
73,36791.0901792616
74,39839.8965657661
75,34871.3235988824
76,15574.1293953289
77,14570.3412280562
78,15786.4021368849
79,14132.0756200777
80,16742.5599191251
81,15198.345348274
82,15355.8531332726
83,14160.063935962
84,14562.3039770819
85,15565.598585362
86,15572.4985816575
87,16015.9745960194
88,15849.7753499027
89,15803.8491722798
90,34928.7540728613
91,34932.5871800953
92,28810.9082746696
93,34218.2999269537
94,30785.4201786688
95,34808.031829229
96,31841.8167207362
97,28217.5182083053
98,30385.6971633211
99,27823.5094949229
100,30968.458442243
101,29498.8950011602
102,28513.8218441532
103,28010.9487108764
104,15104.1636524598
105,13936.5819217648
106,15169.5396755843
107,14981.0715056894
108,13482.3240524682
109,15249.2317707922
110,13427.3831463913
111,20077.6777163394
112,20701.9667610517
113,20076.5935254307
114,20185.5953696443
115,20039.4405290701
116,22385.0922018562
117,22978.2686628547
118,21339.6616274132
119,19392.0937293773
120,20982.4765767963
121,21021.2209164947
122,20193.5440379054
123,20721.7839875029
124,20867.1533754547
125,22324.4941322673
126,21642.8603589044
127,21482.7997921264
128,21909.4308253657
129,20873.5092730093
130,19889.3571630002
131,20236.7786354386
132,20801.2000518281
133,19726.5775841505
134,19921.7720009687
135,19961.0805592418
136,20953.1990558547
137,21509.7271563144
138,20906.0704063455
139,41038.1638262023
140,38789.6073589243
141,39293.1724432237
142,41962.5997968502
143,38217.1073271222
144,41456.4832365572
145,42219.9211467528
146,33925.6943944985
147,39422.6793928739
148,34950.5011060032
149,38484.7870781075
150,43539.6294863633
151,44747.9739190662
152,39208.5695554847
153,18121.915372486
154,18440.1715156796
155,19896.2662630037
156,17149.8080541722
157,19744.4650549743
158,20713.3956513294
159,21236.9465459296
160,18046.4828554402
161,17788.4576322261
162,18619.3222459901
163,17359.8658876173
164,17890.6683039598
165,19143.2519839492
166,19290.0754039649
167,17701.3567395407
168,17883.4980973127
169,17535.7007230825
170,17986.1618578867
171,17382.0489419694
172,18044.0012921841
173,18952.7937414131
174,13175.893973852
175,12799.2965596588
176,14596.8519942573
177,13303.7812060938
178,13465.4766440036
179,13571.4878226471
180,13672.9314362198
181,18591.235482261
182,18439.2523465613
183,18662.5406243668
184,17589.9731156366
185,17956.1290017034
186,18883.5645880788
187,18747.6285339776
188,26286.8593524649
189,26150.9580396077
190,25316.8344849208
191,26525.3497425021
192,26580.5054399468
193,25100.7603067581
194,24803.5224905854
195,75301.4981228746
196,83530.7572666033
197,46707.6676732745
198,58687.2964742514
199,62812.7783490346
200,73476.0141436354
201,68797.7401359961
202,18466.4606794991
203,17453.0732438725
204,17589.7994224802
205,16933.0137480235
206,17818.5374372241
207,16220.0138587249
208,17293.6841388654
209,20614.6351325544
210,20528.6954473911
211,19827.9224815125
212,20422.7053492078
213,20755.1282475485
214,20142.6713339704
215,21363.981858461
216,32340.2471847767
217,29456.9954971493
218,34705.8053733175
219,34498.3885929116
220,31673.2849609775
221,35765.8266579806
222,35517.854410112
223,24671.335035976
224,29911.4045019241
225,26291.0919353606
226,22804.9490009772
227,26268.942051839
228,27074.7980181226
229,26117.9268235845
230,30351.0560118561
231,29342.2175441171
232,30739.1784293588
233,26413.376266109
234,30479.1966277778
235,33146.2417903875
236,30266.434405697
237,28726.6856724921
238,28289.5014783566
239,31657.8730577538
240,30243.0453524085
241,15839.1403489664
242,14146.953051561
243,14011.6645301747
244,16007.2976010032
245,14376.2495970405
246,15727.6354072395
247,15416.2895270334
248,15437.947432792
249,15281.7951318005
250,14255.3029246573
251,15542.7690366818
252,14939.1323461588
253,15657.1518032129
254,15580.384013278
255,21527.1771783476
256,20249.4740261293
257,19958.778444023
258,20528.057979929
259,22034.2190702513
260,20027.6772811489
261,21810.0535251912
262,11979.0782403297
263,12109.9186546149
264,12588.3203884685
265,13236.6186136561
266,11799.1007831085
267,12662.9947487534
268,12324.1137144033
269,15190.370010802
270,14668.659238518
271,17418.2648410615
272,15132.5097905279
273,15275.1962322574
274,16945.5019821138
275,15530.9132190908
276,15566.383344281
277,13934.9615275734
278,13957.3253663138
279,12858.3842775828
280,13973.6793860261
281,14887.3799830282
282,13204.8611495024
283,14364.7448081397
284,13823.2708732103
285,13358.3885893489
286,14887.6326799784
287,14182.5671644082
288,14886.5894953894
289,15593.2053375218
290,13295.9264821119
291,13550.4575994715
292,13894.3026251825
293,13647.3675488444
294,13443.481192512
295,15060.3602035388
296,13009.6427474812
297,19867.9925387205
298,19246.1834907487
299,20644.2709441738
300,18640.7409715616
301,19211.1179976584
302,18456.5916984027
303,19076.5667394075
304,19729.3491742019
305,19384.577033963
306,16498.7239597361
307,17201.3084702768
308,16808.6488420786
309,21664.0669210168
310,17056.3709862558
311,13898.5249793613
312,16001.3842479593
313,15990.8887691395
314,16915.2189905133
315,15946.0799383204
316,16322.4253983131
317,14930.3334425564
318,13724.2779136691
319,13595.2590626193
320,15116.4396316088
321,13527.6136624043
322,14763.8765569368
323,14085.7824353164
324,15206.3979055866
325,20145.5137186553
326,21135.8783022433
327,19407.729579376
328,21361.7571358583
329,21899.8845590772
330,21880.7554389968
331,12272.4823601934
332,12373.4000216089
333,12272.5498779849
334,13639.1740523553
335,13411.2175004358
336,12193.492299676
337,12330.1418000787
338,15568.0361627699
339,18332.8380729496
340,17411.195355245
341,15630.4862165081
342,17050.8701793188
343,15453.9299099818
344,15508.1852265302
345,13719.2099384586
346,12723.6923712757
347,15090.8230498967
348,13493.0795392862
349,13080.1627599808
350,12977.3225925312
351,13931.9641338707
352,13534.0563909879
353,15290.1983893018
354,13642.3598218517
355,16194.4766840928
356,15235.2696015782
357,15413.4906985635
358,13604.5868013253
359,19602.959112064
