,Predicted_price
4,12271.5109655493
5,13512.8551478655
7,17201.0140019139
9,21269.8256601007
11,13372.2487628369
12,14349.9122466402
13,17102.1596876293
14,18085.1347885609
19,4658.05399115649
20,5753.08470534642
21,6053.56662496496
22,5854.3321113712
23,6793.17907977877
24,7906.06861543674
25,7141.15084379977
26,7386.1012490641
27,7386.1012490641
29,9942.67906903815
30,11084.8898052274
31,4701.32694449418
32,6610.37282565922
33,5667.92797468472
34,6489.50459057937
35,6482.17452306684
36,7599.26596887829
37,7136.7945736908
38,7996.63137769765
39,7959.89081652181
40,8883.68104310349
41,8596.25749974045
42,9558.92027008068
43,8757.69604912225
48,31969.6682962247
51,6836.85010220536
52,6957.02077102369
53,6954.38621257278
54,7822.32373448565
55,7835.09750475223
60,9072.04692217924
61,9978.6668276148
62,9072.04692217924
63,9978.6668276148
65,9500.21549062965
66,14474.1730221356
68,28599.4142160733
69,26007.9964647171
70,15925.7128789685
71,32719.2469052584
73,45962.8526539489
77,6090.80638292915
78,7103.12578862136
79,7070.30909030889
80,8373.56159158049
81,9368.1212352572
82,8722.09122306765
86,9424.59839230361
87,9386.06280091845
88,10187.9327283058
89,9579.76712320016
90,7860.60106030305
91,6330.73082560838
92,7841.13453729395
93,8005.03805590521
94,7608.98673396177
95,7819.09992885942
96,7380.71635347761
97,7982.07398821898
98,7600.79859635689
99,6763.01907001292
100,8776.58038140773
101,9189.7932664691
102,18610.6580758645
103,16736.2113591259
104,16665.3723916118
105,17035.2110421242
106,20691.2304271061
107,19610.1662340137
108,16871.0819033375
109,18266.4180133897
112,17624.9308780404
113,18068.7213992409
116,16702.2954785228
117,18068.7213992409
118,19591.2275200325
119,5841.53696540415
120,7915.95748622161
121,7189.82748428869
122,7943.04901057301
123,7894.55417671495
124,9415.1076796022
126,17551.4475745815
133,13824.1130212473
134,14131.5039286647
135,13354.4800435636
136,13995.8031044128
137,18088.9677281306
138,18637.2950035281
139,6744.37366833846
140,7599.23995780727
141,7888.146409906
142,8094.32396605427
143,9070.62224781627
144,9376.83243059974
145,9949.41899981829
146,10485.7238196657
147,8282.69453097825
148,9167.46652973807
149,10261.9458681175
150,9654.64642265343
151,6024.30922416417
152,6675.90225154482
153,6766.02642004909
154,7498.86894733569
155,8512.24670618311
156,8011.01818357651
157,7703.10617452378
158,7387.72747993937
159,8224.4522031627
160,7490.66813425544
161,6432.55578557458
162,7714.11052344615
163,8003.52256282767
164,9187.32092603022
165,8763.43887196754
166,10562.3335246912
167,10005.9190207461
168,9934.9809300213
169,9939.28260701535
170,11691.8963295512
171,9787.7762561131
172,11454.1621554042
173,17669
174,8166.81530114043
175,10815.7822509669
176,8118.60000707163
177,8581.93566374586
178,8087.1381458114
179,17735.2394130279
180,19095.9166139827
181,16653.8826821424
183,8621.93099596521
184,9125.52720068681
185,8571.68865531065
186,9069.26341977273
187,9013.17847904331
188,9062.35023658782
189,10007.4593505995
191,9857.0223901567
195,15991.574363507
196,13963.1151220548
197,14872.8200626969
198,13130.6468188398
199,21223.0735318164
200,17827.234976142
201,14852.9927592792
202,21772.912749267
203,20596.3600007363
204,19587.5094341565
205,22571.3493106843
