,Predicted_price
4,11806.061413176
5,13991.2699843651
7,18408.1986523713
9,22028.3691703237
11,10956.4885644827
12,12366.8563491889
13,15276.6858583712
14,16388.8500004814
19,4734.326117703
20,5932.43301152487
21,6115.96500423375
22,5994.7768234838
23,6949.79885848848
24,7763.43660161575
25,7357.03344989851
26,7243.87709242056
27,7243.87709242056
29,9509.68194670605
30,10490.4748282578
31,5001.43579088086
32,6746.34039152135
33,5868.60986246226
34,6615.13153304879
35,6613.20848785008
36,7448.57353407921
37,6958.34086760941
38,8427.90086930747
39,8417.57085602606
40,8886.75292931118
41,8236.99941988575
42,9540.66774630127
43,8903.44238709494
48,36158.3994851014
51,6628.5852698931
52,7123.2825715797
53,7122.58561348599
54,7596.65953327301
55,7588.52861264971
60,9197.05883120615
61,9764.86368322472
62,9197.05883120615
63,9764.86368322472
65,9961.51200300726
66,13786.8471130025
68,29478.7348628686
69,26523.5384579161
70,22167.1212448311
71,39284.1084198964
73,33598.6147139428
77,6157.73084010713
78,7170.31767378981
79,7161.85253987141
80,8139.21373674387
81,9048.19490537053
82,8464.68032967936
86,9045.02321019078
87,9036.04134159702
88,9715.49384567291
89,10140.9849606478
90,7392.95482425713
91,6311.1678516168
92,7388.60274117249
93,7599.27278032362
94,7187.92134672917
95,7383.65659943279
96,7394.25235150235
97,7594.04066024239
98,7186.07651263447
99,7244.00416030706
100,9357.67014502622
101,9185.55437207095
102,16858.2647257779
103,15258.0100428168
104,15834.0243303927
105,17594.8599705806
106,21413.8638499342
107,22133.9267427434
108,16889.097496762
109,17060.9404481019
112,15077.8411996232
113,17017.0702839018
116,16846.1055155174
117,17017.0702839018
118,18622.8519088941
119,5992.38410597136
120,7771.34254885809
121,7399.83701908166
122,7677.65749871981
123,7634.36741814036
124,9099.27303705061
126,17603.2801887192
133,12899.5470759037
134,12772.1019118197
135,12259.2129821701
136,12743.9294309037
137,17208.8742001057
138,17004.9696750733
139,6175.18313815185
140,6874.75835090191
141,7860.29313347961
142,7606.96530159399
143,8369.46130631775
144,8681.26415680373
145,9497.49149569045
146,10418.8725848133
147,7484.31161004957
148,8393.67348516497
149,10168.6265226739
150,8978.40044888477
151,6049.518261031
152,6760.82920891656
153,6898.81404980421
154,7210.23419040088
155,8737.26252769968
156,8665.90356472081
157,7567.43450841203
158,7664.65603507473
159,7755.09014941033
160,8151.44702555587
161,6683.65995838387
162,7858.653653823
163,7730.33262089676
164,8428.14781357052
165,8570.20214377773
166,9551.64566522547
167,9734.50766375465
168,11373.9589009285
169,11375.3807594958
170,11735.7960609351
171,11324.7691499967
172,11674.4403434032
173,18470.1685015694
174,8741.83016961096
175,10378.4212794793
176,9203.21754910875
177,9159.86761020225
178,9192.99008492841
179,18564.3636751365
180,20391.7731611683
181,18188.3231278443
183,8760.99881616723
184,8697.90053445139
185,8831.86545233231
186,8767.74598914485
187,8754.46052571136
188,8803.93025892995
189,9812.90817340647
191,8930.98442357984
195,16200.1428415181
196,13642.8090599772
197,14986.1684082319
198,12778.2751645524
199,22960.8239299326
200,18150.2014766668
201,15657.3170226146
202,24312.1966042475
203,19008.2610770829
204,20692.5076357437
205,20846.4046118675
