,Predicted_price
4,11333.4932154089
5,13493.6479031175
7,16264.4844769088
9,20776.0625599276
11,11878.6009097513
12,12492.9573127131
13,15666.6304767517
14,16179.6114819702
19,3871.59115100167
20,6128.61214703407
21,6545.22621853073
22,5992.0902548319
23,6130.17477023332
24,8417.5031037935
25,6982.34987085575
26,7364.27521683839
27,7364.27521683839
29,10822.5790432187
30,13067.3834906749
31,5608.94694362401
32,6230.34446449596
33,6146.44104956967
34,6437.51405800937
35,6496.20630180983
36,7646.6642908659
37,7509.63226078723
38,8403.68036607587
39,8626.77017785102
40,8855.80531220297
41,8303.49403043415
42,9636.0971779878
43,8861.32713824789
48,28336.4690350814
51,5712.99918749963
52,6342.82558392748
53,6361.00321664454
54,6949.88806042663
55,6925.35827393696
60,9205.84882803643
61,10133.9259520712
62,9205.84882803643
63,10133.9259520712
65,9851.83206512174
66,13321.6035832181
68,23353.7143810443
69,24946.288431934
70,21158.887066939
71,25827.1768440107
73,30435.652587764
77,6776.89572259979
78,7027.42869002391
79,7258.73900715029
80,9172.86281969827
81,10245.9052470414
82,8008.15438400504
86,8971.96759377409
87,9145.62984275212
88,11313.089146775
89,9942.0675856962
90,6922.06170516538
91,6905.16950822563
92,7032.55953161787
93,7152.3728447254
94,6558.19583756138
95,7159.36276650154
96,6950.12789055082
97,7280.24688209418
98,6606.30690266385
99,7097.67418349427
100,9207.35573992056
101,9449.06846485118
102,17707.5025669011
103,18014.4199015879
104,17217.4043340104
105,18377.6732002675
106,22105.0799485773
107,20432.214918996
108,16422.5559336657
109,19694.726428951
112,17611.2178094604
113,20048.3892940567
116,16745.6422710841
117,20048.3892940567
118,20708.5500258034
119,6150.58889713184
120,8433.50737744148
121,7070.03930427434
122,7351.28782294891
123,8329.47701978846
124,10168.8973638017
126,15673.1084210919
133,12129.7468585033
134,12204.6188877831
135,14407.0123393728
136,12524.1645856012
137,16736.2387059489
138,16843.2716298088
139,6075.36205835266
140,6123.41933629322
141,7144.68080958401
142,8322.67445259327
143,8288.32357139241
144,9258.89424039611
145,8949.33278378862
146,12093.8887642954
147,7859.29911344345
148,9108.33183958095
149,8989.78341396806
150,11332.5920302559
151,6087.45302111749
152,6480.09903015427
153,6331.99039066318
154,7983.98801467229
155,8077.70060914757
156,11979.3641242264
157,7297.97421191147
158,7074.42133878326
159,7178.92784251203
160,7686.86845271722
161,7775.79246282615
162,6969.8857772031
163,7335.83842625859
164,8839.0444967016
165,8660.41365461843
166,10753.984394689
167,10556.8576900105
168,11227.8774720721
169,11208.5516963529
170,11601.5906867023
171,11909.788190999
172,12416.2808827873
173,20159.9349605465
174,9164.75177192523
175,11224.2392113768
176,8960.24020379194
177,9493.02573350286
178,9151.23594252536
179,18426.7943298753
180,18800.911971824
181,18374.5680902813
183,8926.1152031138
184,9007.67199905261
185,8627.40217938897
186,8707.58584083726
187,8977.81702673499
188,10640.5848219321
189,9960.8334658946
191,9068.67600285893
195,16107.2540255999
196,15628.2133003657
197,16123.9624306003
198,15559.2050685602
199,19288.3057454728
200,18701.3177943439
201,16643.3334193308
202,20944.1149333735
203,18573.6067533536
204,20806.4104526422
205,19942.8323261369
