,Predicted_price
4,12442.6933993154
5,15143.763578314
7,18651.9450401223
9,21373.6991456449
11,12122.5512418825
12,12852.4139168847
13,16427.6312564014
14,17006.6466362606
19,2466.26347746019
20,5601.40927396763
21,6284.4692725931
22,5585.75096796213
23,6580.255727656
24,8292.18726130075
25,7338.71668690334
26,7986.1700965532
27,7986.1700965532
29,9929.12442695637
30,12208.3863556913
31,4186.83972854778
32,6773.86441605873
33,5894.95826750756
34,6945.53596655436
35,6959.79238707257
36,8113.39339933821
37,7350.67029122161
38,8516.20291612909
39,8568.54845063022
40,9085.23276499324
41,7601.33701136578
42,9588.46131948832
43,9620.67831530028
48,28760.3983362146
51,5963.07154661048
52,6457.94270513163
53,6462.23712224484
54,7230.44264950921
55,7163.23895315207
60,9272.48194820074
61,10561.5626288872
62,9272.48194820074
63,10561.5626288872
65,9854.15376339893
66,14479.7055937414
68,24305.4846128965
69,23416.0880869194
70,21881.024971982
71,26070.0608163858
73,33532.5995472084
77,6390.89731372847
78,7482.92215260455
79,7538.48772636374
80,8845.34400247427
81,9775.11655996909
82,8400.98746940318
86,9645.78554925874
87,9687.81135143179
88,11109.9771826304
89,9764.35802985536
90,7277.92437410773
91,5954.49235041212
92,7304.38565909724
93,7580.82563508009
94,6193.46071749313
95,7334.5551849285
96,6658.49993266724
97,7611.56017068153
98,6204.39818062208
99,7224.22337887996
100,8888.31366189764
101,9553.4644856893
102,18611.1756863934
103,17002.0078902358
104,17744.1581003728
105,18764.6689256634
106,20966.3319619133
107,20547.24007767
108,16411.6359592706
109,18621.0661665786
112,18054.157757159
113,18701.3535458195
116,16487.015137325
117,18701.3535458195
118,19268.9017893238
119,5624.44456607735
120,8305.85119065018
121,7416.01369083013
122,7682.25546197866
123,8282.23061194669
124,9381.97803234257
126,16803.2716477189
133,11634.8654930584
134,12267.5951196412
135,15032.9206665947
136,12342.2734576656
137,14615.4855837143
138,15336.4289933646
139,5924.17523413373
140,6508.24597186218
141,7799.65114118134
142,8566.64415310638
143,8989.55349412348
144,9661.74652589698
145,10287.6894941723
146,12018.2471403311
147,7561.69288487467
148,8643.98179223866
149,9735.42729780311
150,10207.6636554945
151,5527.96879042852
152,6330.59095992729
153,6464.45736263647
154,6494.11849160798
155,7811.70548206247
156,8745.06658065041
157,7695.29685361124
158,7082.40921997228
159,7753.21201254477
160,7363.68483831643
161,6900.1739558685
162,7239.96306959791
163,7879.34320944377
164,8616.8343539519
165,7998.15276271912
166,10367.3909064848
167,9687.65234086033
168,11678.8089186759
169,11674.190096237
170,11659.8866538489
171,11839.8804394574
172,11848.728209397
173,18809.9697647162
174,9455.21624380185
175,12112.3470779243
176,9017.07235093464
177,9842.45832728123
178,9061.77545353621
179,18868.3945223292
180,19311.5766138405
181,18240.2944626659
183,8988.95690213799
184,9459.50683027466
185,8962.71697625202
186,9432.58837106888
187,9498.08559376791
188,10261.8588491349
189,10647.9019200772
191,9101.43255052155
195,15652.6322828469
196,13968.8956063386
197,15337.1543062699
198,13652.2217631568
199,17131.1867730605
200,15354.2659805746
201,17210.3867695342
202,20358.8371398774
203,21366.729176933
204,21608.9849279764
205,20801.570526106
