,Predicted_price
4,11973.1257339794
5,15091.7034308382
7,18915.1312282659
9,21759.1789493759
11,11998.1767779422
12,12418.0374015799
13,14166.488585719
14,15053.5843971994
19,1969.27045442765
20,5298.36391284986
21,5855.01304038411
22,5414.86533057295
23,6287.97660180843
24,8428.27054723611
25,7016.17699644487
26,7285.23278981983
27,7285.23278981983
29,9809.97739343075
30,13590.8461213938
31,3775.09687787603
32,6584.74297042891
33,5440.6529865628
34,6888.42837954505
35,6897.6032371892
36,7867.70883940437
37,7765.05941511907
38,8656.05106546487
39,8690.14188857791
40,9524.15563795142
41,7771.96094376662
42,9881.93444385601
43,9486.73726876303
48,29605.6116978288
51,5814.9439279005
52,6044.88792116559
53,6047.57318579991
54,6833.97556968333
55,6803.39580738707
60,9422.86678973264
61,10348.7709163582
62,9422.86678973264
63,10348.7709163582
65,10053.2169904803
66,14646.8047981638
68,25429.7970206806
69,25548.48891303
70,19590.4642841156
71,27797.8764129911
73,33975.7557324082
77,6128.5996537992
78,7075.64198393445
79,7110.54343459768
80,8588.38142959608
81,10737.571792968
82,8947.63158218648
86,9671.76273197961
87,9698.95168249925
88,11526.5219493123
89,9030.91768393889
90,6660.6703364625
91,5257.67601591079
92,6677.02712684772
93,7244.04664011181
94,6877.16514134929
95,6695.66442654875
96,6413.1936251716
97,7263.45862533013
98,6884.61315314397
99,4718.74613898154
100,9033.48317986822
101,9309.09302172576
102,16895.1892855553
103,16662.9933031771
104,16388.3894788556
105,18692.530555626
106,21036.7089687819
107,19281.5188278408
108,16632.4037500932
109,19198.5762223656
112,17100.3580306628
113,19251.2469723063
116,16681.4306716276
117,19251.2469723063
118,20228.1763463498
119,5435.40067785746
120,8432.8686401588
121,7041.36768876015
122,7223.33208286632
123,7738.42948470862
124,9624.2840025868
126,17506.1562491196
133,11775.3442669976
134,12468.9802031326
135,13058.0391649635
136,12517.6157307323
137,14630.4572707315
138,15411.8179892902
139,5645.91756714393
140,6234.00230507646
141,7529.17572462795
142,7947.27369183288
143,8150.97307785644
144,9052.00171049178
145,9954.19553954682
146,11696.8661040976
147,7960.13600404896
148,8968.60429060549
149,10177.8178329322
150,11217.5517579535
151,5170.99515626044
152,5821.53245315325
153,6299.14904857632
154,6492.15666771908
155,7997.20842107476
156,8557.96646181419
157,7108.45466585771
158,6858.11598388658
159,7357.2570107906
160,7005.12405777553
161,6230.05248590155
162,7060.92231646626
163,7328.46138783756
164,8241.2020359696
165,7990.02809953566
166,10451.3908486727
167,10168.2890809807
168,9779.63001427425
169,9776.89810917029
170,12647.4522437475
171,9874.80076683565
172,12774.3778943583
173,19109.3961759914
174,9034.85163229398
175,11986.2063411667
176,9022.13121969921
177,9389.224109131
178,9051.02000091281
179,18877.9989990266
180,19231.6210008238
181,17897.2045869035
183,8218.92708408022
184,9189.23515293815
185,8732.45717757068
186,9731.78643454493
187,9774.75889369869
188,10260.238743247
189,10697.065686223
191,8460.9618339557
195,15967.521776465
196,15888.5244977147
197,15699.9229568977
198,15608.645164674
199,17241.0419680707
200,17149.9048658096
201,18153.0190099925
202,21107.9801782534
203,21648.1053966224
204,21964.1258888417
205,22386.1900070075
