,Predicted_AverageOzoneReading
5,4.44227412851876
6,4.79134941467418
7,4.04275700359909
8,4.54706464851946
9,4.63883266241553
12,5.0767186946647
13,5.20820798247111
14,4.30545246741143
15,5.16301152308823
16,6.27568000184444
19,5.68718954337466
21,4.45742146509315
22,4.53309390271004
23,4.95635411279931
27,5.59446077820973
29,4.90766525972939
30,5.41994528472989
33,12.5503306357878
34,9.4922692825915
35,6.27895329058946
36,4.15729449386686
37,4.46205449255355
40,4.13464585559595
41,6.09976845158762
43,5.7673597459463
44,9.68797847851731
48,9.91533245936075
49,11.5357478372091
51,5.08360752952515
54,5.48392659226496
55,5.77138364360994
56,12.7611102473581
57,13.3363012505979
58,13.7056620295461
61,5.55002672720304
62,4.64509144108009
63,3.92932982106189
65,5.37115505903971
68,6.08978922009012
69,5.18036787361437
70,6.52400831059149
71,5.7157983051992
72,8.98752679447092
75,13.7684911440231
76,18.213299215597
77,22.0678078981557
78,9.18744002257093
79,7.21481094079136
82,12.8962530871576
83,13.6462097850919
85,10.9535233933919
86,10.4282730046024
89,8.39055692961132
90,7.78803610591104
91,9.06758465953269
92,8.00000000000005
93,13.6557171720905
96,4.781529196387
97,5.11094885745547
98,9.92050324461974
99,5.05942066642953
100,6.19807727986738
103,5.45415538790409
104,5.00029105550806
105,5.11236192005669
106,6.53116442672502
110,13.1761326885977
111,25.5385756754867
112,19.8864604261111
113,7.08008166405976
114,11.3412765337403
117,10.8488844358404
118,5.91386087411664
119,6.29852059559579
120,15.7216743350584
121,25.1964502610772
125,10.3923754606041
127,5.18645548432505
128,7.58085462026779
131,20.1711781778387
132,25.0136884896825
133,29.8055159939029
134,25.6492460802642
135,32.5512452254682
146,9.28536635961138
149,9.36407410837694
154,16.1713486953276
155,13.527830315614
156,10.9649636656692
159,7.86364557084061
160,7.9203936144864
161,5.32048911096425
162,6.04993877581604
163,8.52597511834795
166,26.0666428057329
167,26.6536215736334
168,41.7173891361742
169,16.8240476647692
170,29.264468148771
173,19.2058611949286
174,16.2320460443842
175,14.7854549335157
176,16.6232727681872
188,41.1370859673546
191,32.2297289943647
194,14.9278139858949
195,11.1734254039393
196,17.41806466662
198,12.7576666769755
201,12.7097615386915
202,27.1838978461771
203,35.1643922743822
205,16.9757104944932
208,39.5348299627934
209,21.0322137211415
210,15.2198793654723
215,9.9862760474297
216,9.3639263381624
222,9.31294022520775
224,25.7231563204875
225,14.5072454035987
229,6.65879589771763
230,7.23493895206835
231,5.47966069859933
233,12.9290135435112
237,18.2924356208773
238,113.327232142509
239,26.2216709671756
240,42.5646921360376
243,33.4659002978825
244,25.9324153405076
245,321.697301346933
246,18.2920446216211
247,18.5000619550125
251,23.8500926084446
252,16.7825009884015
257,15.6644808573306
258,18.0359691065672
259,7.04743967796722
261,8.44281048133122
265,12.5301910725077
266,14.9903761554734
268,11.3793833115814
271,9.55351444466352
272,10.2709537146423
273,8.36063096881353
274,5.73137130836741
275,8.60399779574835
278,18.3637075832939
279,23.2477471222152
280,21.2192594200264
281,27.919222035169
282,11.6602515285888
286,13.8526114480025
287,27.4337998996868
288,19.88816792736
289,11.8362716554373
292,8.38150915062815
293,14.9133505787142
294,9.26490540560409
295,8.66064761960255
296,8.85766944212032
301,6.60725131073557
302,6.70865759625912
303,9.18497027750595
308,9.1865822880371
310,5.16400705926832
314,7.05115865368989
315,10.2451613309785
316,5.02138176635337
317,3.69777124039845
320,5.56730074885366
321,7.42308496248747
322,7.51506254501634
323,5.16658267844814
324,8.00851624877401
327,9.73109491564861
328,8.4991231605744
329,7.9335246560268
331,5.38654130905982
334,4.84441469971214
335,5.4953380768779
336,3.67307768556338
337,3.89522326701254
338,4.37952568292551
341,3.20379522131604
342,3.82292491756535
343,3.93568515538814
344,3.29785822347609
345,4.4339532639594
348,3.53502957825233
349,3.65806498780794
350,3.66997485159515
351,3.75335431080429
352,3.34703968001349
355,3.48786803095869
356,3.09502594786587
357,3.30673279152547
358,3.26829850067276
362,3.6228054843426
363,3.35779398514284
364,3.59008752959857
365,3.05427525865279
