,Predicted_AverageOzoneReading
5,2.72033027603137
6,7.75971370050611
7,0.48933457435411
8,2.22692119776369
9,5.8263203029933
12,4.97304147858925
13,7.38335070677818
14,4.79214745899954
15,6.66943564844993
16,6.84686862550392
19,11.4838471879675
21,3.9550340732054
22,2.05734378623353
23,5.14431201177463
27,10.553880287899
29,4.55247066395769
30,8.07988047178314
33,14.229208557342
34,7.82056165592195
35,4.11197949541797
36,1.50944241329273
37,5.11500052966938
40,1.63602459783671
41,3.68522945891773
43,6.39445455921333
44,11.9502098132831
48,11.1336536026466
49,14.4868984263012
51,3.2528122143918
54,3.53279514291731
55,-2.09987147780066
56,12.5654125693322
57,13.6166962650336
58,19.0746212281514
61,2.80771553755764
62,-6.65612996468898
63,-6.28299471589029
65,6.160058415206
68,5.28042303062874
69,4.65074005073623
70,1.32345214078773
71,5.05117747686938
72,9.75214794829296
75,16.8194533771637
76,11.8835670577243
77,17.911198536408
78,13.1741798830588
79,4.59735288692477
82,12.9653896998079
83,14.090600001602
85,11.820670460188
86,11.1485416830686
89,9.62408434335073
90,12.8096967518498
91,8.99501319711552
92,10.6864862448441
93,13.4359356104704
96,2.57580650299917
97,5.77870270792433
98,14.7156746723169
99,3.62593179663574
100,12.6476855588611
103,3.68444896960425
104,2.73877999608047
105,3.96948558278101
106,6.02933756924423
110,16.2525766100784
111,22.2538356356978
112,21.3993619660354
113,6.01231612512436
114,16.8270904668362
117,12.1387725523019
118,8.15153227122661
119,6.32900005380834
120,19.258311927815
121,24.6316254670595
125,12.3804677787847
127,7.8421997494741
128,13.4276917223372
131,18.4272932323433
132,22.5354134086065
133,24.2560893707649
134,25.5914949644407
135,25.2804842314865
146,8.82987946456061
149,11.964399485808
154,14.7387978895452
155,15.3705912072263
156,14.8609945723991
159,11.3758120810868
160,9.50737746386846
161,3.15119911638285
162,4.05981772837717
163,11.4853095983706
166,24.7634991069628
167,21.3024412508854
168,14.7210077174038
169,17.1584783583428
170,22.4424482568422
173,18.6232103304005
174,14.5133886701925
175,17.2976711399862
176,17.3062088436992
188,30.2637144378532
191,26.2292044953464
194,18.3920707762021
195,16.4781010077226
196,22.0681819913407
198,12.7252521310049
201,16.4934703486158
202,22.6274240007505
203,24.4277376408262
205,18.8330388096971
208,19.8945938233336
209,22.1131597922828
210,19.3297153608174
215,11.2749945854124
216,10.0603053890856
222,19.4784351695732
224,23.3420209532291
225,21.026464081467
229,4.03140152628182
230,9.81127267779946
231,5.24581357852465
233,20.7223196620892
237,17.6836131232779
238,23.7840375059192
239,22.7513623489088
240,29.5859156801515
243,28.4428704939205
244,26.0049868028845
245,23.4125950813793
246,16.7569989677004
247,17.2779900800824
251,22.7095056669428
252,17.6270641215886
257,17.9991197843502
258,20.5957799744538
259,5.78644104251783
261,6.99559881848574
265,17.315701923885
266,14.5919480896672
268,10.0125623659323
271,12.5679020138036
272,12.6425174709111
273,10.6224026176934
274,8.14098453289668
275,4.30091155975526
278,14.6465581533982
279,18.3589208366091
280,21.1730646242272
281,21.657793364049
282,13.7403078961132
286,15.1853426150399
287,17.7143926474898
288,19.2939240614782
289,11.4827468027314
292,9.07065331685647
293,13.1309951557677
294,11.1436084870707
295,12.0818284444513
296,6.15818364438129
301,3.94902930781352
302,5.15811719109367
303,6.3311028406514
308,10.4705516676837
310,8.0343623924707
314,12.0608481279638
315,10.7612139501608
316,3.12149197153096
317,-1.69101832058469
320,6.44915879304271
321,4.7891949280411
322,8.98979800631735
323,5.9891085044674
324,11.019075347229
327,12.771089895951
328,13.4050026420175
329,8.99761566709053
331,-0.549966672646562
334,0.337730516619719
335,5.20006767929053
336,3.69908844024478
337,4.40010426156262
338,5.75801442377782
341,4.35566940424237
342,7.04744154735121
343,3.99197449340148
344,5.54874707565266
345,6.504207439574
348,2.85894372734469
349,6.23649759249731
350,3.79276433609437
351,1.61152720276933
352,2.06957801137372
355,5.50429852892556
356,0.624863262022323
357,-2.17144722552234
358,1.10158289402272
362,5.15549168989824
363,3.21876790847245
364,2.60499993056341
365,2.69487460319984
