,Predicted_AverageOzoneReading
5,4.33611612796298
6,5.22143771634816
7,3.59305938121984
8,3.90336275104972
9,4.01113078346714
12,3.8709478093148
13,5.64347582684727
14,4.70598817325038
15,5.7999603652861
16,5.99426720828644
19,8.36733267125406
21,4.7955296965264
22,3.54389864029381
23,3.31769448882689
27,7.55142895136202
29,5.09431262525805
30,6.38974177577914
33,12.3830367538393
34,7.41643653725816
35,6.14580609515831
36,4.33430891196729
37,4.5152426356136
40,3.6659242046138
41,5.40592500305376
43,5.32137836621234
44,8.1152998390609
48,10.0976349024205
49,15.6012400213776
51,5.03098991516219
54,3.97377016603201
55,3.61903826601638
56,10.8676806786844
57,11.5924770263554
58,14.2565526338883
61,3.25889702584581
62,3.23349034265892
63,3.12070902276757
65,6.88453696982406
68,5.27909929717596
69,5.54208249758177
70,5.04473799879738
71,5.67225153228732
72,8.58741834934767
75,15.9014695884383
76,16.6542014938054
77,19.6252405298089
78,12.7934174923816
79,8.77780565979637
82,12.8156927741567
83,11.693059189078
85,9.99640132531619
86,9.21961204885304
89,10.3157101252394
90,12.7204249964843
91,8.02651247777112
92,5.70023294763951
93,10.5003254400415
96,4.33424373238989
97,5.18298996144846
98,11.2725127020609
99,3.87988819795906
100,7.03316894732176
103,3.37017923557714
104,3.6260787856974
105,5.46625833428809
106,4.98673856449
110,15.5675833234104
111,20.5946591802996
112,20.4655105414208
113,5.72698939581377
114,8.44866357800752
117,9.28362467040073
118,6.29065837025323
119,5.94466161314205
120,15.8539684936506
121,23.425397880886
125,17.2841112346137
127,7.32463472175691
128,11.8670099190808
131,18.2104188636537
132,27.5995475499588
133,29.7774782627416
134,29.6655125614029
135,28.2838375740732
146,9.01979510543143
149,10.1198326478316
154,16.3046855703942
155,13.1915420397625
156,13.6020682996733
159,8.08851865802458
160,8.36372144937489
161,5.26816138276407
162,5.27756990354932
163,8.0994366465126
166,24.6915327525286
167,24.9370949278194
168,19.5563144486921
169,16.1844709818753
170,24.8386791593843
173,17.6268324531923
174,15.6034982620975
175,16.2148992305126
176,17.4177365034121
188,37.4109323005742
191,25.7083523109312
194,12.6005005028332
195,13.7243955004203
196,21.9531226013527
198,13.7395587661919
201,18.2952172200177
202,25.6448935113419
203,28.928828681168
205,13.3624932651015
208,19.048005643619
209,23.2476869483817
210,20.7891713033364
215,9.09080988772248
216,10.3200698570662
222,16.2405802524901
224,26.1996006261106
225,17.5151403772695
229,6.9319847028881
230,9.15950869390299
231,7.98360954242015
233,16.7682520583225
237,17.6679184168713
238,25.2065648345538
239,23.9560740964418
240,32.3759433257719
243,36.4252903503121
244,22.9999999999999
245,19.6638993164946
246,18.0989234806671
247,17.7130051934136
251,22.4691148077832
252,17.6397259117324
257,13.7695794801904
258,20.208640231578
259,7.53432721456759
261,6.93314593036495
265,16.0231508145149
266,14.5650131468802
268,8.6274536721686
271,10.8541163059435
272,11.2009772806443
273,9.6078399464108
274,7.84803506088529
275,4.14487717219756
278,17.4099645385332
279,25.5650694164555
280,25.0000438712631
281,22.2780975197587
282,11.1711089110272
286,15.5600625439017
287,19.3115279427376
288,19.3404005453769
289,10.9743257501418
292,8.88661423712811
293,17.8198938553343
294,12.5531087463572
295,11.7139119215903
296,7.04472398718336
301,7.41862190001736
302,7.1706214406569
303,9.09332021427734
308,9.2587365647483
310,6.10768713753628
314,7.54069638619321
315,6.95740554368086
316,3.18283040278539
317,1.82187132440897
320,4.19191879235898
321,5.54369457107275
322,6.10666287262006
323,5.81648555930366
324,8.28833803771321
327,7.09028052207278
328,6.65410132251839
329,6.38976387222911
331,2.67363709909795
334,3.52932674763301
335,5.70085040172803
336,2.82142331193274
337,4.29596347133417
338,4.96529072559118
341,3.43115940703061
342,4.46501335265547
343,4.17049571435181
344,3.05086097812962
345,4.40439615359208
348,2.54510652956897
349,3.86346992473478
350,4.67915481322758
351,3.63452355555986
352,2.6732264130391
355,3.13249033841998
356,2.99164753221209
357,2.76741898747677
358,2.5683354116994
362,3.84110106020149
363,3.14989676863939
364,3.51366979804234
365,2.88527473203486
