,Predicted_AverageOzoneReading
5,4.59686443467371
6,6.57986887195008
7,2.8028175393783
8,4.11850464288694
9,5.79584933703929
12,5.34320761226671
13,7.66697393741486
14,6.25457410178273
15,5.58173340660898
16,7.74092635705441
19,12.4295458909608
21,6.27460640819914
22,4.87523322806712
23,5.44464127330852
27,9.75128351848085
29,4.63876202149217
30,7.48846901727243
33,13.875665783716
34,7.92323437667093
35,4.1876578952182
36,2.94790660293218
37,3.79598827355909
40,3.36981172765221
41,5.41147257358507
43,5.51247539267938
44,9.57959505978227
48,10.4827226513056
49,15.5563170002423
51,4.36470929957296
54,3.98019377517348
55,2.09382708210416
56,12.2366654227594
57,12.1301607828751
58,15.1558713473931
61,2.61664082508657
62,0.988697252415823
63,1.23583575971181
65,6.43918717514396
68,5.73884088708497
69,5.70117352147498
70,4.16942753677005
71,5.43617178849138
72,8.68835821990082
75,14.525569229532
76,12.7771553922584
77,19.0077564927577
78,13.1639472054277
79,5.8187361573389
82,13.7012956978845
83,12.6430618008303
85,10.8412673066588
86,10.4933483078382
89,8.82367969304799
90,11.4700737354738
91,12
92,7.58125359020237
93,13.4340385268143
96,4.1065035791408
97,5.43590050774589
98,13.0453983042198
99,4.1420654271093
100,11.0490456541325
103,4.08491929974302
104,3.95389659867381
105,5.70832826800234
106,4.40498834107508
110,17.4302450877737
111,23.2845499905317
112,22.7623800957344
113,6.76712061199709
114,13.8928245687618
117,12.4234685234232
118,7.53817743593919
119,6.77548762917814
120,16.7281488672738
121,23.8398498639418
125,12.5866983093284
127,6.11741309323285
128,11.2955546663061
131,19.3052011978222
132,24.1876869730063
133,24.7775800575331
134,25.7342862630662
135,25.2488211991404
146,8.97767118087548
149,9.60842179321343
154,15.6065880397402
155,15.3020054041985
156,12.9418517018453
159,8.85487658997446
160,9.184695968111
161,4.91796370436758
162,5.47646911716214
163,10.4072029689371
166,27.012930853083
167,20.1245945484095
168,15.8918074146693
169,17.0635141187112
170,25.1879222493808
173,19.3359977734665
174,15.6905806100139
175,16.8755613865079
176,17.1522074933048
188,34.5176472717065
191,29.3304632473387
194,18.0949619545365
195,16.821283643933
196,24.761347390715
198,14.2882110626782
201,19.5354011100788
202,26.3717925173527
203,28.9441175751343
205,18.6629690671596
208,23.0365117017495
209,23.7563772436642
210,21.2425913484374
215,10.7667599312464
216,10.9572185269085
222,19.6829569363326
224,25.3353153211813
225,19.1973980588248
229,6.25257659915745
230,9.98130803212744
231,7.7711332734375
233,20.0066805335865
237,17.9295067098909
238,25.6583797832681
239,23.094367817465
240,30.3910799949312
243,30.1060415764558
244,32.4180011524232
245,20.9565156481409
246,16.7181120513295
247,17.5134184311728
251,21.0298774774321
252,17.1023312876032
257,16.5028981415332
258,20.6291964401524
259,4.91341794028424
261,6.99203999886941
265,16.5942758917796
266,15.3947218456337
268,9.17570268255052
271,10.8065553512402
272,11.3444589287502
273,8.59625311966147
274,6.92306777845701
275,3.73177646450348
278,14.4662053157036
279,19.0988400256601
280,20.6333845189465
281,19.187109254173
282,12.1297935365463
286,14.2616472804872
287,17.129301669574
288,18.5508257733816
289,8.78205476971285
292,10.4540116177712
293,14.300398637054
294,11.082312535879
295,11.6849460285009
296,7.49797541793241
301,5.4245499551685
302,5.78638105352067
303,5.86891972378771
308,10.9441572629205
310,6.99218777386904
314,10.4311571014118
315,9.65707831587185
316,3.70388703320053
317,1.03912353633017
320,4.57886706246363
321,5.52993091539211
322,8.38385449569004
323,6.76041970489747
324,9.79940845852325
327,12.0414327787527
328,10.5968044474767
329,8.28914112935798
331,2.16863399115198
334,2.20524098604774
335,4.96647228823169
336,2.81106012180454
337,4.43515039931729
338,5.71099395893403
341,3.41343030279637
342,4.45632243229204
343,4.21919486952725
344,3.97814219539396
345,5.24494660126085
348,2.83718699418018
349,5.07990569026921
350,3.17341771092435
351,3.11751220172507
352,2.87448162952086
355,4.61441491800583
356,2.62801472859647
357,2.11797905341203
358,2.0349015210108
362,3.67567633125498
363,3.11838372131177
364,2.46363096934003
365,2.35955487231871
