,Predicted_AverageOzoneReading
5,3.82009764709744
6,6.04092831705831
7,2.79802261193294
8,3.55860838934916
9,4.37468378105512
12,4.65441993793972
13,7.84106511555796
14,6.32749528261884
15,6.21038992491359
16,7.49413282329388
19,8.71027359998393
21,4.9202457885933
22,3.73904808599258
23,4.48399187484118
27,9.20890372036197
29,5.09350164496651
30,7.25564885055327
33,13.5517654946899
34,8.1004600270606
35,3.8360023776253
36,2.82903871672
37,5.29815260481717
40,3.07908615855948
41,4.55720756208412
43,5.32089725205663
44,11.3612488493552
48,10.9181330281483
49,14.1855868645991
51,5.34126828378208
54,3.81966747404431
55,3.27003637348137
56,13.3445024620267
57,10.9005250897794
58,16.2359778858155
61,2.32561404448636
62,1.74059446434711
63,1.38432410073981
65,6.66941512462771
68,5.95602204675569
69,5.71931874413978
70,3.7997547491146
71,5.66750668001958
72,9.11464294553986
75,15.7462738885566
76,13.9589471005549
77,19.8216871297314
78,12.6156314580945
79,6.00320297115642
82,14.4484348961885
83,12.1554765769812
85,10.2429602678023
86,10.7370795364368
89,9.59650696716214
90,11.5014068892228
91,12
92,6.48626208730569
93,14.3134675225195
96,3.90970549162511
97,6.99816432694293
98,14.236630544356
99,3.99545224693726
100,10.6747594371036
103,3.72347811162962
104,4.93608075610069
105,7.12352361599004
106,5.11888044091268
110,15.6644341343759
111,23.6367926400734
112,21.5812195980491
113,6.7283790561168
114,12.8852675314874
117,10.5582633130973
118,8.21454237441564
119,6.49943838304206
120,17.3154862403725
121,23.9287023788529
125,11.3606305590607
127,5.2366303537007
128,11.8501115600974
131,15.3491227472051
132,22.744702442401
133,21.8800136541516
134,24.2021537253663
135,26.3623870776373
146,9.80916743671346
149,9.29430794511531
154,15.318621136468
155,13.9873720154521
156,13.2404782381541
159,10.3651953053106
160,9.70516733250239
161,4.30638839016093
162,3.78116036929089
163,11.0966235623946
166,25.7862676480644
167,22.4596989150362
168,16.3565602167417
169,17.3051980060819
170,25.503403762297
173,18.5601300171585
174,15.3426538956563
175,15.4640835344376
176,18.8489071592183
188,35.9396379648553
191,29.1064547468667
194,18.2933958095227
195,19.4811277411542
196,26.2942023101636
198,16.0251328628815
201,18.4732936294485
202,27.4690160386567
203,27.1591607708784
205,17.0261490775501
208,20.9364349461332
209,23.9250012248388
210,20.9033816826307
215,12.1964436684608
216,11.1986627735984
222,18.3324575465311
224,25.3480139834716
225,18.8331480294354
229,6.56263998141573
230,11.7989349368446
231,8.10610643728599
233,21.6927707335623
237,20.6579145644164
238,27.0901581028479
239,21.3737281793356
240,31.4656137946494
243,29.3558549981231
244,31.6910620741519
245,19.9870020464549
246,16.9490219653312
247,17.2323775960727
251,22.8138571802683
252,17.1491415633504
257,16.9419371151089
258,21.7103106849076
259,5.99356284340863
261,7.8381740592905
265,16.4018139753703
266,14.5640095605977
268,10.4665059574193
271,10.4945562947839
272,10.8744124202919
273,9.1263570759818
274,6.48394034705288
275,5.37098771139335
278,15.8608057243442
279,21.8563450938366
280,24.5793516767156
281,22.3322970677861
282,16.1732896414768
286,17.4607283364024
287,21.4944826288371
288,22.4872171137388
289,14.2198353190471
292,11.977257268533
293,16.2997632263506
294,14.0742669391161
295,12.9757053864939
296,9.39324636834844
301,7.81978827977922
302,7.46372342323873
303,9.86742478743482
308,11.2703383208157
310,8.9292276445128
314,10.7784015580322
315,8.29354454228839
316,3.75109872631273
317,1.67652323670767
320,5.34166213340588
321,6.57526123214767
322,9.09488562632723
323,7.08847149400312
324,10.619986022202
327,10.647417094352
328,9.00988783752061
329,9.2281508864849
331,2.66175967905338
334,2.93839861523262
335,5.47850611504293
336,1.87738257676112
337,4.10531320938475
338,5.79549655031651
341,3.86152016024476
342,5.6084167950164
343,4.55479002540746
344,2.38657347782268
345,4.18170406248596
348,3.31253691455941
349,5.91888162788303
350,4.40657157708604
351,2.56591481377545
352,3.73440750176009
355,3.91989369571181
356,2.60468284229221
357,1.97627720951907
358,1.07330027083601
362,3.67197475689514
363,2.97189100775856
364,2.80508840410352
365,1.41992235171214
