,Predicted_TipAmount
1,2.65943350284818
2,2.32359711402984
3,2.87811388125082
4,2.97333027037408
5,3.35891438666887
6,3.28334653507302
7,2.21145958509305
8,3.42218133052813
9,2.47852752390148
10,2.46617735603632
11,2.26997534743902
12,4.65554116185799
13,2.49680191402459
14,2.79425673586596
15,2.5457894208291
16,2.8357331733208
17,2.39146859874478
18,2.60329027766832
19,2.7281175821667
20,2.7635375488573
21,2.54652285994027
22,2.76256030880194
23,2.51820450435151
24,4.84567473868979
25,2.64601170799693
26,2.67163463299723
27,2.33617157379625
28,2.30768296427066
29,2.7524124317909
30,2.725118349187
31,2.18466404322755
32,2.70192648410675
33,2.48369575650225
34,2.94437940871492
35,2.53948722805355
36,2.98190885635014
37,2.52792384495692
38,2.64220586208305
39,2.65191239385928
40,3.58004422215749
41,2.51458630427249
42,2.59970287515523
43,2.42710464424599
44,2.24659348462496
45,3.77562121774197
46,2.6440383140117
47,2.87694209996059
48,4.01099149303931
49,3.46193482112859
50,2.63052593552223
51,2.36466399131441
52,2.33597825952695
53,4.58096143626201
54,2.25683772206645
55,3.30612271665692
56,2.71087895041366
57,4.39585307166102
58,3.18041850188459
59,2.19894539561794
60,7.26767753438429
61,2.6012188529076
62,2.2999515208253
63,2.19070964085464
64,2.62651353404063
65,2.59312863145328
66,2.73011780829932
67,2.55216627584014
68,1.93954965711196
69,2.66850876520192
70,2.35036144487088
71,2.28028479784513
72,2.64982302101094
73,3.11441741239798
74,2.99970919751464
75,2.46797639874613
76,2.22085987086128
77,2.48229732013441
78,3.35908920288524
79,2.84537261669444
80,2.53835689281529
81,2.58125729657171
82,2.50719932448416
83,2.23517002932406
84,3.51470391764173
85,2.47441607759223
86,4.42253671742278
87,2.3415889255445
88,2.58891456361944
89,2.97358672891795
90,2.74814703369086
91,3.39551606449142
92,2.98772920944226
93,2.16142034850772
94,2.62799379577735
95,3.1211955372541
96,5.31277759385493
97,3.25056135729616
98,2.34660169292105
99,2.80612075656558
100,2.42338292476214
101,2.38583381436562
102,2.5784944061727
103,5.6838384397091
104,2.81222012510275
105,2.80043589946578
106,2.36548326399995
107,2.61177789671183
108,2.88849170135803
109,2.56275162735712
110,2.38883319096405
111,2.36320040699542
112,2.11443229002111
113,4.65386596387325
114,2.99199619094636
115,3.34858206227879
116,2.67713831750713
117,3.72426321756299
118,2.30806269466252
119,2.38418085090004
120,3.22941403802169
121,2.28585174775801
122,2.42872954804683
123,2.39519804276237
124,2.4729894923882
125,2.38639156390304
126,4.06572421478707
127,2.16399620778181
128,2.48022203455784
129,2.33868398334006
130,2.92946448889085
131,2.63126459023927
132,2.78935366888314
133,2.32979218752197
134,2.37669496808494
135,2.67289726690078
136,2.22274625515328
137,2.29489101662424
138,2.46265986447624
139,2.4146387413553
140,2.41686948049087
141,2.62974491771386
142,4.47866954132666
143,5.57537664458146
144,3.74070741385864
145,2.57501704928037
146,2.21662017587823
147,2.76586445205016
148,2.3596978259208
149,2.2108415173038
150,2.1278551065257
151,2.43307043471254
152,2.39058229711039
153,2.65539840693289
154,3.22250179083879
155,2.87799870321353
156,4.04502738784739
157,9.30055304233982
158,3.39525029723001
159,2.4752731146168
160,2.6813042998105
161,2.99383537571132
162,2.36988988188742
163,2.68485828052747
164,2.42116803797566
165,2.61684703242717
166,3.12330880627129
167,2.78540069029337
168,3.92654285797979
169,2.23452285185425
170,2.23607599975054
171,7.26535499000285
172,2.38521390463694
173,2.10898215397416
174,3.53364660012232
175,2.50129359568366
176,3.63855812274501
177,2.55442147319155
178,2.39247349474858
179,2.25423984882943
180,3.82569855468072
181,4.13239742581481
182,2.86366061817069
183,5.93605883814973
184,3.01930277194282
185,4.64284089814018
186,3.02396149009573
187,2.8887285260416
188,3.77459802460259
189,2.72076611694399
190,2.92938565668331
191,2.44753432520972
192,2.68643175098157
193,3.14992007258586
194,2.39130566185158
195,2.44120719387973
196,2.129615844725
197,2.18281062073635
198,5.81630994337545
199,2.35204436000436
200,2.30685499647597
201,2.60784237074463
202,2.34091969778895
203,2.35204436000436
204,2.50789754292136
205,2.78014742794627
206,2.57351131734981
207,3.06884854635311
208,4.50669793578855
209,2.82880420971409
210,2.32201959240209
211,3.34571847288186
212,3.10875058663281
213,7.29238898196515
214,2.34358703262581
215,3.31911660015167
216,2.32790043801607
217,3.39572690314988
218,2.21217612084559
219,2.07485135147346
220,3.61855089146441
221,2.29231093643736
222,2.41453972312119
223,2.11111338227003
224,2.67036167451898
225,2.34494392048916
226,2.550955154013
227,2.27254489679299
228,2.82655929326672
229,2.33236070128089
230,2.79390274692063
231,2.97369230516507
232,2.43569815283252
233,2.26383730817826
234,2.23087024423435
235,2.37289857615112
236,2.20412235531241
237,2.251264627808
238,3.48449291159704
239,4.31782273812567
240,3.37002866570255
241,3.13872610926444
242,2.73268848180931
243,2.54149343845539
244,2.78565630537262
