,Predicted_TipAmount
1,2.58350869522642
2,2.39643731463411
3,2.9387871607703
4,3.0671721900627
5,3.10401153247749
6,3.28559687400697
7,2.30603546386861
8,3.41433230240865
9,2.57472121038609
10,2.56234118853637
11,2.36508059347494
12,4.07906746384396
13,2.59303180916324
14,2.82589587951783
15,2.48348428713545
16,2.93092035373522
17,2.32498041466709
18,2.67134996238741
19,2.61651607150789
20,3.05075328617916
21,2.83672935261347
22,2.87219088286977
23,2.62612675091312
24,5.33931295947745
25,2.9515452003217
26,2.91325997599496
27,2.5949907496385
28,2.56235712748622
29,3.07468215528417
30,2.83458432799359
31,2.421727913413
32,2.94671739098067
33,2.59125568719966
34,2.98307266044588
35,2.82862157770865
36,3.29840808504671
37,2.78465106761096
38,2.72190686526766
39,2.92454096250484
40,3.98185727859701
41,2.76962186561502
42,2.69595951002943
43,2.52314539904936
44,2.34149901723983
45,3.73862833718266
46,2.74021394753172
47,2.9717819385909
48,3.95189791085213
49,3.49824995737414
50,2.72673214832925
51,2.46041760228498
52,2.29659572756561
53,4.0257340507145
54,2.35183268858413
55,3.30676891773718
56,2.80682745934478
57,4.58531934196338
58,3.28951940661205
59,2.37331447755136
60,8.10267668940037
61,2.80871914110208
62,2.48260353383534
63,2.36440441760051
64,2.77458326357454
65,2.85817877722549
66,3.0129392347059
67,2.66041576546178
68,2.00763725000193
69,2.9775511924571
70,2.53715629430365
71,2.53099634611161
72,2.72941360820298
73,3.11169060656245
74,3.00505865827804
75,2.57536131892887
76,2.46305662550096
77,2.67996345241632
78,3.84519087914931
79,3.30945155689458
80,2.92702294562273
81,2.88394365610857
82,2.88857866222994
83,2.42993397366086
84,3.98106589107239
85,2.84820068188033
86,4.59243929525638
87,2.68535536883348
88,2.98954706907418
89,3.4711262106125
90,3.18762982014078
91,3.3273319517965
92,3.06101431817998
93,2.0795120535444
94,2.47161289729925
95,2.96238857200309
96,4.769815755133
97,3.19755954176806
98,2.36516273375233
99,2.79336148880194
100,2.50576552988411
101,2.27033006425794
102,2.43085163230924
103,5.25017133700074
104,2.82954288103484
105,2.91019732184987
106,2.55352203896961
107,2.82015297479232
108,3.11988576193144
109,2.85543709464642
110,2.42749611553204
111,2.62597549470477
112,2.2355938412612
113,4.6051636127056
114,3.08561489162291
115,3.13374012348962
116,2.59901648247786
117,3.69180846674313
118,2.48558067253072
119,2.5675687770559
120,3.38597078716051
121,2.61737959320643
122,2.61555336395691
123,2.75093486570486
124,2.84644528397612
125,2.56994998683043
126,4.09839016240893
127,2.46949754155321
128,2.67101771468156
129,2.51856324145384
130,3.37035579515648
131,3.04205726792026
132,3.0040037135314
133,2.50898576160876
134,2.55950556687779
135,2.87855894778738
136,2.39368612703005
137,2.47139334454015
138,2.65210083855242
139,2.69124472726318
140,2.60277853645445
141,2.83207659438163
142,5.03101453686298
143,6.49070736096641
144,3.79008825480048
145,2.77312591450962
146,2.38708776004774
147,2.94441369604684
148,2.54119760423976
149,2.5262301767372
150,2.42582876662683
151,2.52913279747053
152,2.48646862122669
153,2.722261146793
154,3.22893560780327
155,2.90529808152859
156,3.58200866320222
157,7.74173257250162
158,3.13278676976732
159,2.42099596424302
160,2.71833799869625
161,3.01465736450358
162,2.46567179785538
163,2.57949469749395
164,2.51718628247448
165,2.47562611425153
166,3.1751742240768
167,2.88094750483118
168,3.87562377192377
169,2.27896416812704
170,2.28046454965398
171,7.64924717471162
172,2.57487654006207
173,2.14944722265619
174,3.47599023132125
175,2.52419850099525
176,3.57003201368827
177,2.57438202689862
178,2.42099050558264
179,2.16906627764936
180,3.73659365047093
181,3.88463282245701
182,2.86385188053008
183,5.39882082843216
184,2.93875319369285
185,4.44649165330584
186,3.00723385650647
187,2.67062646779077
188,3.53809147201146
189,2.53619251927769
190,2.89173773872816
191,2.47328223796962
192,2.80245619423173
193,3.54873196618577
194,2.66433395935827
195,2.72190921515385
196,2.42795421976714
197,2.42467874663555
198,5.5987943317801
199,2.46317340742219
200,2.56708692716917
201,2.88193682229955
202,2.45184049731305
203,2.46317340742219
204,2.62163616857188
205,3.04112249937402
206,2.66022029289469
207,3.27292286354991
208,4.69724408517507
209,3.05521773553187
210,2.3633170880715
211,3.56515249510024
212,3.27265577939404
213,8.13120760472427
214,2.38405617107033
215,3.25853190436167
216,2.3689741541042
217,3.5183559822084
218,2.38762880796978
219,2.23907715347413
220,3.47655415053967
221,2.3878989753573
222,2.36721617486426
223,2.22398297018839
224,2.64331691493349
225,2.44090413066928
226,2.48838217050135
227,2.23978675109502
228,3.08447643899328
229,2.59062394669977
230,2.81231300768982
231,3.13350996332699
232,2.60276376947249
233,2.51218121566792
234,2.4744937010976
235,2.56154753429434
236,2.44394055577697
237,2.42992110283482
238,3.76608182874689
239,4.32936789029144
240,3.74102993982787
241,3.13421515473671
242,2.95109947759002
243,2.83093335174068
244,2.88408483576937
