,Predicted_TipAmount
1,2.79990227346786
2,2.19794136213919
3,3.27854979188258
4,3.37531540780442
5,3.91687461059134
6,3.88564814847401
7,1.86529931713206
8,4.04667602132237
9,2.50029602326994
10,2.47396442142052
11,2.01721240472486
12,4.99748304033473
13,2.53878067212678
14,3.19089896121631
15,2.58114742733424
16,3.16263708517451
17,2.2990478445492
18,2.80052994292393
19,2.97151644562662
20,3.23355064110168
21,2.78342914168947
22,3.12557105641337
23,2.66780628580042
24,5.30812942383949
25,2.97585238597367
26,3.11956820858599
27,2.32262610932466
28,2.25375884294926
29,3.1662501224233
30,3.06075480570711
31,1.93575411292169
32,3.1742569201194
33,2.59590075767317
34,3.51336057309145
35,2.76925058684747
36,3.57889972689596
37,2.79401544099987
38,2.95892542019885
39,3.03505087331377
40,4.30909530125865
41,2.76667108523317
42,2.74538247125297
43,2.38889309236855
44,1.95745992360503
45,4.40316540020679
46,2.82944104638765
47,3.22846608979805
48,4.60571618366385
49,4.04216624551568
50,2.80412219845552
51,2.24710754394862
52,2.12135714888672
53,4.9519091140569
54,1.98379152545444
55,3.91299250424072
56,2.95097151646189
57,4.98683077427639
58,3.74537645379196
59,1.92840917771702
60,6.20441664063696
61,2.8449514728602
62,2.18868693445934
63,1.90612859153675
64,2.98968004938981
65,2.92364794241238
66,3.17582366781642
67,2.73667355217582
68,1.02946878362891
69,3.01737529658237
70,2.31021740453358
71,2.18590433049115
72,2.97310397504084
73,3.61245003284393
74,3.45243491391285
75,2.56247987840275
76,2.03297848898107
77,2.60492879446359
78,3.9787281442672
79,3.18178604500587
80,2.62780965225082
81,2.66705139724128
82,2.56400615546185
83,1.82508088030481
84,4.00793758372699
85,2.49513888908645
86,4.85357861948316
87,2.19637648348729
88,2.72807229006206
89,3.3792730588765
90,3.01974541824022
91,3.83704500970221
92,3.35928081852722
93,1.58754965009308
94,2.65803054066363
95,3.48773165670393
96,5.31860875704839
97,3.665889597681
98,2.12143987382095
99,3.03089289154313
100,2.34348863949009
101,2.15469184377284
102,2.56283167243881
103,5.55233254458279
104,3.16278729356926
105,3.18937455320234
106,2.34566379163856
107,2.86520655120591
108,3.34322640016456
109,2.81583726704259
110,2.3414438666509
111,2.38642960611364
112,1.63130026828003
113,5.00630797477127
114,3.40265976357112
115,3.85666336933396
116,2.83231039882099
117,4.35556596609439
118,2.05746028750069
119,2.23773048477747
120,3.76486815840149
121,2.06066745857106
122,2.33799312258871
123,2.32094521531338
124,2.49210062733459
125,2.24279425436389
126,4.69144275907533
127,1.73962446679163
128,2.44939605349009
129,2.13139132346251
130,3.36150224850291
131,2.80909260344489
132,3.03172955592913
133,2.11012349119952
134,2.22051366818362
135,2.82816601855479
136,1.84073094920164
137,2.02505216214756
138,2.41192415855054
139,2.31866404969515
140,2.31166152073929
141,2.74815845908925
142,5.04506278552641
143,5.56921055454264
144,4.41293543182188
145,2.64283205169158
146,1.82452688652507
147,3.04029034740496
148,2.18101626540949
149,1.86723146036957
150,1.63733632114582
151,2.40205889329326
152,2.30686002506845
153,2.8987670729006
154,3.8107043585949
155,3.32660798613254
156,4.62322285107673
157,6.5501084712094
158,3.95839752120003
159,2.43531086324516
160,2.99442470126297
161,3.50181441382289
162,2.25926059095604
163,2.89454714791294
164,2.37572729144385
165,2.67406512994082
166,3.63402641684972
167,3.07959126395712
168,4.53583616337117
169,1.96469940942078
170,1.96875042508992
171,6.10951610840821
172,2.3912377179164
173,1.53286037447883
174,4.02423501100062
175,2.50206587332084
176,4.13057417231557
177,2.61043054247037
178,2.26508145667609
179,1.87297678136816
180,4.30578060000593
181,4.65508546782716
182,3.16136867347356
183,5.56509247932908
184,3.49244397078366
185,4.90533091903881
186,3.59342102651612
187,3.19102838789386
188,4.40438125647796
189,2.91252106064041
190,3.31171501336933
191,2.38762468066761
192,2.80664252850813
193,3.57852992279803
194,2.26600084599631
195,2.37740377689769
196,1.64240009073224
197,1.74544533251168
198,5.5136385157695
199,2.11695711083686
200,2.06648832429111
201,2.76676004127279
202,2.09062550898744
203,2.11695711083686
204,2.46129344271385
205,3.12472093421204
206,2.64202240012818
207,3.65662612074326
208,5.05974905632093
209,3.24802753193975
210,2.18446700947168
211,4.00805173004126
212,3.75937302652663
213,6.21049316414067
214,2.23611745925323
215,3.91876047600163
216,2.19864556431367
217,4.16189509182643
218,1.96385556482201
219,1.57394530666718
220,4.29191267770017
221,2.16659002025512
222,2.39631625016036
223,1.63038443787366
224,3.0077212802046
225,2.29419701383306
226,2.68495111658666
227,2.05906919570436
228,3.38693524274931
229,2.3135113240691
230,3.1324046760507
231,3.56897529007699
232,2.55272435090231
233,2.14438141988245
234,2.05931009083049
235,2.36288060823241
236,1.98841731662052
237,2.06614371046782
238,4.11494488513595
239,4.87303032386803
240,4.08223842378675
241,3.64485815819706
242,3.0859869051741
243,2.77330160251661
244,2.84884487674416
