,Predicted_TipAmount
1,2.70668411934969
2,2.56852477743814
3,3.12694426825005
4,3.10561076612262
5,3.56197799023488
6,3.67219298241035
7,2.38575847557238
8,3.81743299991809
9,2.64342188288145
10,2.6316361141463
11,2.44272027765953
12,4.73450364832685
13,2.66083838039982
14,3.15439747609057
15,2.60735342353389
16,2.97901162347643
17,2.54285710989129
18,2.85260036032869
19,2.85721568378217
20,3.14368202309699
21,2.81307833720232
22,2.90778931037903
23,2.67840200469687
24,5.67553405097833
25,2.91458738565944
26,3.15448203183545
27,2.59651897109123
28,2.56698539351974
29,3.02250548201972
30,2.87295050123227
31,2.43888888051812
32,3.18988907393255
33,2.64561863438259
34,3.31008085853782
35,2.80587770135509
36,3.37976913220489
37,2.88701524076674
38,2.88847702213145
39,3.02233489111864
40,4.01773219351517
41,2.87242528984638
42,2.75840446093071
43,2.59426706440857
44,2.41999379374085
45,4.18376385437077
46,2.80017923581116
47,3.01708002420732
48,4.42503542976332
49,3.69454770111821
50,2.78746391441886
51,2.53428918097665
52,2.42063893511183
53,4.66967516096318
54,2.42995652354185
55,3.69607230306441
56,2.86286371170341
57,4.97728697839896
58,3.28920400078098
59,2.4123097963444
60,8.43691124018269
61,2.81239256754902
62,2.51386456680903
63,2.40399633634913
64,3.03571679404166
65,2.9582490263893
66,3.10739906010661
67,2.71057101595371
68,2.03567617961583
69,2.93746049578191
70,2.56427020968266
71,2.53853595058736
72,2.89610841860991
73,3.15833377231052
74,3.0588692339949
75,2.6306529361351
76,2.47667431279067
77,2.69532730409851
78,3.49300991998016
79,2.82160823964782
80,2.56376567169577
81,2.55381210743796
82,2.53706375072054
83,2.17128060366982
84,3.27549437233518
85,2.50885986505612
86,4.15917290589976
87,2.39343172143279
88,2.6068805235929
89,2.92653275303153
90,2.74097501597876
91,3.23735448589507
92,2.97983579765539
93,2.15487362910673
94,2.53043836372491
95,2.96068662350297
96,5.08328622245883
97,3.12591319764581
98,2.38505198819727
99,2.77190375218913
100,2.49410068727768
101,2.3387775544167
102,2.49181661424144
103,5.45298807569601
104,2.89390008805775
105,2.94291897787658
106,2.57935485748201
107,2.82273848072531
108,3.09109844645832
109,2.82967653157489
110,2.5100366884732
111,2.62449395691368
112,2.22980510951105
113,4.79305480546701
114,3.12267274930524
115,3.41250604630931
116,2.72204709835289
117,4.13083468423726
118,2.28736991196489
119,2.3497093377569
120,3.22080671637528
121,2.34443618628044
122,2.38587439545638
123,2.44024310714379
124,2.50763001159944
125,2.35150954764156
126,4.27316166956314
127,2.23614576654179
128,2.42738617820378
129,2.31253156574403
130,2.99023522981104
131,2.64279477365059
132,2.67024265914301
133,2.30523674295993
134,2.34360918789264
135,2.58001066872081
136,2.21666611951962
137,2.27651194379715
138,2.41326283632167
139,2.41553419256725
140,2.37626914261517
141,2.54619388404099
142,4.97930412559255
143,5.69703603434828
144,3.9692270254658
145,2.50300433590385
146,2.2115550678395
147,2.73579725352252
148,2.32973369788729
149,2.2779683238183
150,2.20371412083079
151,2.59998080375287
152,2.55922414547471
153,2.90497822593617
154,3.60830015291777
155,3.24374027135072
156,4.40775508626357
157,11.8995279358012
158,3.59620045049888
159,2.54508653045628
160,3.03343649452783
161,3.36685465430318
162,2.53932125837709
163,2.81735086426616
164,2.58857838311828
165,2.6205633660977
166,3.36780526386507
167,2.93233579867989
168,4.3387139045761
169,2.36607598960616
170,2.36753607256789
171,7.29390818714356
172,2.59901217127146
173,2.24927102989302
174,3.51752549107754
175,2.61623431359813
176,3.60426879766601
177,2.66484418637878
178,2.51587141759846
179,2.30872116837972
180,3.75691532571423
181,4.40809215089413
182,2.94283389518319
183,5.65842867829357
184,3.31497812222198
185,4.39367112350932
186,3.53736596122497
187,2.94193325894824
188,4.26324218001103
189,2.79460753493891
190,3.10836791998488
191,2.56678761901222
192,2.54436589026884
193,3.00367069693966
194,2.39592400174337
195,2.43778929497668
196,2.20529749914398
197,2.21794105013478
198,4.95028557113807
199,2.28623509878336
200,2.32443345310184
201,2.65439770470179
202,2.27741388295535
203,2.28623509878336
204,2.40821471397113
205,2.89620956200332
206,2.53040122762698
207,3.39072369003219
208,5.09629380769616
209,3.03366036873276
210,2.44797675499278
211,3.67226921988762
212,3.5728498192939
213,8.46483316684508
214,2.46805494398968
215,3.46630690354548
216,2.45345581193913
217,4.07220691630683
218,2.42565491345236
219,2.28651369540316
220,3.90534022302704
221,2.39920317604708
222,2.4244809939044
223,2.17519962467773
224,2.77274806738809
225,2.44741317418881
226,2.53879061264181
227,2.30330761737603
228,3.33548391087728
229,2.59257115472913
230,2.87762097920123
231,3.4230279192015
232,2.73262480713013
233,2.52143551045899
234,2.48711020357795
235,2.58674590569046
236,2.45921167936118
237,2.46500635822952
238,3.65154882779351
239,4.48334722993218
240,3.79516947080219
241,3.17927141850832
242,2.9406518350737
243,2.80793126160631
244,2.59179617396664
