,Predicted_TipAmount
1,2.63687585367774
2,2.01791446853034
3,2.97821091630097
4,3.12140644984458
5,3.65572109257539
6,3.54777498711003
7,1.79626602245158
8,3.72117949320823
9,2.30919130494502
10,2.28664307752244
11,1.91312083669517
12,4.91602117858332
13,2.34234540512349
14,2.84705877990614
15,2.44002841855722
16,2.9127551919871
17,2.15711159165717
18,2.53043273609745
19,2.75111517357646
20,3.12879988378781
21,2.74026583177075
22,3.13868214404623
23,2.69727297226184
24,5.48090587971055
25,2.92315781521825
26,2.96865201398428
27,2.32630127216791
28,2.26734406793432
29,3.1099394363926
30,3.07414985029992
31,2.00491526024162
32,3.02211940469549
33,2.63097498598985
34,3.4366635726485
35,2.72702327274772
36,3.48339193138457
37,2.70502277511443
38,2.92715910804001
39,2.93359969773402
40,4.29578415907702
41,2.67967723803941
42,2.52437011436768
43,2.21455102176829
44,1.8667186243126
45,4.11978675255206
46,2.60037834214689
47,2.97656652293274
48,4.35530163720805
49,3.76915700396186
50,2.57736565128918
51,2.09696362958542
52,2.05117382113446
53,4.85910574400689
54,1.88709685098122
55,3.57692941077967
56,2.71226301441469
57,5.06735179878898
58,3.78962421475699
59,2.00100973611954
60,6.7303324459928
61,2.8004231762357
62,2.21439866730295
63,1.98324522162049
64,2.84592082344704
65,2.82680280463409
66,3.07138418274255
67,2.76154304569535
68,1.42553106177755
69,2.96339894526884
70,2.31773728832226
71,2.20999398913325
72,2.94087842091936
73,3.64751031752534
74,3.4769181254714
75,2.60044125261718
76,2.08343583652661
77,2.57811980402918
78,3.87897364302336
79,3.13911602636961
80,2.60914652358849
81,2.64733668597796
82,2.55125252582491
83,2.02164503954688
84,4.02321396937383
85,2.48949266402321
86,5.00073146637161
87,2.23032608900257
88,2.70143511619911
89,3.33988409416947
90,2.97903091654683
91,3.80279154241363
92,3.29217874120316
93,1.78043259677841
94,2.678735254543
95,3.49816151720944
96,5.48122234515907
97,3.61658523147533
98,2.14770396767298
99,2.96658703567783
100,2.33333947484875
101,2.23358098225964
102,2.59144138918913
103,5.97359026719143
104,3.17851513810379
105,3.20286080305691
106,2.34832162043669
107,2.81960353532092
108,3.29126175389077
109,2.77065498460647
110,2.4051414902848
111,2.38159869012575
112,1.85844421209166
113,4.90069818645662
114,3.14875663873875
115,3.64297156991719
116,2.66668780038343
117,4.06539066185069
118,2.17211970649244
119,2.32479648081983
120,3.71998749790506
121,2.11730676254176
122,2.41195610364452
123,2.33665428172554
124,2.48678539297693
125,2.3291600241915
126,4.67899019582313
127,1.86163843118953
128,2.51068128727579
129,2.23410714952847
130,3.27192409707692
131,2.77718349163962
132,3.0589735950913
133,2.2161857923952
134,2.30999103593085
135,2.861158557794
136,1.99542862457279
137,2.14522206094544
138,2.47725271600528
139,2.33680856438119
140,2.38891039367463
141,2.78522032951821
142,5.03264828960713
143,5.78436552140481
144,4.34486255214073
145,2.68680831100375
146,1.98251919263527
147,3.0197423125168
148,2.27620430948296
149,1.9612913419251
150,1.78363392666902
151,2.22563260109896
152,2.14612727429999
153,2.61947856007887
154,3.46848183093013
155,2.97788093782419
156,4.40089670564114
157,6.80577200927196
158,3.70070669025828
159,2.31303860657209
160,2.66286622896157
161,3.15112401249258
162,2.10691686561379
163,2.67947021323498
164,2.20349709930997
165,2.5249155084596
166,3.33483555602832
167,2.83324106306444
168,4.27330938522892
169,2.08640968138406
170,2.08971645863833
171,6.66594045415418
172,2.38793890339334
173,1.55512470561125
174,3.80535294164745
175,2.31282357084005
176,3.92343680473273
177,2.40685578300671
178,2.1137121814104
179,1.8570387245243
180,4.12192932149928
181,4.41661748118943
182,2.91390395155276
183,5.62768712811746
184,3.14419805864215
185,4.83822076569309
186,3.19460264637368
187,2.96302582107479
188,4.06866983469606
189,2.6983982963719
190,3.01304198244856
191,2.21555269549046
192,2.84297182641368
193,3.55137625513298
194,2.29155320869241
195,2.38780773580217
196,1.78745625977195
197,1.86802629915576
198,5.87266994066877
199,2.22400804975151
200,2.1241187992253
201,2.6947087534066
202,2.20188064828874
203,2.22400804975151
204,2.52354868780256
205,2.9894159253595
206,2.64369770925867
207,3.56844643212361
208,5.16050084342074
209,3.19442241228153
210,2.26958438380997
211,3.95330838414846
212,3.62667970334415
213,6.73924057138133
214,2.31375304449928
215,3.93107143797407
216,2.28166672881101
217,4.01764547208527
218,2.02943470473861
219,1.72778597759084
220,4.3032170059365
221,2.18766433963923
222,2.44478758117566
223,1.79907125254979
224,2.96496622850592
225,2.29558226235921
226,2.70637418736378
227,2.15598339107965
228,3.23458452801687
229,2.31845466367394
230,3.14798982706983
231,3.42474547168905
232,2.48767913146165
233,2.17526148618515
234,2.10496137504691
235,2.36324920082217
236,2.04726002331133
237,2.11258499186209
238,4.12965074392209
239,5.06938857425113
240,4.03428103630674
241,3.68255813130546
242,3.03291486108129
243,2.73080358803737
244,2.87817479636213
