,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,1,0.248773604676535,0.751226395323465
2,0,0.735138907797229,0.264861092202771
3,1,0.203286118686013,0.796713881313987
4,0,0.767593571544871,0.232406428455129
5,1,0.226968091493623,0.773031908506377
6,0,0.802561933366013,0.197438066633987
7,1,0.345636404769314,0.654363595230686
8,0,0.793630760637016,0.206369239362984
9,1,0.393196817987971,0.606803182012029
10,0,0.824300637254903,0.175699362745097
11,0,0.84343193194246,0.15656806805754
12,1,0.289191838073784,0.710808161926216
13,1,0.24322117551012,0.75677882448988
14,1,0.24543407427057,0.75456592572943
15,0,0.832377604534622,0.167622395465378
17,0,0.744510213667197,0.255489786332803
18,1,0.237851765428938,0.762148234571062
19,1,0.252137176492764,0.747862823507236
20,0,0.79060130990315,0.20939869009685
21,0,0.806347963458404,0.193652036541596
22,1,0.286913560091481,0.713086439908519
23,0,0.780315973393379,0.219684026606621
24,1,0.26352002255794,0.73647997744206
25,1,0.248773604676535,0.751226395323465
26,0,0.779271724259659,0.220728275740341
27,0,0.824103298273297,0.175896701726703
28,1,0.290398011919563,0.709601988080437
29,1,0.25552458399011,0.74447541600989
30,0,0.782395939391118,0.217604060608882
31,0,0.799611176587431,0.200388823412569
32,0,0.794634777231189,0.205365222768811
33,1,0.249892134033299,0.750107865966701
34,1,0.282262626228897,0.717737373771103
35,0,0.796634085401592,0.203365914598408
36,1,0.266985309287772,0.733014690712228
37,1,0.208417036230851,0.791582963769149
39,0,0.795635886814528,0.204364113185472
40,0,0.802561933366013,0.197438066633987
42,1,0.265827661315856,0.734172338684144
43,1,0.401352667874659,0.598647332125341
44,1,0.284649796998533,0.715350203001467
45,1,0.262370049099634,0.737629950900366
46,0,0.799611176587431,0.200388823412569
48,0,0.796634085401592,0.203365914598408
49,1,0.276337203002345,0.723662796997655
50,0,0.757915029133528,0.242084970866472
51,1,0.246662194192887,0.753337805807113
52,0,0.787545847613483,0.212454152386517
53,0,0.782395939391118,0.217604060608882
54,0,0.770816054019253,0.229183945980747
55,0,0.746646017129374,0.253353982870626
56,1,0.215452932479553,0.784547067520447
57,0,0.77400273481148,0.22599726518852
58,1,0.238822466219205,0.761177533780795
59,0,0.803539650414699,0.196460349585301
61,0,0.83394928918733,0.16605071081267
62,1,0.362679722441849,0.637320277558151
63,0,0.84258490392824,0.15741509607176
64,1,0.325084950678995,0.674915049321005
65,0,0.825920454970056,0.174079545029944
66,1,0.307526339245145,0.692473660754855
67,1,0.256658980101574,0.743341019898426
68,1,0.249892134033299,0.750107865966701
69,0,0.799611176587431,0.200388823412569
72,0,0.825920454970056,0.174079545029944
73,1,0.298906440407502,0.701093559592498
74,1,0.241019107606729,0.758980892393271
76,0,0.801581279764099,0.198418720235901
77,1,0.277386531261774,0.722613468738226
78,0,0.806347963458404,0.193652036541596
79,1,0.219826392011735,0.780173607988265
80,1,0.39591042257073,0.60408957742927
82,0,0.836663500101139,0.163336499898861
83,1,0.191747192735542,0.808252807264458
84,1,0.307657435374146,0.692342564625854
85,0,0.836571532130684,0.163428467869316
86,1,0.313749529108884,0.686250470891116
87,0,0.805486261663815,0.194513738336185
88,0,0.781357380159567,0.218642619840433
89,1,0.253263674271967,0.746736325728033
90,0,0.829518822310748,0.170481177689252
91,1,0.229098429181388,0.770901570818612
92,0,0.829518822310748,0.170481177689252
93,1,0.287988024726577,0.712011975273423
94,0,0.821452487919541,0.178547512080459
95,0,0.683645713413373,0.316354286586627
96,1,0.295374817071192,0.704625182928808
97,0,0.845954979897551,0.154045020102449
98,1,0.263392504487928,0.736607495512072
99,1,0.326354748276194,0.673645251723806
100,1,0.326354748276194,0.673645251723806
101,0,0.845116969670457,0.154883030329543
102,0,0.793630760637016,0.206369239362984
103,1,0.209429837933709,0.790570162066291
104,1,0.258935614632304,0.741064385367696
105,1,0.334015420034109,0.665984579965891
106,1,0.256658980101574,0.743341019898426
110,0,0.79060130990315,0.20939869009685
111,0,0.784464495005803,0.215535504994197
112,1,0.333731284374413,0.666268715625587
113,1,0.33887565162193,0.66112434837807
114,1,0.332450014467889,0.667549985532111
115,0,0.844930897151914,0.155069102848085
116,0,0.736631342009194,0.263368657990806
117,1,0.199531863509837,0.800468136490163
118,1,0.249892134033299,0.750107865966701
120,0,0.881122799216512,0.118877200783488
121,0,0.840025781759844,0.159974218240156
123,1,0.178571176917132,0.821428823082868
124,0,0.827820776483921,0.172179223516079
125,1,0.288115253904593,0.711884746095407
127,0,0.834826374600807,0.165173625399193
128,1,0.310009106786403,0.689990893213597
129,0,0.801581279764099,0.198418720235901
130,1,0.25552458399011,0.74447541600989
131,1,0.208417036230851,0.791582963769149
132,1,0.232434113249434,0.767565886750566
133,0,0.77822463801034,0.22177536198966
134,0,0.845116969670457,0.154883030329543
136,0,0.824300637254903,0.175699362745097
137,0,0.80742108796272,0.19257891203728
138,1,0.237736435497837,0.762263564502163
139,0,0.760111493382568,0.239888506617432
140,1,0.246662194192887,0.753337805807113
141,0,0.743375898049931,0.256624101950069
142,1,0.232434113249434,0.767565886750566
143,0,0.800597693009876,0.199402306990124
144,0,0.824103298273297,0.175896701726703
145,1,0.297684038297491,0.702315961702509
146,0,0.844275953783276,0.155724046216724
147,1,0.327626561613836,0.672373438386164
149,0,0.841734869594898,0.158265130405102
150,1,0.310009106786403,0.689990893213597
151,0,0.794634777231189,0.205365222768811
152,0,0.781357380159567,0.218642619840433
154,1,0.24322117551012,0.75677882448988
155,0,0.823286958449746,0.176713041550254
156,1,0.292945622798261,0.707054377201739
157,0,0.796634085401592,0.203365914598408
159,0,0.809344105085171,0.190655894914829
160,1,0.202401154276624,0.797598845723376
161,1,0.231358878104117,0.768641121895883
162,1,0.330176184933013,0.669823815066987
163,0,0.839166728339357,0.160833271660643
164,1,0.310009106786403,0.689990893213597
165,0,0.789585706799673,0.210414293200327
166,0,0.835700455759425,0.164299544240575
168,1,0.310009106786403,0.689990893213597
169,1,0.258935614632304,0.741064385367696
170,1,0.27281148109122,0.72718851890878
171,0,0.803539650414699,0.196460349585301
172,0,0.800597693009876,0.199402306990124
173,0,0.804514427592284,0.195485572407716
174,0,0.787034083410121,0.212965916589879
175,0,0.812206438810585,0.187793561189415
176,0,0.838304668762722,0.161695331237278
178,0,0.839166728339357,0.160833271660643
179,1,0.322551452862991,0.677448547137009
181,1,0.26007783672191,0.73992216327809
182,1,0.271641219117125,0.728358780882875
183,1,0.249892134033299,0.750107865966701
184,0,0.789585706799673,0.210414293200327
186,0,0.796634085401592,0.203365914598408
187,1,0.278700037111138,0.721299962888862
188,1,0.202401154276624,0.797598845723376
189,1,0.238943546048018,0.761056453951982
190,0,0.783431646005719,0.216568353994281
191,1,0.239922152745067,0.760077847254933
192,0,0.784464495005803,0.215535504994197
193,1,0.282262626228897,0.717737373771103
194,1,0.201408699608702,0.798591300391298
195,0,0.784464495005803,0.215535504994197
196,1,0.234478441161222,0.765521558838778
198,0,0.818580076945136,0.181419923054864
199,1,0.289191838073784,0.710808161926216
200,1,0.24322117551012,0.75677882448988
201,0,0.800597693009876,0.199402306990124
202,0,0.808384074133602,0.191615925866398
203,0,0.79060130990315,0.20939869009685
204,0,0.826824541995997,0.173175458004003
206,0,0.818781297127481,0.181218702872519
207,0,0.876867485859615,0.123132514140385
208,1,0.307526339245145,0.692473660754855
209,1,0.312500567810619,0.687499432189381
210,0,0.828623726857513,0.171376273142487
211,0,0.809344105085171,0.190655894914829
212,0,0.801581279764099,0.198418720235901
213,0,0.75901462221801,0.24098537778199
214,1,0.305052357808657,0.694947642191343
215,1,0.295246103369551,0.704753896630449
216,0,0.748016377425872,0.251983622574128
217,1,0.175823725342963,0.824176274657037
218,0,0.817850960106524,0.182149039893476
219,1,0.26007783672191,0.73992216327809
221,1,0.208417036230851,0.791582963769149
222,0,0.788675091468501,0.211324908531499
223,0,0.782914149589871,0.217085850410129
225,0,0.800104800786174,0.199895199213826
226,0,0.77717471998222,0.22282528001778
227,0,0.827725633035281,0.172274366964719
228,1,0.294030592185163,0.705969407814837
229,0,0.817649094454774,0.182350905545226
230,1,0.287988024726577,0.712011975273423
231,1,0.249892134033299,0.750107865966701
232,0,0.806455149477129,0.193544850522871
233,0,0.801581279764099,0.198418720235901
234,1,0.244443331639812,0.755556668360188
