,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,1,0.219631813531069,0.780368186468931
2,0,0.811649875326532,0.188350124673468
3,1,0.26583118041479,0.73416881958521
4,0,0.808645446663062,0.191354553336938
5,1,0.260936279012209,0.739063720987791
6,0,0.785308623047181,0.214691376952819
7,1,0.266115179419909,0.733884820580091
8,0,0.786341035507863,0.213658964492137
9,1,0.324405998722241,0.675594001277759
10,0,0.782650783091951,0.217349216908049
11,0,0.81331022117289,0.18668977882711
12,1,0.275757694348621,0.724242305651379
13,1,0.22064077905385,0.77935922094615
14,1,0.220237004610149,0.779762995389851
15,0,0.781603119436583,0.218396880563417
17,0,0.784483581992305,0.215516418007695
18,1,0.209201234874018,0.790798765125982
19,1,0.219027189375198,0.780972810624802
20,0,0.786684224462036,0.213315775537964
21,0,0.81114478793707,0.18885521206293
22,1,0.26288418284591,0.73711581715409
23,0,0.78782476913207,0.21217523086793
24,1,0.217015901977476,0.782984098022524
25,1,0.219631813531069,0.780368186468931
26,0,0.787938534705063,0.212061465294937
27,0,0.815537799419397,0.184462200580603
28,1,0.275542557801727,0.724457442198273
29,1,0.218423134637101,0.781576865362899
30,0,0.787597080521359,0.212402919478641
31,0,0.78565323518144,0.21434676481856
32,0,0.786226533872601,0.213773466127399
33,1,0.21943020903107,0.78056979096893
34,1,0.213811231932809,0.786188768067191
35,0,0.785997372541454,0.214002627458546
36,1,0.216413763281846,0.783586236718154
37,1,0.214777768217955,0.785222231782045
39,0,0.786111979555173,0.213888020444827
40,0,0.785308623047181,0.214691376952819
42,1,0.216614411836569,0.783385588163431
43,1,0.323079167770978,0.676920832229022
44,1,0.213411822334333,0.786588177665667
45,1,0.217216743379686,0.782783256620314
46,0,0.78565323518144,0.21434676481856
48,0,0.785997372541454,0.214002627458546
49,1,0.214810903350593,0.785189096649407
50,0,0.783095826898823,0.216904173101177
51,1,0.207617610879594,0.792382389120406
52,0,0.78702693978606,0.21297306021394
53,0,0.787597080521359,0.212402919478641
54,0,0.788846771595845,0.211153228404155
55,0,0.810612956874364,0.189387043125636
56,1,0.263274474995392,0.736725525004608
57,0,0.808020411096524,0.191979588903476
58,1,0.258603427581135,0.741396572418865
59,0,0.785193646764689,0.214806353235311
61,0,0.81442695887937,0.18557304112063
62,1,0.263344957187456,0.736655042812544
63,0,0.813411987020963,0.186588012979037
64,1,0.269534370277787,0.730465629722213
65,0,0.815336266093677,0.184663733906322
66,1,0.272534643229527,0.727465356770473
67,1,0.218221910025811,0.781778089974189
68,1,0.21943020903107,0.78056979096893
69,0,0.78565323518144,0.21434676481856
72,0,0.815336266093677,0.184663733906322
73,1,0.274037661644825,0.725962338355175
74,1,0.221044803613173,0.778955196386827
76,0,0.785423546534761,0.214576453465239
77,1,0.264587344909323,0.735412655090677
78,0,0.81114478793707,0.18885521206293
79,1,0.200318786737562,0.799681213262438
80,1,0.323963653387256,0.676036346612744
82,0,0.807724521987363,0.192275478012637
83,1,0.205808643687352,0.794191356312648
84,1,0.259274224502326,0.740725775497674
85,0,0.814122979779839,0.185877020220161
86,1,0.271462226375156,0.728537773624844
87,0,0.784963535758766,0.215036464241234
88,0,0.787710951075585,0.212289048924415
89,1,0.218825774404075,0.781174225595925
90,0,0.814932616184057,0.185067383815943
91,1,0.260511722955429,0.739488277044571
92,0,0.814932616184057,0.185067383815943
93,1,0.275972868455514,0.724027131544486
94,0,0.809493209094125,0.190506790905875
95,0,0.783192569125342,0.216807430874658
96,1,0.261396187359377,0.738603812640623
97,0,0.813004630100308,0.186995369899692
98,1,0.267147176523261,0.732852823476739
99,1,0.269320364382889,0.730679635617111
100,1,0.269320364382889,0.730679635617111
101,0,0.813106542728344,0.186893457271656
102,0,0.786341035507863,0.213658964492137
103,1,0.214577713972653,0.785422286027347
104,1,0.217819651808791,0.782180348191209
105,1,0.268037181111038,0.731962818888962
106,1,0.218221910025811,0.781778089974189
110,0,0.786684224462036,0.213315775537964
111,0,0.787369181862738,0.212630818137262
112,1,0.374267806378491,0.625732193621509
113,1,0.37337668018725,0.62662331981275
114,1,0.374490582319771,0.625509417680229
115,0,0.85690081430548,0.14309918569452
116,0,0.798392189020353,0.201607810979647
117,1,0.240494574822379,0.759505425177621
118,1,0.21943020903107,0.78056979096893
120,0,0.837683856210913,0.162316143789087
121,0,0.813716991257855,0.186283008742145
123,1,0.208574073878865,0.791425926121135
124,0,0.808766662832708,0.191233337167292
125,1,0.262671481413483,0.737328518586517
127,0,0.814325681270925,0.185674318729075
128,1,0.27210555885779,0.72789444114221
129,0,0.785423546534761,0.214576453465239
130,1,0.218423134637101,0.781576865362899
131,1,0.214777768217955,0.785222231782045
132,1,0.210193205249796,0.789806794750204
133,0,0.78805224780882,0.21194775219118
134,0,0.813106542728344,0.186893457271656
136,0,0.782650783091951,0.217349216908049
137,0,0.78473321340468,0.21526678659532
138,1,0.221651307797943,0.778348692202057
139,0,0.782863792155395,0.217136207844605
140,1,0.207617610879594,0.792382389120406
141,0,0.784598884097148,0.215401115902852
142,1,0.210193205249796,0.789806794750204
143,0,0.785538417241491,0.214461582758509
144,0,0.815537799419397,0.184462200580603
145,1,0.274252532607809,0.725747467392191
146,0,0.813208406413945,0.186791593586055
147,1,0.269106398905149,0.730893601094851
149,0,0.813513703973952,0.186486296026048
150,1,0.27210555885779,0.72789444114221
151,0,0.786226533872601,0.213773466127399
152,0,0.787710951075585,0.212289048924415
154,1,0.22064077905385,0.77935922094615
155,0,0.809285872153628,0.190714127846372
156,1,0.261821110542923,0.738178889457077
157,0,0.785997372541454,0.214002627458546
159,0,0.784502679590264,0.215497320409736
160,1,0.215979460013627,0.784020539986373
161,1,0.210391801629744,0.789608198370256
162,1,0.268678589582526,0.731321410417474
163,0,0.813818561620368,0.186181438379632
164,1,0.27210555885779,0.72789444114221
165,0,0.786798515510061,0.213201484489939
166,0,0.81422435490969,0.18577564509031
168,1,0.27210555885779,0.72789444114221
169,1,0.217819651808791,0.782180348191209
170,1,0.215411489342011,0.784588510657989
171,0,0.785193646764689,0.214806353235311
172,0,0.785538417241491,0.214461582758509
173,0,0.785078617673232,0.214921382326768
174,0,0.787084012986224,0.212915987013776
175,0,0.784156482135523,0.215843517864477
176,0,0.813920083150995,0.186079916849005
178,0,0.813818561620368,0.186181438379632
179,1,0.269962502937714,0.730037497062286
181,1,0.21761861838743,0.78238138161257
182,1,0.215611814645965,0.784388185354035
183,1,0.21943020903107,0.78056979096893
184,0,0.786798515510061,0.213201484489939
186,0,0.785997372541454,0.214002627458546
187,1,0.214410838540243,0.785589161459757
188,1,0.215979460013627,0.784020539986373
189,1,0.209003043738481,0.790996956261519
190,0,0.787483157455153,0.212516842544847
191,1,0.221246909454658,0.778753090545342
192,0,0.787369181862738,0.212630818137262
193,1,0.213811231932809,0.786188768067191
