,Predicted_Type
1,1.0101372265817
2,1.05096329338433
3,1.10178746513851
4,0.940349624169999
5,1.39659122952285
6,0.934651080312901
7,0.960488553884364
8,1.00483082069668
9,1.03305416050532
10,1.10311796511599
11,0.951434708689191
12,1.06328081975513
13,1.03242816101664
14,0.895554978143014
15,0.857463347602561
16,1.05152157095778
17,1.05134371006407
18,1.12311077280993
19,0.866216639216346
20,1.14114221389356
21,1.15986435054214
22,1.36789387298552
23,1.03787254713258
24,1.20056241934952
25,1.20636000164118
26,1.34830532120266
27,1.03072378612943
28,1.17000984453295
29,1.12325762260845
30,1.14318379374774
31,1.12171137248019
32,1.03361041893753
33,1.1576035152987
34,1.08143877714812
35,1.16598024818697
36,1.24342816810691
37,1.17152265197063
38,1.23509712928618
39,1.20858422002243
40,1.10910865676433
41,1.2213862350719
42,1.25287712733813
43,0.975756867457765
44,1.43965062626125
45,1.29101190402803
46,1.13949584285885
47,1.04319044213288
48,1.12314765062731
49,1.19096780935099
50,1.05146602499419
51,1.11899760159767
52,1.00028022051122
53,0.982568683163431
54,1.02153248019518
55,1.14086073982085
56,1.27426794790389
57,1.14956151870496
58,1.03947745857808
59,1.02126344961091
60,2.35215826217478
61,1.91094048254063
62,2.48028628475459
63,1.65854404289809
64,1.83693579407886
65,2.0958146929624
66,1.57049294244607
67,1.5021340319079
68,1.90934961542486
69,1.64978812544712
70,1.99709552908764
71,2.03982295089247
72,1.63820744604892
73,2.03578101137127
74,1.53515385979971
75,1.73042902346765
76,2.39322935049435
77,1.98225439219766
78,2.19506474447871
79,1.71805883329426
80,1.82182509713524
81,2.10407646125817
82,1.47697122510997
83,2.04487714190844
84,2.29338613098126
85,1.76675134108271
86,1.73743316189227
87,2.30318539140571
88,2.23459379611637
89,1.94678929776213
90,1.99123304451365
91,2.06771481925522
92,2.48308248110146
93,2.14771376015521
94,1.91312303358394
95,2.19171929248277
96,1.5498017464664
97,2.46758285910047
98,1.76217744492517
99,1.46876091635468
100,1.6667945434593
101,1.73094445445483
102,1.97259705760882
103,1.8855567008916
104,2.64335683200447
105,1.70469403788242
106,2.06604572022279
107,1.79748121051311
108,2.10388308017777
109,2.25812882731355
110,1.51104159410601
111,2.36522934493817
112,2.12499156229946
113,1.6875263048494
114,2.38285807590029
115,1.98513928526864
116,2.2986630158672
117,2.19661983996371
118,2.1782498538142
119,2.27530866686442
120,1.96630548002543
121,1.68381481047859
122,1.42604804539721
123,2.20752266586028
124,1.88074778286058
125,1.85130788080103
126,1.90792490099942
127,1.87176650056158
128,2.50896699145455
129,2.21833490151987
130,2.13111407939863
131,2.23106960280315
132,2.58256194322984
133,3.19003594002043
134,2.87826991751524
135,2.65794997442569
136,2.66068652736581
137,2.75530833668522
138,3.74251019787749
139,2.56770750405908
140,2.93863299304027
141,2.2988882561222
142,2.03926193136432
143,2.50820415876069
144,2.28963777488719
145,2.5266741851836
146,2.36673639840001
147,3.07790091028936
148,3.01443888280363
149,3.03643831364603
150,3.14396272770419
151,3.03659971818093
152,3.91921014809024
153,4.12629057523193
154,2.89693243956821
155,3.42825243571363
156,3.07204147184204
157,2.95556453724986
158,3.25986338246499
159,3.0151576870093
160,3.28891960737392
161,3.84589420594926
162,2.20861579908045
163,2.67560201343953
164,2.32448350688295
165,3.00783184515371
166,3.10931759991906
167,3.01964039737378
168,3.06532973163309
169,2.63672798483253
170,2.98121145518053
171,3.20388325129786
172,4.02059501790239
173,2.4529295120099
174,2.38953729568442
175,2.75341051701095
176,2.77594546897032
177,2.55524388869431
178,3.11063966078504
