,Predicted_Type
1,1.06289789136801
2,1.13311505594649
3,1.09462741840085
4,0.97343012904276
5,1.34515193913973
6,0.971161239582264
7,1.05460658285952
8,1.07562946211955
9,1.10452764114185
10,1.1451826611322
11,0.984856725391495
12,1.15174167227171
13,1.09402304999846
14,0.933452612350062
15,0.902207907633665
16,1.08511438795161
17,1.06369006328192
18,1.10081434146075
19,0.882558524407448
20,1.1650852913128
21,1.18798498185153
22,1.37018147609611
23,1.09350077041949
24,1.26238467196359
25,1.23941706192337
26,1.27498786774461
27,1.07260816271747
28,1.26525742549354
29,1.13260238724413
30,1.24641015359372
31,1.10453928573714
32,1.05760768582996
33,1.19578608531889
34,1.10677408194229
35,1.20693811294053
36,1.24073591939649
37,1.2058477253096
38,1.27784678903894
39,1.26353794572257
40,1.14463505132924
41,1.21537412375774
42,1.26930790917153
43,1.00339468421104
44,1.42017555064119
45,1.29763946227682
46,1.17430455213369
47,1.07511385983663
48,1.14535604955098
49,1.20854855666534
50,1.05795711950511
51,1.15487535111832
52,1.04687627910097
53,0.997232137439809
54,1.06529996933679
55,1.18896066015657
56,1.284430648158
57,1.19194099680947
58,1.052894283931
59,1.0288800549324
60,3.11435987824153
61,2.07349385538497
62,2.54502923308255
63,1.78741458942847
64,1.67491274092118
65,2.02953770495386
66,1.50920829197087
67,1.48693546988831
68,1.94280605537961
69,1.8162713418122
70,2.22280986377622
71,2.19610547735004
72,1.52668660722981
73,2.02287665629184
74,1.396595288501
75,1.72969476064978
76,2.40937934135751
77,2.07272266276307
78,2.22528366046107
79,1.81097254115535
80,1.63725579535299
81,2.01143369047359
82,1.47908933416252
83,2.00117471789648
84,2.14870498427263
85,1.75242152826169
86,1.79825881224863
87,2.17087726010903
88,2.07356625540956
89,1.89128967169128
90,1.98645807098278
91,2.08323906224524
92,2.44673372063371
93,2.15771482988592
94,1.84580559441258
95,2.04788834945285
96,1.54341552841153
97,2.51954975630272
98,1.73346190376971
99,1.34472260116054
100,1.5128776447186
101,1.74981287639815
102,2.15172188377217
103,1.81297434253034
104,2.55720426987822
105,1.75519764622672
106,1.95642774633144
107,1.80249562990221
108,2.04133332822719
109,2.18311028358735
110,1.41657465421642
111,2.03983659900894
112,1.9824264897986
113,1.59323909390977
114,2.1599259732962
115,1.834514995803
116,2.01717403449158
117,2.22209133356456
118,2.0357700234708
119,2.41977354846802
120,1.97826528597566
121,1.54975106506758
122,1.1010666504388
123,1.88669812798647
124,1.68765902219085
125,1.61350223911419
126,1.74308407827923
127,1.64448109786171
128,2.0074311609889
129,1.94600007409673
130,1.98869118465257
131,2.39520797041118
132,2.61243428313823
133,3.08418275886699
134,2.80486879620298
135,3.02426985563219
136,2.89530218704784
137,2.82704072484842
138,3.30531811939348
139,2.89312106550537
140,2.99456194012292
141,2.53432221080263
142,2.40025851406559
143,2.68829857651382
144,2.43612140836023
145,2.72607284621349
146,2.64192450440249
147,3.49467176500363
148,3.07869832964086
149,3.17450299361856
150,2.88291513349404
151,2.72767848038032
152,3.48796393947291
153,3.53729248965192
154,3.0381518770054
155,3.79284354190042
156,3.06245659851158
157,3.10512416955112
158,3.09716441993485
159,2.88326944257231
160,3.21374445187365
161,3.56728689043672
162,2.46759816316882
163,2.77850213049484
164,2.56835094227114
165,3.27858393155079
166,3.32308038591177
167,2.948257124025
168,3.30236881578874
169,2.71415248065612
170,2.83096241711817
171,3.51006018076844
172,4.40479584375539
173,2.77941280630625
174,2.54639226503411
175,2.82465086781608
176,2.95342736567358
177,2.78278836019514
178,3.05412343506821
