,Predicted_RetailPrice
1,18976.3439403235
2,18968.0584706472
3,18988.1674075886
4,18988.1674075886
5,18988.1674075886
6,18988.1674075886
7,18988.1674075886
8,18988.1674075886
9,18988.1674075886
10,18988.1674075886
11,18988.1674075886
12,18988.1674075886
13,18988.1674075886
14,18988.1674075886
15,18988.1674075886
16,18988.1674075886
17,18988.1674075886
18,18988.1674075886
19,18988.1674075886
20,18988.1674075886
21,18988.1674075886
22,18988.1674075886
23,18988.1674075886
24,18988.1674075886
25,18988.1674075886
26,18988.1674075886
27,18988.1674075886
28,18988.1674075886
29,18988.1674075886
30,18988.1674075886
31,18988.1674075886
32,18988.1674075886
33,18988.1674075886
34,18988.1674075886
35,18988.1674075886
36,18988.1674075886
37,18988.1674075886
38,18988.1674075886
39,18988.1674075886
40,18988.1674075886
41,18988.1674075886
42,18988.1674075886
43,18988.1674075886
44,18988.1674075886
45,18988.1674075886
46,18988.1674075886
47,18988.1674075886
48,18988.1674075886
49,18988.1674075886
50,18988.1674075886
51,18988.1674075886
52,18988.1674075886
53,18988.1674075886
54,18988.1674075886
55,18988.1674075886
56,18988.1674075886
57,18988.1674075886
58,18988.1674075886
59,18988.1674075886
60,18988.1674075886
61,18988.1674075886
62,18976.3439403235
63,18976.3439403235
64,18976.3439403235
65,18210.6577270878
66,18210.6577270878
67,18976.3439403235
68,18210.6577270878
69,18968.0584706472
70,18968.0584706472
71,18968.0584706472
72,18968.0584706472
73,18968.0584706472
74,18968.0584706472
75,18968.0584706472
76,18968.0584706472
77,18202.3722574115
78,18968.0584706472
79,18202.3722574115
80,18968.0584706472
81,18968.0584706472
82,18968.0584706472
83,18202.3722574115
84,18202.3722574115
85,18968.0584706472
86,18968.0584706472
87,18968.0584706472
88,18968.0584706472
89,18968.0584706472
90,18968.0584706472
91,18968.0584706472
92,18968.0584706472
93,18968.0584706472
94,18968.0584706472
95,18968.0584706472
96,18968.0584706472
97,18976.3439403235
98,18976.3439403235
99,18976.3439403235
100,18976.3439403235
101,18976.3439403235
102,18976.3439403235
103,18976.3439403235
104,18976.3439403235
105,18210.6577270878
106,18976.3439403235
107,18976.3439403235
108,18210.6577270878
109,18976.3439403235
110,18210.6577270878
111,18976.3439403235
112,18976.3439403235
113,18976.3439403235
114,18976.3439403235
115,18976.3439403235
116,18976.3439403235
117,18976.3439403235
118,18976.3439403235
119,18976.3439403235
120,18976.3439403235
121,18976.3439403235
122,18976.3439403235
123,18976.3439403235
124,18976.3439403235
125,18976.3439403235
126,18976.3439403235
127,18976.3439403235
128,18976.3439403235
129,18976.3439403235
130,18976.3439403235
131,18976.3439403235
132,18976.3439403235
133,18976.3439403235
134,18976.3439403235
135,18976.3439403235
136,18976.3439403235
137,18976.3439403235
138,18976.3439403235
139,18976.3439403235
140,18976.3439403235
141,18976.3439403235
142,18976.3439403235
143,18976.3439403235
144,18976.3439403235
145,18976.3439403235
146,18976.3439403235
147,18976.3439403235
148,18976.3439403235
149,18976.3439403235
150,18976.3439403235
151,18976.3439403235
152,18976.3439403235
153,18210.6577270878
154,18210.6577270878
155,18976.3439403235
156,18210.6577270878
157,18976.3439403235
158,18976.3439403235
159,18976.3439403235
160,18976.3439403235
161,18976.3439403235
162,18976.3439403235
163,18976.3439403235
164,18976.3439403235
165,18976.3439403235
166,18976.3439403235
167,18976.3439403235
168,18976.3439403235
169,18976.3439403235
170,18976.3439403235
171,18976.3439403235
172,18976.3439403235
173,18976.3439403235
174,18210.6577270878
175,18210.6577270878
176,18976.3439403235
177,18210.6577270878
178,18210.6577270878
179,18210.6577270878
180,18210.6577270878
181,18976.3439403235
182,18976.3439403235
183,18976.3439403235
184,18976.3439403235
185,18976.3439403235
186,18976.3439403235
187,18976.3439403235
188,18976.3439403235
189,18976.3439403235
190,18976.3439403235
191,18976.3439403235
192,18976.3439403235
193,18976.3439403235
194,18976.3439403235
195,18976.3439403235
196,18976.3439403235
197,18976.3439403235
198,18976.3439403235
199,18976.3439403235
200,18976.3439403235
201,18976.3439403235
202,18976.3439403235
203,18976.3439403235
204,18976.3439403235
205,18976.3439403235
206,18976.3439403235
207,18976.3439403235
208,18976.3439403235
209,18976.3439403235
210,18976.3439403235
211,18976.3439403235
212,18976.3439403235
213,18976.3439403235
214,18976.3439403235
215,18976.3439403235
216,18988.1674075886
217,18988.1674075886
218,18988.1674075886
219,18988.1674075886
220,18988.1674075886
221,18988.1674075886
222,18988.1674075886
223,18988.1674075886
224,18988.1674075886
225,18988.1674075886
226,18988.1674075886
227,18988.1674075886
228,18988.1674075886
229,18988.1674075886
230,18988.1674075886
231,18988.1674075886
232,18988.1674075886
233,18988.1674075886
234,18988.1674075886
235,18988.1674075886
