,Predicted_RetailPrice
1,20107.1474645617
2,19963.3458484611
3,20076.9128390053
4,20080.5025945848
5,20085.770554488
6,20073.9631313702
7,20085.770554488
8,20084.5039248425
9,20073.9631313702
10,20091.0481738
11,20073.9903666816
12,20083.4570879627
13,20083.3797854596
14,20069.40871508
15,20081.2586569045
16,20094.3631957561
17,20080.078807248
18,20083.4570879627
19,20079.7914926625
20,20094.3631957561
21,20091.0481738
22,20083.3797854596
23,20080.078807248
24,20082.1904583173
25,20091.0481738
26,20091.0481738
27,20083.4570879627
28,20083.3797854596
29,20084.4314080822
30,20090.9708712968
31,20093.3616403252
32,20086.7448746075
33,20085.770554488
34,20093.2843378221
35,20076.9128390053
36,20084.5039248425
37,20072.9888112507
38,20070.6753447254
39,20083.4570879627
40,20086.9330575446
41,20088.8497427417
42,20070.6753447254
43,20061.8176292428
44,20070.5980422223
45,20082.1904583173
46,20086.7721099188
47,20074.59937248
48,20104.7904975753
49,20079.7914926625
50,20083.3797854596
51,20074.59937248
52,20076.840322245
53,20094.3631957561
54,20083.4570879627
55,20082.1904583173
56,20091.0481738
57,20083.4570879627
58,20084.4314080822
59,20083.4570879627
60,20083.3797854596
61,20090.9708712968
62,20061.4544584108
63,20053.8633725736
64,20054.8376926931
65,20048.2447258696
66,20062.4936333488
67,20066.6451158108
68,20048.2432630872
69,20083.8919933513
70,20109.0074216532
71,20096.0647307901
72,20100.3407946713
73,20086.1329431163
74,20092.749708834
75,20083.8919933513
76,19960.2907218696
77,19959.6043001113
78,19962.5316716346
79,19955.9387048111
80,19972.4634593084
81,19960.2907218696
82,19960.2907218696
83,19959.5269976082
84,19959.6043001113
85,19960.2907218696
86,19960.2907218696
87,19969.1484373523
88,19969.0711348492
89,19965.4828420521
90,19979.4426136545
91,19987.0336994917
92,19974.8609620529
93,19976.1275916983
94,19977.1019118179
95,19979.4426136545
96,19976.0502891952
97,19952.6988538287
98,19959.3156195465
99,19950.4579040638
100,19959.3156195465
101,19966.9067053837
102,19966.8294028806
103,19950.4579040638
104,19952.2591626973
105,19942.7923279594
106,19952.3364652004
107,19945.7196994827
108,19936.1755622417
109,19952.3364652004
110,19936.1755622417
111,20092.9396130068
112,20099.5563787245
113,20092.9396130068
114,20092.9396130068
115,20092.9396130068
116,20115.6531439178
117,20137.5447814359
118,20112.3381219617
119,20090.6986632418
120,20105.721356244
121,20099.5563787245
122,20092.9396130068
123,20103.4804064791
124,20099.5563787245
125,20112.3381219617
126,20102.8714006806
127,20119.929207799
128,20112.3381219617
129,20105.721356244
130,20100.530698844
131,20107.0701620586
132,20105.721356244
133,20098.2897490791
134,20090.6986632418
135,20100.530698844
136,20099.5563787245
137,20112.3381219617
138,20099.5563787245
139,20098.027328146
140,20083.819476591
141,20097.9500256428
142,20098.027328146
143,20091.4105624283
144,20098.027328146
145,20098.027328146
146,20081.5785268261
147,20097.9500256428
148,20089.1696126633
149,20081.5785268261
150,20090.4362423087
151,20101.3423501021
152,20097.9500256428
153,19953.0865042616
154,19953.0865042616
155,19959.3156195465
156,19943.1547165877
157,19957.1171884882
158,19959.3156195465
159,19962.6306415026
160,20072.3576405115
161,20072.3576405115
162,20073.6242701569
163,20059.5758972742
164,20058.6440958614
165,20081.2153559941
166,20068.5679092001
167,20054.2257612019
168,20068.4336127569
169,20061.8168470391
170,20060.7652244165
171,20051.9848114369
172,20072.3576405115
173,20073.6242701569
174,20051.8330186667
175,20043.0526056872
176,20057.7874003282
177,20051.9103211698
178,20044.3192353326
179,20057.0236760667
180,20064.6920644071
181,20073.6242701569
182,20081.138053491
183,20060.8425269196
184,20061.8168470391
185,20072.3576405115
186,20073.6242701569
187,20060.8425269196
188,20081.2153559941
189,20073.5469676537
190,20074.5985902764
191,20073.6242701569
192,20081.2153559941
193,20072.3576405115
194,20064.7665546742
195,20096.0647307901
196,20114.0831184466
197,20083.8919933513
198,20089.0841135338
199,20092.749708834
200,20096.0647307901
201,20092.749708834
202,20101.3423501021
203,20085.2455849087
204,20085.2455849087
205,20071.0377333538
206,20085.2455849087
207,20076.3878694261
208,20077.6544990715
209,20107.1474645617
210,20099.5563787245
211,20090.6986632418
212,20103.4804064791
213,20099.5563787245
214,20092.9396130068
215,20112.3381219617
216,20066.372045533
217,20071.7221816053
218,20080.579897088
219,20093.3616403252
220,20073.9631313702
221,20074.5696569732
222,20085.770554488
223,20069.40871508
224,20099.1134498329
225,20074.59937248
226,20082.1904583173
227,20078.2664305627
228,20083.3797854596
229,20070.6753447254
230,20083.4570879627
231,20090.9708712968
232,20091.0481738
233,20074.59937248
234,20083.4570879627
235,20086.7721099188
236,20091.0481738
237,20084.4314080822
238,20070.5980422223
239,20073.9903666816
240,20091.0481738
241,19969.0711348492
242,19957.4058690531
243,19952.9875343936
244,19969.1484373523
245,19959.6043001113
246,19962.5316716346
247,19960.2907218696
248,19960.2907218696
249,19960.2907218696
250,19959.6043001113
251,19960.2907218696
252,19962.9193220674
253,19962.5316716346
254,19960.2907218696
255,19963.3458484611
256,19956.7290827434
257,19954.4881329784
258,19970.9369342983
259,19983.7186775356
260,19956.7290827434
261,19974.2519562545
262,20068.6449908185
263,20061.1312074844
264,20081.5040365589
265,20078.2664305627
266,20059.864577839
267,20084.8190585151
268,20081.5040365589
269,20074.27533935
270,20072.0343895851
271,20090.4362423087
272,20074.27533935
273,20080.8148025646
274,20081.5785268261
275,20080.8921050677
276,20083.4570879627
277,20068.8565897649
278,20077.3889203036
279,20052.2734920018
280,20073.9129507217
281,20078.2664305627
282,20068.7222933217
283,20086.1679647739
284,20073.9129507217
285,20067.296185004
286,20076.840322245
287,20074.59937248
288,20076.840322245
289,20083.4570879627
290,20065.055235239
291,20073.9129507217
292,20073.9129507217
293,20073.9129507217
294,20067.296185004
295,20083.3797854596
296,20065.055235239
297,20098.027328146
298,20091.4105624283
299,20105.339290684
300,20068.7967835888
301,20077.6544990715
302,20068.7967835888
303,20077.5771965683
304,20090.3589398056
305,20083.819476591
306,20072.0343895851
307,20080.8148025646
308,20072.0343895851
309,20111.7696519213
310,20074.27533935
311,19950.7465846286
312,19969.1484373523
313,19969.1484373523
314,19972.4634593084
315,19969.1484373523
316,19969.1484373523
317,19962.9193220674
318,20073.9129507217
319,20073.9129507217
320,20083.4570879627
321,20073.8356482185
322,20074.59937248
323,20077.2279726778
324,20083.4570879627
325,19968.7385032401
326,19976.0502891952
327,19974.8609620529
328,19983.7186775356
329,19976.1275916983
330,19966.6608704172
331,20070.2473554215
332,20073.9129507217
333,20070.2473554215
334,20083.4570879627
335,20076.840322245
336,20067.296185004
337,20073.8356482185
338,20080.8921050677
339,20093.7512642649
340,20090.4362423087
341,20080.8921050677
342,20083.819476591
343,20080.8921050677
344,20080.8921050677
345,20072.0373152778
346,20052.2734920018
347,20083.4570879627
348,20061.1312074844
349,20054.5144417667
350,20062.105527604
351,20083.0848822814
352,20073.8356482185
353,20083.4570879627
354,20073.9129507217
355,20104.7904975753
356,20083.4570879627
357,20083.4570879627
358,20073.9129507217
359,20086.7706470085
360,20090.4362423087
361,20090.4362423087
362,20090.4362423087
363,20083.819476591
364,20102.2255146803
365,20072.0343895851
366,20087.0579615941
367,20093.7512642649
368,20084.2071270238
369,20077.513824353
370,20080.8148025646
371,20084.2071270238
372,20080.8921050677
373,19954.4136427113
374,19947.7968769936
375,19958.3376704659
376,19967.8818077069
377,19946.822556874
378,19967.1953859486
379,19976.6622206864
380,19949.7499283973
381,19958.3376704659
382,19967.1953859486
383,19949.7499283973
384,19990.9343884789
385,19950.7465846286
386,19945.5559272286
387,20067.0075044391
388,20060.7652244165
389,20081.2153559941
390,20060.8425269196
391,20060.8425269196
392,20060.8425269196
393,20064.7665546742
394,20057.1009785698
395,20057.1009785698
396,20050.4842128521
397,20069.9601377669
398,20074.7103918437
399,20057.1009785698
400,20074.3704980913
401,20099.4790762213
402,20096.1780980098
403,20103.4804064791
404,20119.929207799
405,20102.8714006806
406,20099.5563787245
407,20115.6531439178
408,20105.721356244
409,20119.929207799
410,20102.8714006806
411,20113.3124420813
412,20112.2608194586
413,20119.2079583816
414,20090.4362423087
415,20109.7231122259
416,20091.4105624283
417,20091.4105624283
418,20091.4105624283
419,20081.5785268261
420,20090.3589398056
421,20090.4362423087
422,20090.4362423087
423,20090.4362423087
424,20090.4362423087
425,20090.4362423087
426,20093.7512642649
427,20081.5785268261
428,20089.1696126633
429,20098.027328146
430,20098.027328146
431,20098.027328146
432,20081.5785268261
433,20086.7706470085
434,20101.3423501021
435,20090.3589398056
436,20098.027328146
437,20112.2221934353
438,20093.7512642649
439,20081.5785268261
440,20098.027328146
441,20083.819476591
442,20098.027328146
443,20098.027328146
444,20119.3607377586
445,20083.819476591
446,20098.027328146
447,20083.819476591
448,20081.5785268261
449,20073.9129507217
450,20067.296185004
451,20083.4570879627
452,20073.8356482185
453,20076.840322245
454,20076.840322245
455,20077.2279726778
456,20077.2279726778
457,20065.055235239
458,20083.4570879627
459,20073.9129507217
460,20083.4570879627
461,20083.4570879627
462,20079.7914926625
463,20081.2586569045
464,20065.055235239
465,20073.9129507217
466,20077.2279726778
467,20086.7721099188
468,20086.7721099188
469,20065.055235239
470,20106.5789945213
471,20081.5785268261
472,20090.3589398056
473,20101.3423501021
474,20097.9500256428
475,20081.5785268261
476,20081.5785268261
477,20080.8921050677
478,20090.4362423087
479,20084.2071270238
480,20090.4362423087
481,20074.27533935
482,20090.4362423087
483,20083.819476591
484,20074.5985902764
485,20070.0144584793
486,20060.8425269196
487,20076.939292113
488,20068.4336127569
489,20068.3563102537
490,20051.9848114369
491,20061.8168470391
492,20082.1759365322
493,20051.9848114369
494,20068.3563102537
495,20066.2351816986
496,20051.9848114369
497,20092.911140074
498,20089.9129075138
499,20073.9129507217
500,20068.4769136672
501,20064.0585790077
502,20068.7222933217
503,20078.2664305627
504,20081.5040365589
505,20102.8374461716
506,20065.055235239
507,20067.296185004
508,20059.864577839
509,20068.6449908185
510,20079.3056055007
511,20065.055235239
512,20052.2734920018
513,20061.0539049813
514,20073.9129507217
515,20091.0481738
516,20081.5040365589
517,20054.5144417667
518,20072.6463210763
519,20062.105527604
520,20060.8425269196
521,20081.2153559941
522,20073.6242701569
523,20072.3576405115
524,20093.275849814
525,20070.2459894422
526,20071.748634713
527,20099.5563787245
528,20103.4804064791
529,20119.929207799
530,20102.8714006806
531,20100.530698844
532,20099.5563787245
533,20113.3124420813
534,20055.2253431259
535,20066.1051864591
536,20050.4842128521
537,20047.6342572887
538,20060.0283500931
539,20081.9615839286
540,20064.6920644071
541,19963.3458484611
542,19969.5108259806
543,19963.3458484611
544,19956.7290827434
545,19961.1474174028
546,19964.3201685806
547,19969.5108259806
548,20080.9695210276
549,20106.5789945213
550,20081.5785268261
551,20076.3878694261
552,20076.3878694261
553,20081.5785268261
554,20085.2455849087
555,20061.1312074844
556,20083.4570879627
557,20077.2279726778
558,20070.534670007
559,20078.2664305627
560,20081.4267340558
561,20082.1904583173
562,20059.864577839
563,20061.8176292428
564,20081.5040365589
565,20068.7222933217
566,20072.6463210763
567,20081.5814525188
568,20062.105527604
569,20076.9128390053
570,20093.3616403252
571,20102.0282673071
572,20074.59937248
573,20076.840322245
574,20091.0481738
575,20061.8176292428
576,20083.3797854596
577,20083.4570879627
578,20083.4570879627
579,20091.0481738
580,20074.59937248
581,20073.9631313702
582,20093.3616403252
583,20072.9888112507
584,20061.8176292428
585,20073.9903666816
586,20078.1891280595
587,20076.840322245
588,20082.1904583173
589,20083.4570879627
590,20061.4544584108
591,20043.0526056872
592,20057.1009785698
593,20093.7240289535
594,20100.3407946713
595,20086.1329431163
596,19969.0711348492
597,19959.6043001113
598,19976.1275916983
599,19977.1019118179
600,19981.5202464774
601,19959.5269976082
602,19950.7465846286
603,19959.5269976082
604,19959.6043001113
605,19960.289939666
606,19950.4579040638
607,19952.3364652004
608,19933.9346124768
609,19962.6306415026
610,19952.3364652004
611,20119.8519052958
612,20107.1474645617
613,20103.4804064791
614,20108.7283102842
615,20103.4804064791
616,20100.530698844
617,20119.929207799
618,20107.1474645617
619,20104.9490335035
620,20119.8519052958
621,20103.4804064791
622,20113.3124420813
623,20083.819476591
624,20098.027328146
625,20091.4105624283
626,20101.3423501021
627,20091.4105624283
628,20098.027328146
629,19949.7714823055
630,19971.1048919181
631,19949.6941798023
632,20068.4336127569
633,20051.9848114369
634,20074.5985902764
635,20076.939292113
636,20076.939292113
637,20073.6242701569
638,20055.8343489244
639,20051.8330186667
640,20066.6451158108
641,20060.8425269196
642,20074.5985902764
643,20051.9848114369
644,20081.2153559941
645,20074.5985902764
646,20073.6242701569
647,20091.4830791886
648,20092.749708834
649,20083.8919933513
650,20093.7512642649
651,20077.6544990715
652,20093.7512642649
653,20113.3124420813
654,20103.4804064791
655,20099.5563787245
656,20072.9888112507
657,20093.2843378221
658,20072.9115087476
659,20070.5980422223
660,20074.59937248
661,20078.2664305627
662,20074.59937248
663,20091.0481738
664,20083.4570879627
665,19980.9377097239
666,19970.9369342983
667,19990.4818469649
668,19962.0792188157
669,19970.7292830748
670,19987.0336994917
671,19959.6043001113
672,19969.1484373523
673,19960.2907218696
