,Predicted_price
1,7197.74894265075
2,7197.74894265075
3,7197.74894265075
4,7197.74894265075
5,7197.74894265075
6,7197.74894265075
7,7197.74894265075
8,7197.74894265075
9,6982.24903173426
10,6986.14758299933
11,6986.14758299933
12,6982.24903173426
13,6982.24903173426
14,7171.06469512
15,6994.78251725854
16,6999.95947471459
17,6999.95947471459
18,7197.74894265075
19,7197.74894265075
20,6982.24903173426
21,6986.14758299933
22,6982.24903173426
23,6996.97846944476
24,7009.51195496905
25,7077.00799898573
26,7082.97603736041
27,7197.74894265075
28,7197.74894265075
29,7197.74894265075
30,7197.74894265075
31,7197.74894265075
32,7197.74894265075
33,7197.74894265075
34,6993.07991817969
35,6982.24903173426
36,6982.24903173426
37,7008.93327926501
38,7017.55073117035
39,7197.74894265075
40,7197.74894265075
41,7197.74894265075
42,7197.74894265075
43,7197.74894265075
44,7197.74894265075
45,7197.74894265075
46,7197.74894265075
47,7197.74894265075
48,7197.74894265075
49,7197.74894265075
50,6982.24903173426
51,6982.24903173426
52,7021.14979244674
53,7171.06469512
54,7197.74894265075
55,7197.74894265075
56,7197.74894265075
57,7197.74894265075
58,7197.74894265075
59,7197.74894265075
60,7032.14452451475
61,7096.87771503531
62,7032.14452451475
63,7032.14452451475
64,7123.69230996253
65,7042.1332166371
66,7122.71282755042
67,7046.06059459321
68,7125.32953091912
69,7091.0400240571
70,7197.74894265075
71,7197.74894265075
72,7197.74894265075
73,7197.74894265075
74,7197.74894265075
75,7197.74894265075
76,7197.74894265075
77,7197.74894265075
78,7197.74894265075
79,7197.74894265075
80,7197.74894265075
81,7197.74894265075
82,7197.74894265075
83,7197.74894265075
84,7197.74894265075
85,6982.24903173426
86,7171.06469512
87,6994.78251725854
88,7026.64372224534
89,7183.01950494025
90,7197.74894265075
91,7197.74894265075
92,7197.74894265075
93,7197.74894265075
94,7197.74894265075
95,7197.74894265075
96,7197.74894265075
97,7197.74894265075
98,7098.64528338837
99,7142.88713687479
100,7171.06469512
101,7192.5574471433
102,7197.74894265075
103,7197.74894265075
104,7197.74894265075
105,7197.74894265075
106,7197.74894265075
107,7197.74894265075
108,7197.74894265075
109,7197.74894265075
110,6996.16510181271
111,7069.8838206065
112,7045.03988849115
113,7165.25075377378
114,7170.44224928123
115,7170.44224928123
116,7145.23006351454
117,7164.37988889809
118,7188.65889587823
119,7183.01950494025
120,7146.78829838724
121,7181.70475362838
122,7197.74894265075
123,7197.74894265075
124,7197.74894265075
125,7197.74894265075
126,7197.74894265075
127,7197.74894265075
128,7197.74894265075
129,7197.74894265075
130,7197.74894265075
131,7197.74894265075
132,7197.74894265075
133,7197.74894265075
134,7197.74894265075
135,7197.74894265075
136,7197.74894265075
137,7197.74894265075
138,7197.74894265075
139,7197.74894265075
140,7197.74894265075
141,7178.83488341462
142,7197.74894265075
143,7178.83488341462
144,7197.74894265075
145,7197.74894265075
146,7178.83488341462
147,7197.74894265075
148,7195.13223928205
149,7197.74894265075
150,7197.74894265075
151,7197.74894265075
152,7197.74894265075
153,7197.74894265075
154,7197.74894265075
155,7197.74894265075
156,7197.74894265075
157,7197.74894265075
158,7197.74894265075
159,7197.74894265075
