,Predicted_Type,WindowFloatGlassTypeProbability,WindowNon-floatGlassTypeProbability,VehicleWindowGlassTypeProbability,ContainersTypeProbability,TablewareTypeProbability,VehicleHeadlampsTypeProbability
1,WinF,0.806630630377479,0.128059241524967,0.0653101280975543,0,1.54960664466657e-87,0
2,WinF,0.634285483382092,0.359754900690413,0.00595961592749549,3.30821430081291e-306,4.29526427202608e-214,6.25351314594034e-298
3,WinNF,0.3259942103306,0.645444298317767,0.0285614913516335,8.68170189225519e-271,1.56298097145131e-23,1.67061337432655e-217
4,WinNF,0.220199902629178,0.758046118027974,0.021753979342848,0,0,0
5,WinF,0.751553004846514,0.241920367113471,0.00652662804001471,0,0,0
6,WinNF,0.185024783731645,0.773458009470366,0.041517206797989,0,0,0
7,WinF,0.863961604808509,0.125155214958394,0.0108831802330965,0,0,0
8,WinF,0.9029499412385,0.0898975404245304,0.00715251833697011,0,0,0
9,WinF,0.554201054968578,0.437978286638488,0.00782065839293447,0,0,0
10,WinF,0.785354769680122,0.199447168502121,0.0151980618177579,0,0,0
11,WinNF,0.221467281041391,0.746381253374419,0.0321514655841905,0,0,0
12,WinF,0.843959055813886,0.129902156136351,0.0261387880497631,0,0,0
13,WinNF,0.388093865441274,0.583791273745007,0.0281148608137198,0,0,0
14,WinF,0.723807969422117,0.26700884679167,0.00918318378621289,0,0,0
15,WinF,0.837982567121703,0.156870660699706,0.00514677217859137,0,0,0
16,WinF,0.733483831359524,0.260918132847596,0.00559803579288059,0,0,0
17,WinF,0.916787835093014,0.0615470179949705,0.0216651469120153,0,0,0
18,WinF,0.550863894606338,0.335677901679466,0.113458203714197,0,0,0
19,Veh,0.352680612912312,0.118509598303132,0.528809788784556,0,9.38279700933313e-160,0
20,WinF,0.52219219701275,0.4512692852243,0.0265385177629508,0,0,0
21,WinNF,0.186723241242633,0.789418379626983,0.0238583791303839,0,0,0
22,Veh,0.0761887912327758,0.00124429854224686,0.922566910224977,0,0,0
23,WinF,0.51935965371004,0.296270700659944,0.184369645630017,0,0,0
24,WinF,0.850368513055453,0.125479947173097,0.0241515397714498,0,0,0
25,WinF,0.620665440610141,0.221489607093366,0.157844952296493,0,0,0
26,WinF,0.851633491850256,0.126880924946277,0.0214855832034672,0,0,0
27,WinNF,0.340893869773232,0.645480645775205,0.0136254844515625,0,0,0
28,WinNF,0.429088702911423,0.546228306215873,0.0246829908727036,0,0,0
29,WinF,0.518086404448011,0.476537299696665,0.00537629585532375,0,0,0
30,WinF,0.602122848005481,0.380536163536482,0.0173409884580372,0,0,0
31,WinF,0.800699255559569,0.176707547391771,0.0225931970486603,0,0,0
32,WinF,0.862142543672502,0.120213262284921,0.017644194042577,0,0,0
33,WinF,0.63555185096336,0.343052482082653,0.021395666953987,0,0,0
34,WinF,0.867948429805183,0.128803455712197,0.0032481144826196,0,0,0
35,WinF,0.689017768504167,0.279091835161023,0.0318903963348102,0,0,0
36,Veh,0.0386423470598629,0.0149669718451841,0.946390681094953,0,0,0
37,WinF,0.487047683181424,0.279155494899843,0.233796821918733,0,0,0
38,WinF,0.681035463435544,0.307425994736074,0.0115385418283822,0,0,0
39,WinF,0.799189395585159,0.0128817986781281,0.187928805736713,0,0,0
40,WinF,0.799189395585159,0.0128817986781281,0.187928805736713,0,0,0
41,WinF,0.833643951898572,0.136215906811522,0.0301401412899058,0,0,0
42,WinF,0.670752092471108,0.310689194104142,0.0185587134247507,0,0,0
43,WinF,0.617531071129204,0.347291487654398,0.0351774412163981,0,0,0
44,WinF,0.809765829619265,0.0257544291582634,0.164479741222472,0,0,0
45,WinNF,0.420069840007196,0.547220273861108,0.0327098861316962,0,0,0
46,WinNF,0.302324242524065,0.487240415789058,0.210435341686877,0,0,0
47,WinF,0.689874896880474,0.290239206296293,0.0198858968232329,0,0,0
48,WinF,0.766358340118351,0.233632624429138,8.19607651612124e-06,0,8.39375994576109e-07,0
49,WinF,0.845254186875145,0.0407323375451436,0.114013475579711,0,0,0
