,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
1,setosa,0.999999999999836,1.63593505597704e-13,1.89916433282581e-123
2,setosa,0.999989916925188,1.00830748124209e-05,1.03717077690998e-109
3,setosa,0.999999999226238,7.73762305689718e-10,9.81508217740836e-115
4,setosa,0.999999765669844,2.34330156300323e-07,5.10294145737929e-105
5,setosa,0.999999999999997,2.58874606784934e-15,2.07643861285208e-124
6,setosa,1,2.50166402306647e-18,7.9566696178526e-123
7,setosa,0.999999999999382,6.17460824534298e-13,8.7480451759307e-113
8,setosa,0.999999999984817,1.51827411417886e-11,7.81655666777657e-117
9,setosa,0.999941915325898,5.80846741017498e-05,4.28824802027026e-101
10,setosa,0.999998815411722,1.18458827772556e-06,6.81269054060065e-111
11,setosa,0.999999999999999,9.83721336631398e-16,1.19732010126876e-128
12,setosa,0.999999999977703,2.22975789157173e-11,3.51742597928917e-111
13,setosa,0.999989675371876,1.03246281238053e-05,1.75719518203865e-110
14,setosa,0.999999959621845,4.03781546381977e-08,2.08805637373337e-113
15,setosa,1,1.83435858667549e-21,9.09878977139578e-150
16,setosa,1,5.6818404374211e-27,4.83753097653594e-144
17,setosa,1,2.20639182213677e-20,3.12489966415675e-135
18,setosa,0.999999999999893,1.0718154018164e-13,2.1157314678098e-121
19,setosa,1,5.36143097157215e-16,1.83375411028971e-126
20,setosa,1,4.59008106160862e-18,5.19517879695704e-125
21,setosa,0.999999999201856,7.9814442942932e-10,9.82860215836106e-116
22,setosa,1,1.2749300708879e-16,9.99101900442973e-121
23,setosa,1,4.62471506811235e-18,1.03489239765506e-131
24,setosa,0.999999997126827,2.87317294796869e-09,1.57725006059492e-103
25,setosa,0.99999999922524,7.74760493583653e-10,7.09000273299591e-102
26,setosa,0.999839983203239,0.0001600167967608,8.76728122887749e-105
27,setosa,0.999999999978734,2.12664325388559e-11,1.22542092739611e-109
28,setosa,0.999999999999204,7.95732647493351e-13,1.27106722487394e-121
29,setosa,0.999999999989662,1.03381461031872e-11,1.73702470215936e-122
30,setosa,0.99999997311455,2.68854503413224e-08,1.97840574634482e-105
31,setosa,0.999998301000716,1.69899928428712e-06,1.80949791792425e-104
32,setosa,0.999999999967825,3.21748243418268e-11,7.64434241841502e-118
33,setosa,1,2.09189939295443e-22,4.31124598543728e-137
34,setosa,1,3.28125259088401e-24,3.27576089041318e-144
35,setosa,0.999999223893103,7.76106896708149e-07,7.58956420771525e-109
36,setosa,0.999999999214648,7.85352406460708e-10,1.15562417071808e-121
37,setosa,0.999999999999752,2.47507065254582e-13,1.1847245419554e-131
38,setosa,0.999999999999997,2.65076352313168e-15,3.51794409262119e-125
39,setosa,0.999999580107671,4.19892328966005e-07,1.96661723901349e-106
40,setosa,0.999999999977368,2.26315719066901e-11,4.14140442937924e-118
41,setosa,0.999999999999978,2.20352953330506e-14,3.16121890555245e-123
42,versicolor,9.90728336854611e-06,0.999990092716631,5.25392387052134e-95
43,setosa,0.999999999766378,2.33622126882043e-10,6.59929361840006e-111
44,setosa,0.999999999999785,2.15323007578323e-13,8.80988027957642e-108
45,setosa,1,3.40973504861135e-16,1.47364795870153e-110
