,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,1,0.237892696267191,0.762107303732809
2,0,0.77662027394185,0.22337972605815
3,1,0.228082808216445,0.771917191783555
4,0,0.811314657098263,0.188685342901737
5,1,0.259010225013578,0.740989774986422
6,0,0.809646932302063,0.190353067697937
7,1,0.333613668571662,0.666386331428338
8,0,0.799305483431332,0.200694516568668
9,1,0.367957377953812,0.632042622046188
10,0,0.83421050648149,0.16578949351851
11,0,0.840824056927873,0.159175943072127
12,1,0.264895370776185,0.735104629223815
13,1,0.231332915339905,0.768667084660095
14,1,0.233941560850701,0.766058439149299
15,0,0.843106400467917,0.156893599532083
17,0,0.774092989353587,0.225907010646414
18,1,0.258913220201751,0.741086779798249
19,1,0.241889492727222,0.758110507272778
20,0,0.795766167060544,0.204233832939456
21,0,0.824987957368508,0.175012042631491
22,1,0.299520309442209,0.700479690557791
23,0,0.78363472290524,0.21636527709476
24,1,0.255539405081151,0.744460594918849
25,1,0.237892696267191,0.762107303732809
26,0,0.78239333084892,0.21760666915108
27,0,0.818115184284067,0.181884815715932
28,1,0.266320574557795,0.733679425442205
29,1,0.245931769584314,0.754068230415686
30,0,0.78610210223476,0.21389789776524
31,0,0.806245782633321,0.193754217366679
32,0,0.800474999972853,0.199525000027147
33,1,0.239219896690426,0.760780103309574
34,1,0.278406541022035,0.721593458977965
35,0,0.802798664134742,0.197201335865258
36,1,0.259731638687794,0.740268361312206
37,1,0.221627620070503,0.778372379929497
39,0,0.801639392632901,0.198360607367099
40,0,0.809646932302063,0.190353067697937
42,1,0.258329280098492,0.741670719901508
43,1,0.378210476991502,0.621789523008498
44,1,0.281351719106098,0.718648280893902
45,1,0.254151910325242,0.745848089674758
46,0,0.806245782633321,0.193754217366679
48,0,0.802798664134742,0.197201335865258
49,1,0.271127046689403,0.728872953310597
50,0,0.789056301923365,0.210943698076635
51,1,0.270285831451048,0.729714168548952
52,0,0.792180662063333,0.207819337936667
53,0,0.78610210223476,0.21389789776524
54,0,0.772277564065584,0.227722435934416
55,0,0.789140427518688,0.210859572481312
56,1,0.243886109733966,0.756113890266034
57,0,0.817934257821096,0.182065742178904
58,1,0.274731452455609,0.725268547544391
59,0,0.810770452495313,0.189229547504687
61,0,0.829770397831057,0.170229602168943
62,1,0.355052881544945,0.644947118455055
63,0,0.839843727202691,0.160156272797309
64,1,0.30814845182725,0.69185154817275
65,0,0.820279535419733,0.179720464580267
66,1,0.286778765400666,0.713221234599334
67,1,0.2472892669654,0.7527107330346
68,1,0.239219896690426,0.760780103309574
69,0,0.806245782633321,0.193754217366679
72,0,0.820279535419733,0.179720464580267
73,1,0.276432731473153,0.723567268526847
74,1,0.228744672584223,0.771255327415777
76,0,0.808518316828218,0.191481683171782
77,1,0.287402094117226,0.712597905882774
78,0,0.824987957368508,0.175012042631491
79,1,0.270886927354174,0.729113072645826
80,1,0.371362350678938,0.628637649321062
82,0,0.857126773312864,0.142873226687136
83,1,0.232417790495248,0.767582209504752
84,1,0.326210945746659,0.673789054253341
85,0,0.832844213082883,0.167155786917117
86,1,0.294308808609181,0.705691191390819
87,0,0.813002225831768,0.186997774168232
88,0,0.784870980368327,0.215129019631673
89,1,0.243231874641117,0.756768125358883
90,0,0.824547798584929,0.175452201415071
91,1,0.261824666168809,0.738175333831191
92,0,0.824547798584929,0.175452201415071
93,1,0.263475054975857,0.736524945024143
94,0,0.841231245676276,0.158768754323724
95,0,0.739745341624134,0.260254658375866
96,1,0.310359803483338,0.689640196516662
97,0,0.843735865677621,0.156264134322379
98,1,0.269785147555179,0.730214852444821
99,1,0.309708323544456,0.690291676455544
100,1,0.309708323544456,0.690291676455544
101,0,0.842770115727024,0.157229884272976
102,0,0.799305483431332,0.200694516568668
103,1,0.222890616993605,0.777109383006395
104,1,0.25001931996046,0.74998068003954
105,1,0.319157925187606,0.680842074812394
106,1,0.2472892669654,0.7527107330346
