Class,Survived,Sex,Age,Siblings,Children
1st,survived,female,29,0,0
1st,survived,male,0.916700006,1,2
1st,died,female,2,1,2
1st,died,male,30,1,2
1st,died,female,25,1,2
1st,survived,male,48,0,0
1st,survived,female,63,1,0
1st,died,male,39,0,0
1st,survived,female,53,2,0
1st,died,male,71,0,0
1st,died,male,47,1,0
1st,survived,female,18,1,0
1st,survived,female,24,0,0
1st,survived,female,26,0,0
1st,survived,male,80,0,0
1st,died,male,24,0,1
1st,survived,female,50,0,1
1st,survived,female,32,0,0
1st,died,male,36,0,0
1st,survived,male,37,1,1
1st,survived,female,47,1,1
1st,survived,male,26,0,0
1st,survived,female,42,0,0
1st,survived,female,29,0,0
1st,died,male,25,0,0
1st,survived,male,25,1,0
1st,survived,female,19,1,0
1st,survived,female,35,0,0
1st,survived,male,28,0,0
1st,died,male,45,0,0
1st,survived,male,40,0,0
1st,survived,female,30,0,0
1st,survived,female,58,0,0
1st,died,male,42,0,0
1st,survived,female,45,0,0
1st,survived,female,22,0,1
1st,died,male,41,0,0
1st,died,male,48,0,0
1st,survived,female,44,0,0
1st,survived,female,59,2,0
1st,survived,female,60,0,0
1st,survived,female,41,0,0
1st,died,male,45,0,0
1st,survived,male,42,0,0
1st,survived,female,53,0,0
1st,survived,male,36,0,1
1st,survived,female,58,0,1
1st,died,male,33,0,0
1st,died,male,28,0,0
1st,died,male,17,0,0
1st,survived,male,11,1,2
1st,survived,female,14,1,2
1st,survived,male,36,1,2
1st,survived,female,36,1,2
1st,died,male,49,0,0
1st,died,male,36,1,0
1st,survived,female,76,1,0
1st,died,male,46,1,0
1st,survived,female,47,1,0
1st,survived,male,27,1,0
1st,survived,female,33,1,0
1st,survived,female,36,0,0
1st,survived,female,30,0,0
1st,survived,male,45,0,0
1st,died,male,27,1,0
1st,survived,female,26,1,0
1st,survived,female,22,0,0
1st,died,male,47,0,0
1st,survived,female,39,1,1
1st,died,male,37,1,1
1st,survived,female,64,0,2
1st,survived,female,55,2,0
1st,died,male,70,1,1
1st,survived,female,36,0,2
1st,survived,female,64,1,1
1st,died,male,39,1,0
1st,survived,female,38,1,0
1st,survived,male,51,0,0
1st,survived,male,27,0,0
1st,survived,female,33,0,0
1st,died,male,31,1,0
1st,survived,female,27,1,2
1st,survived,male,31,1,0
1st,survived,female,17,1,0
1st,survived,male,53,1,1
1st,survived,male,4,0,2
1st,survived,female,54,1,1
1st,died,male,50,1,0
1st,survived,female,27,1,1
1st,survived,female,48,1,0
1st,survived,female,48,1,0
1st,survived,male,49,1,0
1st,died,male,39,0,0
1st,survived,female,23,0,1
1st,survived,female,38,0,0
1st,survived,female,54,1,0
1st,died,female,36,0,0
1st,survived,male,36,0,0
1st,died,male,30,0,0
1st,survived,female,24,3,2
1st,survived,female,28,3,2
