,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
1,1,1,1.88917955936546e-64,1.23111300359354e-54
2,1,1,1.57165672066874e-88,4.64577607029026e-66
3,1,1,3.50954455608094e-65,9.35591194589755e-45
4,1,1,4.25866415932732e-132,7.89145167536286e-55
5,1,0.999999999553753,4.462466796445e-10,2.52427727027262e-18
6,1,1,5.11452560551573e-121,5.18225681107499e-60
7,1,1,2.38836215761142e-98,3.59355909161373e-50
8,1,1,2.38479312297828e-95,4.01412772605779e-42
9,1,1,1.8297096865236e-64,2.81893832432315e-45
10,1,1,1.95990947485881e-71,7.36075210360195e-47
11,1,1,3.07612172860547e-91,7.50117953685004e-50
12,1,1,6.97359086023613e-73,5.47367791122442e-31
13,1,1,1.17948891319769e-89,2.2399334730262e-44
14,1,1,2.16425036194939e-84,1.09901418080879e-77
15,1,1,2.41053608314723e-134,3.49867916253228e-82
16,1,1,3.05363074241569e-99,1.09703920294676e-48
17,1,1,2.35690079493804e-78,8.43144088868053e-32
18,1,1,4.29801756049037e-59,2.30132230828499e-34
19,1,1,3.94369159225004e-149,2.5729770579562e-71
20,1,1,1.69353865815406e-75,1.83894779063488e-54
21,1,1,6.79557873775213e-27,4.78961958306781e-46
22,1,1,6.97860301759876e-33,4.00565623160347e-33
23,1,1,2.69746735765432e-54,9.62295349801108e-49
24,1,1,4.3257044208649e-45,7.87849749234676e-32
25,1,1,1.93782861225591e-16,8.23394794173776e-25
26,2,2.11432883436815e-08,0.999999978856708,3.87258861366464e-15
27,1,1,2.74864362230699e-98,3.97234256236731e-49
28,1,1,1.45982220152261e-66,4.10171605477078e-23
29,1,1,4.16132184773075e-32,5.89987484981978e-36
30,1,1,5.92198085190716e-44,3.08234403671731e-31
31,1,1,1.2929665831116e-46,4.37526662145513e-20
32,1,1,1.05931873970578e-99,1.19914112924659e-38
33,1,1,1.07572341456564e-23,2.89151336322368e-34
34,1,1,3.04525957985907e-58,2.41244606910021e-34
35,1,1,4.41489375241767e-52,2.54953527048411e-25
36,1,1,3.86242287511954e-24,5.22647018148202e-24
37,1,1,1.44773588148191e-61,2.24012948086514e-43
38,1,1,1.13259630268653e-52,5.18724253945885e-24
39,1,1,6.97678845217851e-40,4.59113953653933e-36
40,1,1,4.40339131184327e-78,3.29276070250594e-64
41,1,1,4.17418057159098e-30,6.63730179213423e-45
42,1,1,2.1556747469618e-58,3.11439934878496e-29
43,1,1,8.67297384476521e-109,6.92458408796124e-63
44,1,1,8.27521357975241e-32,2.93746513451921e-30
45,1,1,3.25963977010518e-29,4.38498565260991e-34
46,1,1,1.93418759424702e-85,2.0033658954505e-34
47,1,1,1.43118266672149e-73,1.94010417266335e-53
48,1,1,1.57129665072725e-58,4.99519275884737e-45
49,1,1,7.07494861757205e-41,3.18254796330974e-26
50,1,1,1.09273981874854e-87,4.36957228498187e-53
51,1,1,1.75582101328496e-74,3.68386247783563e-63
52,1,1,5.59255453748459e-77,3.25248196871789e-48
53,1,1,3.33815560380102e-108,3.00408724137392e-70
54,1,1,3.58024336712995e-100,8.9822057057312e-46
55,1,1,5.81633700729723e-69,7.04320019579687e-39
56,1,0.999999999999999,2.69194138248533e-38,7.35999025311982e-16
57,1,1,4.98476543895739e-55,4.39285554446852e-38
58,1,1,1.14717847080862e-102,1.40908872406139e-52
59,1,1,3.19929705697395e-107,1.26175800310254e-50
60,2,4.24179619687096e-37,1,6.81685783078551e-29
61,2,9.67765402540663e-24,1,3.31697694674989e-21
62,2,7.07882341626246e-34,1,3.90073376646579e-22
63,2,2.0921249237913e-30,1,4.05775981591658e-26
64,2,1.74990134338934e-51,1,1.53091346981121e-64
65,2,4.96503830172096e-70,1,4.29140669714495e-70
66,2,5.76231839732008e-15,0.999999999999994,7.18546997170107e-34
67,2,4.85637796554755e-32,1,2.79222629218239e-64
68,2,5.40069324985611e-45,1,4.82233888681067e-45
69,3,4.20300110955737e-09,5.01706010661722e-06,0.999994978736892
70,2,6.68813453991499e-73,1,1.01944217987107e-69
71,3,1.30240920542225e-27,0.00011202783983312,0.999887972160167
72,2,2.29578968443093e-74,1,9.76448299471715e-63
