,Predicted_Adjusted,AuditLowriskProbability,AuditHighriskProbability
1,0,1,NA
2,0,0.999969778618653,3.02213813469847e-05
3,0,0.999935066156178,6.49338438219031e-05
4,0,0.567261771485465,0.432738228514535
5,1,0.0830104603446166,0.916989539655383
6,0,1,NA
7,1,0.000633716636817897,0.999366283363182
8,0,1,NA
9,0,0.999971239702946,2.87602970542353e-05
10,0,0.999994178536627,5.82146337251283e-06
11,0,1,NA
12,0,1,NA
13,0,1,NA
14,0,1,NA
15,1,0.0347836066168926,0.965216393383107
16,0,0.99880209010806,0.00119790989193958
17,0,0.999914127956668,8.58720433319198e-05
18,0,1,NA
19,0,0.761193815972221,0.238806184027779
20,0,0.836244342019975,0.163755657980025
21,0,0.998803491868615,0.00119650813138545
22,0,0.941325656317991,0.0586743436820086
23,0,1,NA
24,0,0.989590572858198,0.0104094271418024
25,0,1,NA
26,0,0.998460473261377,0.00153952673862315
27,0,0.999858517619641,0.000141482380359214
28,1,0.00226010411679371,0.997739895883206
29,0,0.697866412518684,0.302133587481316
30,0,1,NA
31,0,1,NA
32,0,0.746613822278524,0.253386177721476
33,0,1,NA
34,0,1,NA
35,0,0.999850572258505,0.000149427741494557
36,0,1,NA
37,0,0.994207623979733,0.0057923760202671
38,0,0.999836771709132,0.000163228290867851
39,0,0.950103292617721,0.0498967073822788
40,0,0.999829151847407,0.000170848152593055
41,1,0.00332333392588976,0.99667666607411
42,0,1,NA
43,0,0.887322173612637,0.112677826387363
44,0,1,NA
45,0,0.993513936819062,0.00648606318093787
46,1,0.266009863475528,0.733990136524472
47,0,1,NA
48,1,0.318643226951659,0.681356773048341
49,0,1,NA
50,0,0.52608347887264,0.47391652112736
51,0,0.999945450121269,5.45498787307816e-05
52,1,4.92278496462664e-29,1
53,0,0.918099622286811,0.0819003777131893
54,0,1,NA
55,0,1,NA
56,0,0.971348697173453,0.0286513028265468
57,0,0.999834164365517,0.000165835634482507
58,0,0.999904927274472,9.50727255275813e-05
59,0,0.999986317267035,1.36827329653796e-05
60,1,7.69218029654466e-06,0.999992307819703
61,0,0.988382537689001,0.0116174623109989
62,0,1,NA
63,0,0.99997947159805,2.05284019497684e-05
64,0,0.862630480099508,0.137369519900492
65,0,0.99314745009826,0.00685254990173995
66,0,0.999962599992213,3.74000077872286e-05
67,1,0.0189012158769103,0.98109878412309
68,0,0.998842781102648,0.00115721889735243
69,0,1,NA
70,0,1,NA
71,0,0.978522956564805,0.0214770434351952
72,0,1,NA
73,0,1,NA
74,0,1,NA
75,1,0.380231383149496,0.619768616850504
76,0,1,NA
77,0,1,NA
78,1,0.0384963358755456,0.961503664124454
79,0,1,NA
80,0,0.999957065661711,4.2934338289087e-05
81,0,0.999861959721634,0.000138040278366011
82,0,0.9944548866124,0.00554511338760041
83,0,0.999976768956696,2.32310433042015e-05
84,1,0.0861048197317309,0.913895180268269
85,0,0.99999877099618,1.22900381971147e-06
86,0,0.997599940622698,0.00240005937730177
87,0,1,NA
88,0,0.880374244917895,0.119625755082105
89,0,0.999886077068525,0.000113922931475101
90,0,1,NA
91,1,0.021763692993024,0.978236307006976
92,0,0.965515735733778,0.0344842642662215
93,0,0.999997380553289,2.61944671082957e-06
94,1,0.0494197859815874,0.950580214018413
95,0,0.521390418659498,0.478609581340502
96,0,0.746835976018673,0.253164023981327
97,0,0.984770699770654,0.0152293002293463
98,0,0.939238792784604,0.0607612072153958
99,0,0.996134238598141,0.0038657614018595
100,0,1,NA
101,0,0.979431382790645,0.0205686172093552
102,0,0.99461614468716,0.00538385531284016
103,1,0.37151807841182,0.62848192158818
104,0,0.998893207710905,0.00110679228909543
105,0,0.744998376196095,0.255001623803905
106,0,0.999697250464449,0.000302749535550976
107,0,0.999998585071847,1.41492815319026e-06
108,0,0.956633393280759,0.0433666067192414
109,0,1,NA
110,0,1,NA
111,0,1,NA
112,0,1,NA
113,0,0.861088675221825,0.138911324778175
114,0,0.999981738577749,1.82614222513851e-05
115,0,0.999827216917042,0.000172783082958319
116,1,0.401320296744377,0.598679703255623
117,0,0.99925789980763,0.000742100192369789
118,0,1,NA
119,1,1.20379925182738e-18,1
120,0,1,NA
121,0,0.99999867359902,1.32640098027403e-06
122,0,1,NA
