,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0.0909479090751397,0.90905209092486
2,survived,0.404479887512953,0.595520112487047
3,survived,0.0609695541456518,0.939030445854348
4,survived,0.499241809152253,0.500758190847747
5,survived,0.0818969320275623,0.918103067972438
6,died,0.544438240471488,0.455561759528512
7,survived,0.10525387333818,0.89474612666182
8,died,0.534564181116824,0.465435818883176
9,survived,0.260229573469651,0.739770426530349
10,died,0.541049180499759,0.458950819500241
11,died,0.553167073971051,0.446832926028949
12,survived,0.0846203489297238,0.915379651070276
13,survived,0.0870012828867083,0.912998717113292
14,survived,0.0886368468594568,0.911363153140543
15,died,0.528502594999522,0.471497405000478
16,survived,0.451838383983705,0.548161616016296
17,survived,0.0837700051317853,0.916229994868215
18,survived,0.0930749060296688,0.906925093970331
19,died,0.529862636248936,0.470137363751063
20,survived,0.488876304935009,0.511123695064991
21,survived,0.0860908255075339,0.913909174492466
22,died,0.509071763697989,0.490928236302011
23,survived,0.0986655426121479,0.901334457387852
24,survived,0.0909479090751397,0.90905209092486
25,died,0.506559296563447,0.493440703436553
26,died,0.516157995481224,0.483842004518776
27,survived,0.085573616987998,0.914426383012002
28,survived,0.0950038649181266,0.904996135081873
29,died,0.513860539980173,0.486139460019827
30,died,0.54185004672988,0.45814995327012
31,died,0.535974294324273,0.464025705675727
32,survived,0.0916780736881484,0.908321926311852
33,survived,0.102105477274266,0.897894522725734
34,died,0.538559338397553,0.461440661602447
35,survived,0.0998500248864978,0.900149975113502
36,survived,0.0703319942155531,0.929668005784447
37,died,0.537305989157397,0.462694010842603
38,died,0.544438240471488,0.455561759528512
39,survived,0.0994818468013477,0.900518153198652
40,survived,0.26081003820936,0.73918996179064
41,survived,0.102025343314365,0.897974656685635
42,survived,0.0982180233602609,0.901781976639739
43,died,0.54185004672988,0.45814995327012
44,died,0.538559338397553,0.461440661602447
45,survived,0.101803907504052,0.898196092495948
46,survived,0.477633449409693,0.522366550590307
47,survived,0.0844654858422136,0.915534514157787
48,died,0.524452999069165,0.475547000930835
49,died,0.513860539980173,0.486139460019827
50,survived,0.483642738044554,0.516357261955446
51,survived,0.44428884254217,0.55571115745783
52,survived,0.0725549144512868,0.927445085548713
53,died,0.510796046049829,0.489203953950171
54,survived,0.0891958042932823,0.910804195706718
55,died,0.545145166166865,0.454854833833135
56,died,0.53942018899996,0.46057981100004
57,survived,0.100779887082964,0.899220112917036
58,died,0.55230753894982,0.44769246105018
59,survived,0.104031686696927,0.895968313303073
60,died,0.521098979744392,0.478901020255608
61,survived,0.0970554270229696,0.90294457297703
62,survived,0.0956006021616709,0.904399397838329
63,survived,0.0916780736881484,0.908321926311852
64,died,0.54185004672988,0.45814995327012
65,died,0.521098979744392,0.478901020255608
66,survived,0.0917895226836961,0.908210477316304
67,survived,0.0852953018410795,0.914704698158921
68,died,0.543653453339975,0.456346546660025
69,survived,0.0832558312373504,0.91674416876265
70,survived,0.488876304935009,0.511123695064991
71,survived,0.0915175708505544,0.908482429149446
72,survived,0.260664272426491,0.739335727573509
73,survived,0.499475541017048,0.500524458982952
74,survived,0.0861237665430589,0.913876233456941
75,survived,0.0869760116424208,0.913023988357579
76,died,0.544108390640897,0.455891609359103
77,survived,0.100130697392917,0.899869302607083
78,died,0.546325654863155,0.453674345136845
79,died,0.511505534308104,0.488494465691896
80,survived,0.0937405523695731,0.906259447630427
81,died,0.530031748648831,0.469968251351169
82,survived,0.083397424273267,0.916602575726733
83,died,0.530031748648831,0.469968251351169
84,survived,0.0836527229550166,0.916347277044984
85,died,0.504660336750989,0.495339663249011
86,survived,0.408055632229189,0.591944367770811
87,survived,0.0873238113618528,0.912676188638147
88,died,0.5552798617276,0.4447201382724
89,survived,0.0764662695676242,0.923533730432376
90,survived,0.104326941934983,0.895673058065017
91,survived,0.104326941934983,0.895673058065017
92,died,0.554653163425035,0.445346836574965
93,died,0.534564181116824,0.465435818883176
94,survived,0.0710540944545526,0.928945905545447
95,survived,0.0967220396727975,0.903277960327202
96,survived,0.105491960821334,0.894508039178666
97,survived,0.0956006021616709,0.904399397838329
98,died,0.529862636248936,0.470137363751063
99,died,0.518334080780627,0.481665919219373
100,died,0.693560025920458,0.306439974079542
101,died,0.701907762111311,0.298092237888689
102,died,0.691285778600909,0.308714221399091
103,died,0.957991889305173,0.0420081106948268
104,died,0.770071997334554,0.229928002665446
105,survived,0.240039881172308,0.759960118827692
106,survived,0.0916780736881484,0.908321926311852
107,died,0.788544704401088,0.211455295598912
108,died,0.549261999809698,0.450738000190302
109,survived,0.0767533287769396,0.92324667122306
110,died,0.505265107868771,0.494734892131229
111,survived,0.0863400690479943,0.913659930952006
112,died,0.541061492660884,0.458938507339117
113,survived,0.0983585645865564,0.901641435413444
114,died,0.543653453339975,0.456346546660025
115,survived,0.0950038649181266,0.904996135081873
116,survived,0.0703319942155531,0.929668005784447
117,survived,0.0825638608424972,0.917436139157503
118,died,0.503968223046481,0.496031776953519
119,died,0.554653163425035,0.445346836574965
