,Predicted_RetailPrice
1,21456.8383437345
2,21456.8383437345
3,21456.8383437345
4,21456.8383437345
5,21456.8383437345
6,21456.8383437345
7,21456.8383437345
8,21456.8383437345
9,21456.8383437345
10,21456.8383437345
11,21456.8383437345
12,21456.8383437345
13,21456.8383437345
14,21456.8383437345
15,21456.8383437345
16,21456.8383437345
17,21456.8383437345
18,21456.8383437345
19,21456.8383437345
20,21456.8383437345
21,21456.8383437345
22,21456.8383437345
23,21456.8383437345
24,21456.8383437345
25,21456.8383437345
26,21456.8383437345
27,21456.8383437345
28,21456.8383437345
29,21456.8383437345
30,21456.8383437345
31,21456.8383437345
32,21456.8383437345
33,21456.8383437345
34,21456.8383437345
35,21456.8383437345
36,21456.8383437345
37,21456.8383437345
38,21456.8383437345
39,21456.8383437345
40,21456.8383437345
41,21456.8383437345
42,21456.8383437345
43,21456.8383437345
44,21456.8383437345
45,21456.8383437345
46,21456.8383437345
47,21456.8383437345
48,21456.8383437345
49,21456.8383437345
50,21456.8383437345
51,21456.8383437345
52,21456.8383437345
53,21456.8383437345
54,21456.8383437345
55,21456.8383437345
56,21456.8383437345
57,21456.8383437345
58,21456.8383437345
59,21456.8383437345
60,21456.8383437345
61,21456.8383437345
62,21456.8383437345
63,21456.8383437345
64,21456.8383437345
65,21456.8383437345
66,21456.8383437345
67,21456.8383437345
68,21456.8383437345
69,21456.8383437345
70,21456.8383437345
71,21456.8383437345
72,21456.8383437345
73,21456.8383437345
74,21456.8383437345
75,21456.8383437345
76,21456.8383437345
77,21456.8383437345
78,21456.8383437345
79,21456.8383437345
80,21456.8383437345
81,21456.8383437345
82,21456.8383437345
83,21456.8383437345
84,21456.8383437345
85,21456.8383437345
86,21456.8383437345
87,21456.8383437345
88,21456.8383437345
89,21456.8383437345
90,21456.8383437345
91,21456.8383437345
92,21456.8383437345
93,21456.8383437345
94,21456.8383437345
95,21456.8383437345
96,21456.8383437345
97,21456.8383437345
98,21456.8383437345
99,21456.8383437345
100,21456.8383437345
101,21456.8383437345
102,21456.8383437345
103,21456.8383437345
104,21456.8383437345
105,21456.8383437345
106,21456.8383437345
107,21456.8383437345
108,21456.8383437345
109,21456.8383437345
110,21456.8383437345
111,21456.8383437345
112,21456.8383437345
113,21456.8383437345
114,21456.8383437345
115,21456.8383437345
116,21456.8383437345
117,21456.8383437345
118,21456.8383437345
119,21456.8383437345
120,21456.8383437345
121,21456.8383437345
122,21456.8383437345
123,21456.8383437345
124,21456.8383437345
125,21456.8383437345
126,21456.8383437345
127,21456.8383437345
128,21456.8383437345
129,21456.8383437345
130,21456.8383437345
131,21456.8383437345
132,21456.8383437345
133,21456.8383437345
134,21456.8383437345
135,21456.8383437345
136,21456.8383437345
137,21456.8383437345
138,21456.8383437345
139,21456.8383437345
140,21456.8383437345
141,21456.8383437345
142,21456.8383437345
143,21456.8383437345
144,21456.8383437345
145,21456.8383437345
146,21456.8383437345
