,Predicted_price
4,11463.6603235585
5,11463.6603235585
7,11463.6603235585
9,11463.6603235585
11,11463.6603235585
12,11463.6603235585
13,11463.6603235585
14,11463.6603235585
19,11463.6603235585
20,11463.6603235585
21,11463.6603235585
22,11463.6603235585
23,11463.6603235585
24,11463.6603235585
25,11463.6603235585
26,11463.6603235585
27,11463.6603235585
29,11463.6603235585
30,11463.6603235585
31,11463.6603235585
32,11463.6603235585
33,11463.6603235585
34,11463.6603235585
35,11463.6603235585
36,11463.6603235585
37,11463.6603235585
38,11463.6603235585
39,11463.6603235585
40,11463.6603235585
41,11463.6603235585
42,11463.6603235585
43,11463.6603235585
48,11463.6603235585
51,11463.6603235585
52,11463.6603235585
53,11463.6603235585
54,11463.6603235585
55,11463.6603235585
60,11463.6603235585
61,11463.6603235585
62,11463.6603235585
63,11463.6603235585
65,11463.6603235585
66,11463.6603235585
68,11463.6603235585
69,11463.6603235585
70,11463.6603235585
71,11463.6603235585
73,11463.6603235585
77,11463.6603235585
78,11463.6603235585
79,11463.6603235585
80,11463.6603235585
81,11463.6603235585
82,11463.6603235585
86,11463.6603235585
87,11463.6603235585
88,11463.6603235585
89,11463.6603235585
90,11463.6603235585
91,11463.6603235585
92,11463.6603235585
93,11463.6603235585
94,11463.6603235585
95,11463.6603235585
96,11463.6603235585
97,11463.6603235585
98,11463.6603235585
99,11463.6603235585
100,11463.6603235585
101,11463.6603235585
102,11463.6603235585
103,11463.6603235585
104,11463.6603235585
105,11463.6603235585
106,11463.6603235585
107,11463.6603235585
108,11463.6603235585
109,11463.6603235585
112,11463.6603235585
113,11463.6603235585
116,11463.6603235585
117,11463.6603235585
118,11463.6603235585
119,11463.6603235585
120,11463.6603235585
121,11463.6603235585
122,11463.6603235585
123,11463.6603235585
124,11463.6603235585
126,11463.6603235585
133,11463.6603235585
134,11463.6603235585
135,11463.6603235585
136,11463.6603235585
137,11463.6603235585
138,11463.6603235585
139,11463.6603235585
140,11463.6603235585
141,11463.6603235585
142,11463.6603235585
143,11463.6603235585
144,11463.6603235585
145,11463.6603235585
146,11463.6603235585
147,11463.6603235585
148,11463.6603235585
149,11463.6603235585
150,11463.6603235585
151,11463.6603235585
152,11463.6603235585
153,11463.6603235585
154,11463.6603235585
155,11463.6603235585
156,11463.6603235585
157,11463.6603235585
158,11463.6603235585
159,11463.6603235585
160,11463.6603235585
161,11463.6603235585
162,11463.6603235585
163,11463.6603235585
164,11463.6603235585
165,11463.6603235585
166,11463.6603235585
167,11463.6603235585
168,11463.6603235585
169,11463.6603235585
170,11463.6603235585
171,11463.6603235585
172,11463.6603235585
173,11463.6603235585
174,11463.6603235585
175,11463.6603235585
176,11463.6603235585
177,11463.6603235585
178,11463.6603235585
179,11463.6603235585
180,11463.6603235585
181,11463.6603235585
183,11463.6603235585
184,11463.6603235585
185,11463.6603235585
186,11463.6603235585
187,11463.6603235585
188,11463.6603235585
189,11463.6603235585
191,11463.6603235585
195,11463.6603235585
196,11463.6603235585
197,11463.6603235585
198,11463.6603235585
199,11463.6603235585
200,11463.6603235585
201,11463.6603235585
202,11463.6603235585
203,11463.6603235585
204,11463.6603235585
205,11463.6603235585
