,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
1,setosa,0.999999997510234,2.48976575776272e-09,1.22549346397926e-145
2,setosa,0.999999999999715,2.85267055688285e-13,5.51347397742331e-140
3,setosa,0.999999972210753,2.77892472200559e-08,3.86050452717004e-147
4,setosa,0.999999997983758,2.01624227291175e-09,1.66238476542495e-145
5,setosa,0.999996226110887,3.77388911261728e-06,3.35915807750216e-150
6,setosa,0.999995337867636,4.66213236416873e-06,2.47517250900623e-150
7,setosa,0.999995321322548,4.67867745224806e-06,2.4736872198256e-150
8,setosa,0.99999999975222,2.47779603919968e-10,3.35530167166811e-144
9,setosa,0.999999999914723,8.52771165575925e-11,1.55666591486441e-143
10,setosa,0.999999999999716,2.84171082316827e-13,5.54378316196963e-140
11,setosa,0.999999999963359,3.66413623207054e-11,5.19875052844499e-143
12,setosa,0.999997531354506,2.46864549364733e-06,6.17697242249867e-150
13,setosa,0.999999999999716,2.83932377888793e-13,5.55585935298481e-140
14,setosa,0.999999948341771,5.16582289663419e-08,1.59999714229542e-147
15,setosa,0.999999999979273,2.07271950783194e-11,1.17703781971815e-142
16,setosa,0.999995331134532,4.66886546800589e-06,2.46968531905126e-150
17,setosa,0.999995334553239,4.66544676102823e-06,2.47446370894768e-150
18,setosa,0.999997812417962,2.18758203763885e-06,7.33822810269834e-150
19,setosa,0.999999999994291,5.70914429119569e-12,7.47583461048316e-142
20,setosa,0.999995331154704,4.66884529584445e-06,2.47328345639547e-150
21,setosa,0.999999999999716,2.84218859971756e-13,5.53049420603761e-140
22,setosa,0.999995330107877,4.66989212263543e-06,2.47183272490538e-150
23,setosa,0.999995311615786,4.68838421441744e-06,2.47952031995654e-150
24,setosa,0.999996742808201,3.25719179850679e-06,4.14143205740701e-150
25,setosa,0.999998061084017,1.93891598271051e-06,8.73389631967531e-150
26,setosa,0.999999999999717,2.83119591833551e-13,5.56737562683106e-140
27,setosa,0.999995726485893,4.27351410679505e-06,2.80713168507204e-150
28,setosa,0.999999999996877,3.1233712619384e-12,1.77823750126845e-141
29,setosa,0.999999999999615,3.85150584859805e-13,3.58065525091895e-140
30,setosa,0.999999992145847,7.85415289054716e-09,2.36157362118085e-146
31,setosa,0.999999999999574,4.25678352623689e-13,3.10495277973999e-140
32,setosa,0.999999999998201,1.79914880012486e-12,3.91964955358547e-141
33,setosa,0.999995334553605,4.66544639539348e-06,2.47644217371452e-150
34,setosa,0.999995340358601,4.65964139928308e-06,2.47863578625389e-150
35,setosa,0.999999999999696,3.0438708959438e-13,5.02198572698089e-140
36,setosa,0.999999999999668,3.3184027312046e-13,4.44154106909753e-140
37,setosa,0.999999999999714,2.86533016137919e-13,5.47001471501387e-140
38,setosa,0.99999735406692,2.6459330799141e-06,5.59551354058009e-150
39,setosa,0.999999587829172,4.121708281381e-07,8.08997683915618e-149
40,setosa,0.999999999998572,1.42809063808155e-12,5.46548526219553e-141
41,setosa,0.999995815917921,4.18408207878284e-06,2.89725502651575e-150
42,setosa,0.999999999999717,2.83221864955654e-13,5.58290218386608e-140
43,setosa,0.999995442056211,4.55794378899501e-06,2.57679270970414e-150
44,setosa,0.999995327827493,4.67217250724567e-06,2.46937652977235e-150
45,setosa,0.999995325790813,4.67420918700255e-06,2.46790274275964e-150
46,setosa,0.999999999999329,6.7071028061428e-13,1.61792999069745e-140
47,setosa,0.999995406791495,4.59320850462001e-06,2.53186273168992e-150
48,setosa,0.999998598868489,1.4011315109241e-06,1.39484482987585e-149
49,setosa,0.999999951532814,4.84671859183042e-08,1.73200898275396e-147
50,setosa,0.999999999999069,9.30507869783862e-13,1.0110862393505e-140
51,versicolor,3.03293443635799e-92,1,1.87323530475129e-125
52,versicolor,4.68833529250305e-99,1,4.96631951902748e-142
53,versicolor,3.0410684516903e-92,1,2.48687163129956e-125
54,versicolor,2.93426857000754e-92,1,1.73386259383291e-125
55,versicolor,1.74488076542991e-91,1,8.34110862640346e-77
56,versicolor,2.41596757376019e-97,1,7.30083962956407e-138
57,versicolor,1.83321251225956e-99,1,5.06622927895468e-143
58,versicolor,1.30046016976523e-94,1,3.24642447041028e-131
59,versicolor,3.03173600287727e-92,1,1.87160043854307e-125
60,versicolor,1.81424798622632e-99,1,4.92477949041557e-143
61,versicolor,3.01085648906042e-92,1,1.85022595275947e-125
62,versicolor,1.84386844937362e-99,1,5.24259973002368e-143
63,versicolor,3.03097050748115e-92,1,1.87084180960278e-125
64,versicolor,1.87560200550327e-93,1,2.14503604815551e-128
65,versicolor,2.38596779816345e-96,1,1.12233751232096e-141
66,versicolor,3.01907106832259e-92,1,2.12918752478876e-125
67,versicolor,1.81000356547848e-99,1,4.9049089566569e-143
68,versicolor,3.0219952112445e-92,1,1.86134432426885e-125
69,versicolor,2.02652235909601e-91,1,9.43753822694705e-73
70,versicolor,3.0176304598811e-92,1,1.8547763587716e-125
71,versicolor,1.23366165507325e-65,0.999999937766886,6.22331139523958e-08
72,versicolor,2.90577583898243e-92,1,1.68823615589444e-125
73,versicolor,6.84072192904742e-47,0.999999999996606,3.39379384568993e-12
