,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0.0292450642519284,0.970754935748072
2,survived,0,1
3,died,1,0
4,survived,0.496697046845178,0.503302953154822
5,survived,0.0292450642519284,0.970754935748072
6,died,0.76754171828489,0.23245828171511
7,survived,0.0292450642519284,0.970754935748072
8,died,0.705249923856162,0.294750076143838
9,survived,0.0292450642519284,0.970754935748072
10,died,0.838269620108905,0.161730379891095
11,died,0.771862244032799,0.228137755967201
12,survived,0.0292450642519284,0.970754935748072
13,survived,0.0292450642519284,0.970754935748072
14,survived,0.0292450642519284,0.970754935748072
15,died,0.849236681218385,0.150763318781615
17,survived,0.44985524895189,0.55014475104811
18,survived,0.0292450642519284,0.970754935748072
19,survived,0.0292450642519284,0.970754935748072
20,died,0.677412097193509,0.322587902806491
21,died,0.656168579543785,0.343831420456215
22,survived,0.0292450642519284,0.970754935748072
23,died,0.555222943510986,0.444777056489014
24,survived,0.0292450642519284,0.970754935748072
25,survived,0.0292450642519284,0.970754935748072
26,died,0.540671518159097,0.459328481840903
27,died,0.56683180701752,0.43316819298248
28,survived,0.0292450642519284,0.970754935748072
29,survived,0.0292450642519284,0.970754935748072
30,died,0.583183630230631,0.416816369769369
31,died,0.749936347536283,0.250063652463717
32,died,0.713671890731577,0.286328109268423
33,survived,0.0292450642519284,0.970754935748072
34,survived,0.0292450642519284,0.970754935748072
35,died,0.729304399986172,0.270695600013828
36,survived,0.0292450642519284,0.970754935748072
37,survived,0.0292450642519284,0.970754935748072
39,died,0.721685518335616,0.278314481664384
40,died,0.76754171828489,0.23245828171511
42,survived,0.0292450642519284,0.970754935748072
43,survived,0.0292450642519284,0.970754935748072
44,survived,0.0292450642519284,0.970754935748072
45,survived,0.0292450642519284,0.970754935748072
46,died,0.749936347536283,0.250063652463717
48,died,0.729304399986172,0.270695600013828
49,survived,0.0292450642519284,0.970754935748072
50,died,0.623687548981043,0.376312451018957
51,survived,0.0292450642519284,0.970754935748072
52,died,0.645520993037571,0.354479006962429
53,died,0.583183630230631,0.416816369769369
54,survived,0.415428124199921,0.584571875800079
55,survived,0.217449784867498,0.782550215132502
56,survived,0.0292450642519284,0.970754935748072
57,died,0.584561292679778,0.415438707320222
58,survived,0.0292450642519284,0.970754935748072
59,died,0.772806172418762,0.227193827581237
61,died,0.694738969448082,0.305261030551918
62,survived,0.0292450642519284,0.970754935748072
63,died,0.766545254262254,0.233454745737746
64,survived,0.0292450642519284,0.970754935748072
65,died,0.594127935588958,0.405872064411042
66,survived,0.0292450642519284,0.970754935748072
67,survived,0.0292450642519284,0.970754935748072
68,survived,0.0292450642519284,0.970754935748072
69,died,0.749936347536283,0.250063652463717
72,died,0.594127935588958,0.405872064411042
73,survived,0.0292450642519284,0.970754935748072
74,survived,0.0292450642519284,0.970754935748072
76,died,0.761984908025826,0.238015091974174
77,survived,0.0292450642519284,0.970754935748072
78,died,0.656168579543785,0.343831420456215
79,survived,0.0292450642519284,0.970754935748072
80,survived,0.0292450642519284,0.970754935748072
82,died,0.831328461038109,0.168671538961891
83,survived,0.0292450642519284,0.970754935748072
84,survived,0.0292450642519284,0.970754935748072
85,died,0.720246282129289,0.279753717870711
86,survived,0.0292450642519284,0.970754935748072
87,died,0.782513923289735,0.217486076710265
88,died,0.569402325403517,0.430597674596483
89,survived,0.0292450642519284,0.970754935748072
90,died,0.643437146142113,0.356562853857887
91,survived,0.0292450642519284,0.970754935748072
92,died,0.643437146142113,0.356562853857887
93,survived,0.0292450642519284,0.970754935748072
94,died,0.777593958453718,0.222406041546282
95,survived,0,1
96,survived,0.0292450642519284,0.970754935748072
97,died,0.786182831969876,0.213817168030124
98,survived,0.0292450642519284,0.970754935748072
99,survived,0.0292450642519284,0.970754935748072
100,survived,0.0292450642519284,0.970754935748072
101,died,0.78166748186437,0.21833251813563
102,died,0.705249923856162,0.294750076143838
103,survived,0.0292450642519284,0.970754935748072
104,survived,0.0292450642519284,0.970754935748072
105,survived,0.0292450642519284,0.970754935748072
106,survived,0.0292450642519284,0.970754935748072
110,died,0.677412097193509,0.322587902806491
111,died,0.609470732863657,0.390529267136343
112,survived,0.029245108977268,0.970754891022732
113,survived,0.0292450642519284,0.970754935748072
114,survived,0.0292574023092982,0.970742597690702
115,died,0.921981038349329,0.0780189616506707
116,died,0.758425685605097,0.241574314394903
117,survived,0.0292450642519284,0.970754935748072
118,survived,0.0292450642519284,0.970754935748072
120,died,0.7937781457055,0.2062218542945
121,died,0.748766371615606,0.251233628384394
123,survived,0.0292450642519284,0.970754935748072
124,died,0.805860930144512,0.194139069855488
125,survived,0.0292450642519284,0.970754935748072
127,died,0.703660543297408,0.296339456702592
128,survived,0.0292450642519284,0.970754935748072
129,died,0.761984908025826,0.238015091974174
130,survived,0.0292450642519284,0.970754935748072
131,survived,0.0292450642519284,0.970754935748072
132,survived,0.0292450642519284,0.970754935748072
133,died,0.525778703701678,0.474221296298322
134,died,0.78166748186437,0.21833251813563
136,died,0.838269620108905,0.161730379891095
137,died,0.791215868770728,0.208784131229272
138,survived,0.0292450642519284,0.970754935748072
139,died,0.647129805753013,0.352870194246987
140,survived,0.0292450642519284,0.970754935748072
141,survived,0.433799828603464,0.566200171396536
142,survived,0.0292450642519284,0.970754935748072
143,died,0.756121338023764,0.243878661976236
144,died,0.56683180701752,0.43316819298248
145,survived,0.0292450642519284,0.970754935748072
146,died,0.776898399072823,0.223101600927177
147,survived,0.0292450642519284,0.970754935748072
149,died,0.760933290378486,0.239066709621514
150,survived,0.0292450642519284,0.970754935748072
151,died,0.713671890731577,0.286328109268423
152,died,0.569402325403517,0.430597674596483
154,survived,0.0292450642519284,0.970754935748072
155,died,0.786806336337577,0.213193663662423
156,survived,0.0292450642519284,0.970754935748072
157,died,0.729304399986172,0.270695600013828
159,died,0.799012400666943,0.200987599333057
160,survived,0.0292450642519284,0.970754935748072
161,survived,0.0292450642519284,0.970754935748072
162,survived,0.0292450642519284,0.970754935748072
163,died,0.742181869831363,0.257818130168637
164,survived,0.0292450642519284,0.970754935748072
165,died,0.667241477108019,0.332758522891981
166,died,0.712158786914112,0.287841213085888
168,survived,0.0292450642519284,0.970754935748072
169,survived,0.0292450642519284,0.970754935748072
170,survived,0.0292450642519284,0.970754935748072
171,died,0.772806172418762,0.227193827581237
172,died,0.756121338023764,0.243878661976236
173,died,0.777792344747922,0.222207655252078
174,died,0.639801143039247,0.360198856960753
175,died,0.809209625107156,0.190790374892844
176,died,0.735243504922718,0.264756495077282
178,died,0.742181869831363,0.257818130168637
179,survived,0.0292450642519284,0.970754935748072
181,survived,0.0292450642519284,0.970754935748072
182,survived,0.0292450642519284,0.970754935748072
183,survived,0.0292450642519284,0.970754935748072
184,died,0.667241477108019,0.332758522891981
186,died,0.729304399986172,0.270695600013828
187,survived,0.0292450642519284,0.970754935748072
188,survived,0.0292450642519284,0.970754935748072
189,survived,0.0292450642519284,0.970754935748072
190,died,0.596545419199807,0.403454580800193
191,survived,0.0292450642519284,0.970754935748072
192,died,0.609470732863657,0.390529267136343
193,survived,0.0292450642519284,0.970754935748072
194,survived,0.0292450642519284,0.970754935748072
195,died,0.609470732863657,0.390529267136343
196,survived,0.0292450642519284,0.970754935748072
198,survived,0.476528573719486,0.523471426280514
199,survived,0.0292450642519284,0.970754935748072
200,survived,0.0292450642519284,0.970754935748072
201,died,0.756121338023764,0.243878661976236
202,died,0.795221342720145,0.204778657279855
203,died,0.677412097193509,0.322587902806491
204,died,0.60713434371394,0.392865656286059
206,died,0.82737310400628,0.172626895993721
207,died,0.765538876243598,0.234461123756402
208,survived,0.0292450642519284,0.970754935748072
209,survived,0.0292450642519284,0.970754935748072
210,died,0.631796405004432,0.368203594995568
211,died,0.799012400666943,0.200987599333057
212,died,0.761984908025826,0.238015091974174
213,died,0.63564022270477,0.36435977729523
214,survived,0.0292450642519284,0.970754935748072
215,survived,0.0292450642519284,0.970754935748072
216,died,0.769071173028944,0.230928826971056
217,survived,0.0292450642519284,0.970754935748072
218,died,0.825185135004148,0.174814864995852
219,survived,0.0292450642519284,0.970754935748072
221,survived,0.0292450642519284,0.970754935748072
222,died,0.815527027044972,0.184472972955028
223,died,0.589918127241787,0.410081872758213
225,died,0.753069944365078,0.246930055634922
226,died,0.510579699536724,0.489420300463276
227,died,0.619693618123459,0.380306381876541
228,survived,0.0292450642519284,0.970754935748072
229,survived,0.460637300732958,0.539362699267042
230,survived,0.0292450642519284,0.970754935748072
231,survived,0.0292450642519284,0.970754935748072
232,died,0.786984166039499,0.213015833960501
233,died,0.761984908025826,0.238015091974174
234,survived,0.0292450642519284,0.970754935748072
235,died,0.696406856336632,0.303593143663368
237,survived,0.495114063434025,0.504885936565975
239,survived,0.0292450642519284,0.970754935748072
240,died,0.621946900011693,0.378053099988307
241,died,0.749936347536283,0.250063652463717
243,survived,0.0292450642519284,0.970754935748072
244,died,0.756121338023764,0.243878661976236
245,died,0.677412097193509,0.322587902806491
246,survived,0.0292450642519284,0.970754935748072
247,died,0.805387366497775,0.194612633502225
248,survived,0.0292450642519284,0.970754935748072
249,died,0.645520993037571,0.354479006962429
250,survived,0.264162135922476,0.735837864077524
251,survived,0.0292450642519284,0.970754935748072
252,survived,0.0292450642519284,0.970754935748072
253,died,0.768853410565088,0.231146589434912
254,survived,0.0292450642519284,0.970754935748072
256,survived,0.0292450642519284,0.970754935748072
258,survived,0.0292450642519284,0.970754935748072
259,survived,0.0292450642519284,0.970754935748072
260,died,0.656612533385902,0.343387466614098
261,survived,0.0292450642519284,0.970754935748072
262,died,0.667241477108019,0.332758522891981
263,died,0.786182831969876,0.213817168030124
264,survived,0.0292450642519284,0.970754935748072
265,died,0.802600350063841,0.197399649936159
266,died,0.583183630230631,0.416816369769369
267,died,0.802600350063841,0.197399649936159
268,died,0.802600350063841,0.197399649936159
269,died,0.55258212999731,0.44741787000269
271,survived,0.0292450642519284,0.970754935748072
272,died,0.55258212999731,0.44741787000269
273,survived,0.0292450642519284,0.970754935748072
274,survived,4.88649928187534e-07,0.999999511350072
275,died,0.729000758129375,0.270999241870625
276,survived,0.0292450642519284,0.970754935748072
277,died,0.811705907963742,0.188294092036258
279,died,0.633965285675686,0.366034714324314
280,died,0.820432960584839,0.179567039415161
281,died,0.80195725310239,0.19804274689761
282,survived,0.0292450642519284,0.970754935748072
283,survived,0.0292450642519284,0.970754935748072
285,survived,0.0292450642519284,0.970754935748072
286,died,0.834708444450932,0.165291555549068
287,survived,0.0292450642519284,0.970754935748072
288,died,0.817854100240721,0.182145899759279
289,survived,0.0292450642519284,0.970754935748072
290,survived,0.0292450642519284,0.970754935748072
291,died,0.772596690579257,0.227403309420743
292,survived,0.0292450642519284,0.970754935748072
293,died,0.776898399072823,0.223101600927177
295,died,0.755875107684448,0.244124892315552
296,survived,0.269028795874241,0.730971204125759
297,survived,0.0292450642519284,0.970754935748072
299,died,0.621946900011693,0.378053099988307
300,died,0.713671890731577,0.286328109268423
301,died,0.817854100240721,0.182145899759279
302,died,0.761984908025826,0.238015091974174
303,survived,0.0292450642519284,0.970754935748072
304,died,0.829073371911181,0.170926628088819
305,survived,0.0292450642519284,0.970754935748072
306,died,0.815129595191428,0.184870404808572
307,died,0.773533342483392,0.226466657516608
308,survived,0.401666630248059,0.598333369751941
309,survived,0.0292450642519284,0.970754935748072
310,survived,0.0292450642519284,0.970754935748072
311,died,0.795062017245273,0.204937982754727
312,survived,0.0292450642519284,0.970754935748072
313,died,0.761751517508447,0.238248482491553
314,survived,0.420009451097148,0.579990548902852
315,survived,0.0292450642519284,0.970754935748072
316,survived,0.0292450642519284,0.970754935748072
317,died,0.75697614559488,0.24302385440512
318,survived,0.401666630248059,0.598333369751941
320,survived,0.0292450642519284,0.970754935748072
322,died,0.820432960584839,0.179567039415161
323,survived,0.0292450642519284,0.970754935748072
324,died,0.867487725622747,0.132512274377253
325,survived,0.127240594493908,0.872759405506092
326,died,0.867487725622747,0.132512274377253
327,died,0.867455929281717,0.132544070718283
328,died,0.867487725622747,0.132512274377253
329,died,0.867487725622747,0.132512274377253
330,survived,0.191724891788776,0.808275108211224
331,died,0.867487725622747,0.132512274377253
332,died,0.867455929281717,0.132544070718283
333,died,0.867487725622747,0.132512274377253
334,survived,0.174396139337596,0.825603860662404
335,died,0.867487725622747,0.132512274377253
336,died,0.867487725622747,0.132512274377253
337,died,0.867487725622747,0.132512274377253
338,survived,0.0844433253947009,0.915556674605299
339,died,0.867487725622747,0.132512274377253
340,survived,0,1
341,survived,0,1
342,survived,0.0590084200587868,0.940991579941213
343,survived,0.0866116393237245,0.913388360676275
344,died,0.867487725622747,0.132512274377253
345,survived,0.0131488494423199,0.98685115055768
346,died,0.867487725622747,0.132512274377253
347,died,0.867487725622747,0.132512274377253
348,died,0.867487725622747,0.132512274377253
349,died,0.867487725622747,0.132512274377253
350,survived,0.0960515850089005,0.903948414991099
351,survived,0,1
352,died,0.867487725622747,0.132512274377253
353,survived,0.183335826490078,0.816664173509922
354,survived,0.0880395638288326,0.911960436171167
355,died,0.867487725622747,0.132512274377253
356,survived,0.174396139337596,0.825603860662404
357,died,0.867487725622747,0.132512274377253
358,died,0.867487725622747,0.132512274377253
359,survived,0.238122117465981,0.761877882534019
360,survived,5.76232938021004e-06,0.99999423767062
361,died,0.867487725622747,0.132512274377253
362,survived,0.078371779024813,0.921628220975187
363,survived,0.165565219839718,0.834434780160282
365,died,0.86747756856787,0.13252243143213
366,survived,0.288136964354628,0.711863035645372
367,died,0.867487725622747,0.132512274377253
368,died,0.867487725622747,0.132512274377253
369,died,0.867487725622747,0.132512274377253
370,survived,0.133723640374965,0.866276359625035
371,survived,0.0885720292824339,0.911427970717566
372,survived,0.168031672349177,0.831968327650823
373,died,0.867487725622747,0.132512274377253
374,survived,0.127240594493908,0.872759405506092
375,died,0.867487725622747,0.132512274377253
376,died,0.867487725622747,0.132512274377253
377,died,0.867487725622747,0.132512274377253
378,survived,0,1
379,died,0.867487725622747,0.132512274377253
380,survived,0.116236552601751,0.883763447398249
381,survived,0.0823980499649698,0.91760195003503
382,survived,0.128397906919135,0.871602093080865
384,died,0.867486689101112,0.132513310898888
386,survived,0,1
387,died,0.867455929281717,0.132544070718283
388,survived,0.196466564802531,0.803533435197469
389,survived,0.116455739675828,0.883544260324172
390,died,0.867487725622747,0.132512274377253
391,died,0.867388179125701,0.132611820874299
392,died,0.867487725622747,0.132512274377253
393,survived,0.105081169599595,0.894918830400405
394,died,0.867487725622747,0.132512274377253
395,died,0.867455929281717,0.132544070718283
396,survived,0.0635737344116092,0.936426265588391
397,survived,0.123095044204265,0.876904955795735
398,died,0.867487725622747,0.132512274377253
399,survived,0,1
400,died,0.867487725622747,0.132512274377253
401,survived,0.134680849825734,0.865319150174266
402,survived,0.121154351091498,0.878845648908502
403,survived,0.140622764178298,0.859377235821702
404,died,0.867487725622747,0.132512274377253
405,died,0.867486689101112,0.132513310898888
406,died,0.867455929281717,0.132544070718283
407,died,0.867487725622747,0.132512274377253
408,survived,0.133723640374965,0.866276359625035
409,died,0.867455929281717,0.132544070718283
410,died,0.867487725622747,0.132512274377253
412,survived,0.193567623767774,0.806432376232226
