,Predicted_Adjusted,AuditLowriskProbability,AuditHighriskProbability
1,0,1,0
2,0,1,0
3,0,1,0
4,1,0.26,0.74
5,1,0.16,0.84
6,0,1,0
7,1,0,1
8,0,0.88,0.12
9,0,1,0
10,0,1,0
11,0,1,0
12,0,0.98,0.02
13,0,1,0
14,0,1,0
15,1,0,1
16,0,1,0
17,0,1,0
18,0,1,0
19,0,0.86,0.14
20,0,0.9,0.1
21,0,1,0
22,0,1,0
23,0,1,0
24,0,1,0
25,0,0.98,0.02
26,0,1,0
27,0,0.98,0.02
28,0,0.84,0.16
29,1,0.26,0.74
30,0,1,0
31,0,1,0
32,0,0.78,0.22
33,0,1,0
34,0,1,0
35,0,1,0
36,0,1,0
37,0,1,0
38,0,0.98,0.02
39,0,1,0
40,0,1,0
41,1,0,1
42,0,1,0
43,0,0.9,0.1
44,0,1,0
45,0,1,0
46,1,0.12,0.88
47,0,1,0
48,1,0,1
49,0,0.98,0.02
50,1,0.14,0.86
51,0,1,0
52,1,0.06,0.94
53,0,0.92,0.08
54,0,1,0
55,0,1,0
56,0,0.96,0.04
57,0,1,0
58,0,0.96,0.04
59,0,1,0
60,0,0.96,0.04
61,0,0.96,0.04
62,0,0.92,0.08
63,0,1,0
64,0,0.92,0.08
65,0,0.94,0.06
66,0,1,0
67,1,0,1
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,0.96,0.04
73,0,1,0
74,0,0.98,0.02
75,1,0.04,0.96
76,0,1,0
77,0,1,0
78,1,0,1
79,0,0.98,0.02
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,1,0.02,0.98
85,0,0.98,0.02
86,0,1,0
87,0,1,0
88,0,0.8,0.2
89,0,1,0
90,0,1,0
91,1,0.02,0.98
92,0,1,0
93,0,1,0
94,1,0.12,0.88
95,1,0.26,0.74
96,0,0.86,0.14
97,0,1,0
98,0,0.94,0.06
99,1,0.14,0.86
100,0,0.96,0.04
101,0,0.96,0.04
102,0,0.98,0.02
103,1,0.06,0.94
104,0,0.96,0.04
105,0,0.64,0.36
106,0,0.92,0.08
107,0,0.96,0.04
108,0,1,0
109,0,1,0
110,0,0.9,0.1
111,0,1,0
112,0,1,0
113,1,0.08,0.92
114,0,1,0
115,0,1,0
116,0,0.78,0.22
117,0,1,0
118,0,1,0
119,1,0.14,0.86
120,0,0.98,0.02
121,0,1,0
122,0,1,0
123,0,0.94,0.06
124,0,0.98,0.02
125,1,0.14,0.86
126,0,1,0
127,0,1,0
128,1,0.08,0.92
129,0,0.98,0.02
130,0,1,0
131,0,1,0
132,0,0.86,0.14
133,1,0.04,0.96
134,0,1,0
135,0,0.92,0.08
136,0,1,0
137,0,1,0
138,0,1,0
139,0,1,0
140,0,1,0
141,0,1,0
142,0,0.98,0.02
143,0,1,0
145,0,1,0
146,0,0.98,0.02
147,1,0.12,0.88
148,0,0.98,0.02
149,0,1,0
150,1,0.08,0.92
151,0,1,0
152,1,0.02,0.98
153,0,1,0
154,0,1,0
155,0,1,0
156,1,0.14,0.86
157,0,0.86,0.14
158,0,0.86,0.14
159,1,0.2,0.8
160,0,1,0
161,0,0.94,0.06
162,0,0.88,0.12
163,0,0.9,0.1
164,0,0.98,0.02
165,0,1,0
166,1,0.02,0.98
167,0,1,0
168,0,1,0
169,1,0.1,0.9
170,0,1,0
171,0,1,0
172,0,0.94,0.06
173,0,1,0
174,0,1,0
175,0,1,0
176,0,0.94,0.06
177,0,1,0
178,0,1,0
179,1,0.02,0.98
180,1,0.1,0.9
181,0,1,0
182,0,1,0
183,0,1,0
184,0,0.96,0.04
185,0,0.94,0.06
186,0,1,0
187,0,1,0
188,0,1,0
189,1,0.2,0.8
190,0,1,0
191,0,0.98,0.02
192,0,1,0
193,0,1,0
194,0,1,0
195,0,1,0
196,0,0.98,0.02
197,0,1,0
198,0,0.74,0.26
199,0,0.98,0.02
200,0,1,0
201,0,1,0
202,0,1,0
203,0,0.88,0.12
204,0,1,0
205,0,1,0
206,0,1,0
207,1,0,1
208,0,1,0
209,0,1,0
210,1,0,1
211,0,1,0
212,0,1,0
213,0,1,0
214,0,1,0
215,1,0.18,0.82
216,0,1,0
217,0,1,0
218,0,1,0
219,0,1,0
220,0,0.98,0.02
221,0,1,0
222,0,1,0
223,0,1,0
224,0,1,0
225,0,0.94,0.06
226,0,1,0
227,0,0.98,0.02
228,0,1,0
229,0,0.98,0.02
230,0,1,0
231,0,0.96,0.04
232,0,1,0
233,0,1,0
234,0,0.98,0.02
235,0,1,0
236,0,1,0
237,1,0.2,0.8
238,1,0.12,0.88
239,0,1,0
240,0,1,0
241,1,0.08,0.92
242,0,1,0
243,0,1,0
244,0,0.84,0.16
245,1,0.1,0.9
246,1,0.04,0.96
247,0,1,0
248,0,1,0
249,1,0,1
250,0,0.96,0.04
251,0,0.92,0.08
252,0,1,0
253,0,1,0
254,0,0.98,0.02
255,0,1,0
256,1,0.34,0.66
257,0,0.98,0.02
258,0,0.98,0.02
259,0,0.9,0.1
260,0,1,0
261,0,0.54,0.46
262,0,1,0
263,0,0.94,0.06
264,0,1,0
265,0,1,0
266,0,0.92,0.08
267,0,1,0
268,0,0.94,0.06
269,0,1,0
270,0,1,0
271,1,0.24,0.76
272,0,0.78,0.22
