,Predicted_RetailPrice
1,20894.023472365
2,20895.36389485
3,30958.5849579043
4,32143.5999686634
5,33132.3535919464
6,32143.5999686634
7,33132.3535919464
8,31677.6791653428
9,31939.5610130357
10,28127.9939074363
11,28951.466398773
12,27745.0939046314
13,27657.1014763775
14,26434.4634257483
15,27557.3418984789
16,28965.1310759733
17,27557.3418984789
18,28224.98048106
19,27557.3418984789
20,29685.6135131955
21,28606.9674645707
22,27557.3418984789
23,27557.3418984789
24,27687.4955788658
25,29430.5070222824
26,28785.7121969966
27,29813.649731037
28,29017.9175617093
29,27772.5255121992
30,28550.7857951336
31,34253.2556853092
32,32454.6193736224
33,33813.597774613
34,33016.6893663963
35,30874.1513579043
36,32092.8315662475
37,33056.7817570489
38,28976.0745106777
39,28908.9820039942
40,29924.7921145294
41,27090.7428942309
42,28976.0745106777
43,26945.7076741753
44,27149.8214946515
45,26400.9447481503
46,29859.9685000963
47,27426.1578674533
48,30865.6891273796
49,27557.3418984789
50,27708.4496263775
51,27458.5878674533
52,27550.2065174533
53,29685.6135131955
54,28908.9820039942
55,27687.4955788658
56,29740.063520012
57,29734.4673744445
58,27772.5255121992
59,29734.4673744445
60,29032.411428376
61,28362.6414323053
62,16266.3723653697
63,16875.896347294
64,16019.7627467383
65,15217.9069290275
66,15473.1824899812
67,16309.8152161832
68,14997.2806515896
69,42080.3693068988
70,44206.3977589634
71,44206.3977589634
72,41527.7728669793
73,42095.8896250807
74,43608.6077279378
75,42080.3693068988
76,13378.3990586421
77,13752.2997174245
78,13538.3815379202
79,12909.2012807999
80,14861.9601963543
81,13381.1105704788
82,13163.1870283246
83,12892.5452607999
84,13752.2997174245
85,13378.3990586421
86,13378.3990586421
87,13686.6298697456
88,13542.2351712536
89,13538.3815379202
90,35269.9669450208
91,34526.3160947126
92,31616.5530925698
93,34833.7886450208
94,32851.1798125698
95,35269.9669450208
96,33394.5516793223
97,27934.120600035
98,28843.5533445588
99,27934.120600035
100,28906.5319445588
101,28952.4644530731
102,27405.8743221207
103,27934.120600035
104,13858.4278823781
105,14100.3224725344
106,13912.9363990448
107,13762.181347775
108,13069.1825649337
109,14057.4353363977
110,13089.5772260448
111,19345.1631004606
112,20806.2706755581
113,19345.1631004606
114,19226.7609847463
115,19364.7550782384
116,21390.3474470315
117,21962.4845333693
118,21092.9408808652
119,19307.4823874692
120,19978.917863588
121,21073.5668653874
122,19275.045151413
123,19860.0159389848
124,21560.4278988657
125,21603.9370114637
126,21670.9832056671
127,21778.4335783798
128,21780.5183029378
129,20104.1481278737
130,19923.5514574711
131,20293.2822348597
132,20190.1147123181
133,20001.1931574711
134,19364.7550782384
135,19884.7495241377
136,21170.1037653874
137,21385.0539458549
138,21057.2687088657
139,39480.813354943
140,38133.3022963284
141,39085.6031453761
142,40025.515379167
143,38315.1493923289
144,40001.893524167
145,40025.515379167
146,38391.242142995
147,39352.6067494987
148,38383.9145118744
149,38133.3022963284
150,40814.8339967089
151,40916.3399923899
152,39085.6031453761
153,16818.7602871251
154,16901.4589937918
155,16281.3296206966
156,15368.4166531965
157,16215.2143873632
158,18127.0678864622
159,18195.9203245574
160,18681.6813818842
161,18799.9561111574
162,19238.9188892732
163,18081.734595369
164,18451.6950530579
165,20814.566890891
166,21096.1247183228
167,18249.7236588155
168,18018.9620443859
169,17878.2423932387
170,18311.9635790536
171,18349.7124828506
172,18649.7782485509
173,19821.68227097
174,15497.9831392351
175,15081.5674811328
176,15711.089501807
177,15731.6874522538
178,15861.1204286803
179,15462.8329304785
180,15843.4561567056
181,19131.3304811913
182,18933.3112629381
183,20589.930337249
184,17903.4252865721
185,18675.563577824
186,19978.8457300909
187,20764.9566558388
188,23753.6168765572
189,23658.6808184749
190,23429.7252165572
191,23765.3812963321
192,24342.8959772715
193,23387.8035498905
194,23496.7270401416
195,60878.3205471346
196,60878.3205471346
197,57097.3355066584
198,59080.5013685632
199,61073.4185871346
200,61213.9703471346
201,61148.9371871346
202,17337.4003424914
203,16532.9835230079
204,17018.3923243243
205,15610.8539137876
206,17399.2927495549
207,15440.8202465244
208,15966.2273001729
209,21441.9929042134
210,20502.5491555424
211,19364.7550782384
212,19887.5371389848
213,21089.2190948283
214,19279.812303794
215,21092.9408808652
216,32309.2121895709
217,31011.2550798168
218,33992.1208415408
219,33227.7977111338
220,32031.6098368453
221,34097.7160046859
222,33177.0779216383
223,26434.4634257483
224,29615.6093265289
225,27426.1578674533
226,26286.2222717767
227,27554.4512541528
228,27567.1028168537
229,27599.8891563776
230,30018.0937150197
231,28348.1475656387
232,29718.648240012
233,27563.5353783684
234,30011.2967435912
235,30380.1272256738
236,29642.948380012
237,27508.7200488658
238,27435.0911454931
239,28961.5927866386
240,29408.2373371693
241,13542.2351712536
242,12909.2012807999
243,12848.9541284189
244,13618.8960519679
245,13841.2784848848
246,13519.5424141107
247,13293.1853330866
248,13340.0297830866
249,13135.3696283246
250,13080.2854825459
251,13411.1609086421
252,14419.9354281933
253,13494.5262136345
254,13441.350086803
255,20462.7090678371
256,19032.6701183687
257,18639.4627369402
258,18875.1237441662
259,19640.3944745464
260,18574.7875569402
261,19878.8676826198
262,10579.645709033
263,10830.9299555409
264,12045.2306883265
265,11017.8216017338
266,10584.2301018901
267,12216.4131035645
268,11657.1987141052
269,16592.1394811202
270,16159.793445525
271,17222.9350989275
272,16592.1394811202
273,16592.1394811202
274,17004.7721388481
275,17533.2173988464
276,13945.6550882909
277,12578.2569041323
278,12578.2569041323
279,10987.9396949009
280,13396.103179837
281,12464.3856400089
282,10909.9495868431
283,14140.6311102011
284,13453.0228278304
285,12290.7662115692
286,12961.5196467585
287,12736.0683433597
288,12957.6754867585
289,13945.6550882909
290,12572.2716649026
291,13026.694258138
292,13469.2852278304
293,13592.0210873776
294,12764.2863377205
295,13278.8541023141
296,12222.3616372209
297,18322.060663071
298,18046.308198707
299,22243.8974621668
300,18447.0950890457
301,18439.0410013398
302,18520.4296873116
303,18399.4233425163
304,17445.8964580453
305,17433.1109640747
306,16123.3853674374
307,16478.2441536951
308,16287.9413500023
309,20804.2075193336
310,16450.8315136951
311,12872.9634635913
312,13593.6706995869
313,13593.6706995869
314,14915.70815564
315,13593.6706995869
316,14569.2007005486
317,14419.9354281933
318,13603.8885507062
319,12936.7878209344
320,13291.7537473141
321,12997.1946539247
322,13221.2628659353
323,14060.2916950403
324,13728.0527002615
325,18888.10411532
326,19571.7044224211
327,19163.4517121313
328,19712.0458098495
329,20441.5366629549
330,20700.7734305314
331,11113.8341843471
332,11479.3731106963
333,11113.8341843471
334,12073.924642776
335,11728.5170493128
336,11245.6274176805
337,11361.4373795852
338,17615.1468271797
339,18097.4657046376
340,17222.9350989275
341,17644.7432438464
342,16970.3830038481
343,17339.361940513
344,17486.6715238464
345,12067.8475517139
346,10698.7077039829
347,13291.7537473141
348,12017.9413869447
349,10968.6556310913
350,10360.7987912876
351,12818.7087861828
352,13002.8518571856
353,14020.4443744309
354,13564.037311993
355,14395.579810361
356,13808.9124570965
357,13977.5735777642
358,12894.5032609344
