,Predicted_price
4,12352.615
5,16247.4303333333
7,19218.4273333333
9,22439.1533333333
11,15665.5116666667
12,15770.2316666667
13,18235.99
14,18537.4583333333
19,5988.42333333333
20,5873.40466666667
21,6373.532
22,5707.86633333333
23,5912.24566666667
24,8637.99185714286
25,6355.19033333333
26,6679.02366666667
27,6679.02366666667
29,9305.47266666667
30,13451.425
31,6095.99366666667
32,6581.137
33,5711.06466666667
34,6748.10866666667
35,6915.94166666667
36,7352.68533333333
37,7265.99366666667
38,8380.093
39,8687.62733333333
40,9163.327
41,9728.20433333333
42,11787.9206666667
43,9858.30333333333
48,27955.972
51,5700.55633333333
52,6124.23966666667
53,6212.843
54,7088.398
55,7119.75233333333
60,9711.17766666667
61,9257.55333333333
62,9711.17766666667
63,9257.55333333333
65,9946.81166666667
66,16222.109
68,27421.9546666667
69,27431.6246666667
70,27050.333
71,27266.7386666667
73,27537.5076666667
77,5715.666
78,6201.984
79,6433.01133333333
80,8229.61885714286
81,9889.796
82,8376.65566666667
86,7753.97766666667
87,8197.85266666667
88,9593.395
89,9503.08733333333
90,6422.256
91,7127.74666666667
92,6688.70571428571
93,6984.03838095238
94,7767.64766666667
95,6967.47271428571
96,7548.92433333333
97,7208.66238095238
98,7767.64766666667
99,7869.14133333333
100,9342.95066666667
101,9346.917
102,13874.2933333333
103,14253.1506666667
104,14133.5786666667
105,15265.068
106,15097.0543333333
107,15619.8463333333
108,16308.7353333333
109,16067.3725714286
112,16212.8173333333
113,16897.0055714286
116,16288.868
117,16897.0055714286
118,17793.285
119,5734.06533333333
120,8294.86852380952
121,6314.30533333333
122,6897.59233333333
123,7482.08366666667
124,9146.988
126,13843.335
133,12781.2936666667
134,13642.393
135,14183.358
136,14588.814
137,16176.0763333333
138,16510.8913333333
139,5898.42366666667
140,7329.92366666667
141,7656.28533333333
142,7480.55
143,8017.61552380953
144,9646.29933333333
145,9533.74333333333
146,10847.3103333333
147,8356.57466666667
148,10040.258
149,8922.197
150,11988.3486666667
151,5852.34966666667
152,6253.491
153,6372.98666666667
154,7216.74833333333
155,7819.14633333333
156,11509.059
157,7235.34033333333
158,7447.037
159,7843.73433333333
160,7797.886
161,7503.16966666667
162,8193.40666666667
163,8423.39
164,8206.272
165,8173.157
166,9509.22319047619
167,9642.56152380952
168,9473.99976190476
169,9529.56576190476
170,9903.2550952381
171,11205.9844285714
172,11508.1084285714
173,12038.0024285714
174,10152.5563333333
175,10572.2723333333
176,10773.9613333333
177,10692.1576666667
178,10894.7016666667
179,16461.0476666667
180,16520.5483333333
181,16104.844
183,8005.14166666667
184,8111.79985714286
185,8077.92
186,8200.76685714286
187,8347.211
188,8952.21833333333
189,9390.133
191,9308.768
195,14268.4443333333
196,14267.5433333333
197,14732.9986666667
198,14489.791
199,17816.3546666667
200,17596.7196666667
201,17645.8686666667
202,19878.846
203,20520.0703333333
204,20909.6483333333
205,20615.3083333333
