,Predicted_AverageOzoneReading
5,6.21666666666667
6,7.50533333333333
7,4.77866666666667
8,5.402
9,6.36133333333333
12,6.50633333333333
13,8.275
14,4.31666666666667
15,7.43333333333333
16,6.86866666666667
19,6.04366666666667
21,4.928
22,5.24266666666667
23,5.63966666666667
27,8.281
29,6.97566666666667
30,10.2096666666667
33,11.7633333333333
34,8.87266666666667
35,5.30266666666667
36,3.82366666666667
37,8.67266666666667
40,5.99566666666667
41,4.622
43,7.30733333333334
44,8.79766666666667
48,10.5016666666667
49,12.1126666666667
51,6.133
54,5.03766666666667
55,7.139
56,11.3783333333333
57,13.4633333333333
58,17.2553333333333
61,5.67333333333333
62,3.757
63,6.37266666666667
65,4.34766666666667
68,6.487
69,5.672
70,4.152
71,3.37633333333333
72,7.782
75,14.4746666666667
76,9.56966666666667
77,17.756
78,12.3593333333333
79,8.238
82,9.80966666666667
83,9.763
85,12.6766666666667
86,8.42666666666667
89,8.30233333333333
90,9.83033333333333
91,11.9546666666667
92,8.71133333333333
93,9.44333333333333
96,4.469
97,7.83033333333333
98,10.9596666666667
99,5.72566666666667
100,7.99
103,5.54466666666667
104,5.15533333333333
105,7.085
106,6.002
110,13.079
111,12.8683333333333
112,14.4683333333333
113,7.629
114,9.78033333333333
117,11.308
118,6.60833333333333
119,7.52533333333333
120,15.3726666666667
121,18.9106666666667
125,11.225
127,8.11333333333333
128,11.601
131,17.5636666666667
132,24.2356666666667
133,25.7913333333333
134,25.2366666666667
135,20.8003333333333
146,10.5163333333333
149,6.99733333333333
154,13.5636666666667
155,16.7843333333333
156,15.4683333333333
159,10.81
160,7.527
161,5.682
162,4.18033333333333
163,10.1213333333333
166,23.1276666666667
167,24.6286666666667
168,19.4363333333333
169,17.2153333333333
170,21.5313333333333
173,18.778
174,17.0076666666667
175,16.6636666666667
176,18.4786666666667
188,29.731
191,22.2363333333333
194,17.183
195,16.1113333333333
196,18.8083333333333
198,19.2883333333333
201,22.106
202,23.776
203,27.4706666666667
205,18.2363333333333
208,15.2786666666667
209,23.898
210,20.572
215,10.6616666666667
216,11.4606666666667
222,16.1063333333333
224,23.6796666666667
225,19.6893333333333
229,5.94033333333333
230,8.25766666666667
231,10.9553333333333
233,14.8833333333333
237,20.4113333333333
238,20.623
239,18.2186666666667
240,28.9053333333333
243,29.2583333333333
244,21.44
245,21.4666666666667
246,19.546
247,17.2006666666667
251,23.9003333333333
252,16.626
257,23.616
258,18.8383333333333
259,4.849
261,9.13366666666666
265,19.8776666666667
266,15.3153333333333
268,12.3163333333333
271,11.4086666666667
272,10.7976666666667
273,6.54566666666667
274,9.16833333333333
275,9.08433333333333
278,16.6186666666667
279,16.2533333333333
280,27.797
281,17.801
282,12.0986666666667
286,12.0313333333333
287,26.1743333333333
288,17.8036666666667
289,15.4563333333333
292,9.802
293,13.216
294,10.2473333333333
295,12.6473333333333
296,7.52833333333333
301,5.012
302,7.45833333333333
303,8.04366666666666
308,9.863
310,7.018
314,12.7493333333333
315,13.8966666666667
316,6.30233333333333
317,6.292
320,5.75
321,5.48633333333333
322,9.23533333333333
323,7.63366666666667
324,10.451
327,11.5846666666667
328,10.2193333333333
329,11.247
331,7.11566666666667
334,4.91333333333333
335,4.97366666666667
336,4.501
337,4.615
338,8.61133333333333
341,6.028
342,4.54766666666667
343,5.90833333333333
344,6.40666666666667
345,5.42133333333333
348,3.65333333333333
349,3.11066666666667
350,7.74566666666667
351,3.31766666666667
352,5.34
355,6.002
356,3.816
357,4.182
358,4.93
362,5.85033333333333
363,4.19233333333333
364,5.78833333333333
365,4.022
