,Predicted_TipAmount
1,2.52067296164318
2,2.28718969976496
3,3.35400071738719
4,3.27432430114393
5,3.83253647378055
6,4.03574471220879
7,2.2308835170205
8,3.97868304554212
9,2.74517441209644
10,2.74517441209644
11,2.13120859638558
12,4.81417223857132
13,2.74517441209644
14,2.81432087851375
15,2.70646153307175
16,3.67945477733441
17,2.63661049341576
18,2.95837180410507
19,2.74707138840965
20,3.17871235904245
21,3.08439917903002
22,2.94779465864879
23,2.53667193581315
24,6.5951556302521
25,2.97461372448456
26,2.82744512707901
27,2.468203034143
28,2.3023625514884
29,3.30833708139752
30,2.9755103729345
31,2.15168240863125
32,2.90154546618435
33,2.53667193581315
34,3.24145801120448
35,2.64873983326175
36,3.40304654208164
37,2.68439014905704
38,3.08375592054418
39,2.82514340047229
40,4.42587303593866
41,2.68693372048561
42,2.73870995599699
43,2.67934084066787
44,2.13120859638558
45,4.6577332198123
46,3.08044292502796
47,3.82505644400107
48,4.93638099759008
49,3.73648050038197
50,3.04075292502796
51,2.41522401157909
52,2.45322739817766
53,4.85417223857132
54,2.13120859638558
55,4.03574471220879
56,3.07593721074224
57,3.77996949936083
58,2.94477347866186
59,1.94045191878746
60,8.10577943977591
61,2.73762883220745
62,2.14062506810872
63,1.94497191878746
64,3.49414128611209
65,2.75457895025584
66,2.92209840047229
67,2.57264329944951
68,1.43459942781357
69,2.83226467686552
70,2.31896993990359
71,2.3652705514884
72,3.16780955690782
73,3.25142469438033
74,3.57825802771367
75,2.48818638025759
76,2.15718240863125
77,2.84354095341957
78,4.42092216117216
79,2.92780517214656
80,2.82936962694297
81,3.13361862781637
82,2.76998176980011
83,1.72734099923582
84,3.94703411236107
85,2.30517226969238
86,4.73816857142857
87,2.10086013812829
88,2.93891232535567
89,3.83335267129256
90,2.91047256345091
91,3.05257470189325
92,3.23401985405743
93,2.21137058608059
94,3.06698947496948
95,3.21964858585859
96,4.96705063492063
97,3.09005470189325
98,1.90598178356297
99,3.05923522137378
100,2.08766936155062
101,2.56729058608059
102,2.8718522022422
103,6.37749448275862
104,3.35045315591879
105,3.18545433150467
106,2.31896993990359
107,2.73762883220745
108,3.20490230300566
109,3.08723489331573
110,2.50821929388901
111,2.62148974168666
112,1.45029851181498
113,4.19887383371531
114,3.1907591729388
115,3.59697343688991
116,2.94573804100826
117,4.60439750552658
118,1.89758456681203
119,2.00483378334713
120,3.45340910364146
121,2.06524195631011
122,2.15337663826999
123,2.28325274588285
124,2.28222941254952
125,2.06741102499437
126,4.49830523809524
127,1.86961979180794
128,2.17488312048343
129,1.9754623547757
130,2.86718653015803
131,2.76554756345091
132,2.7963817650308
133,1.90185456681203
134,2.00483378334713
135,2.84547756213225
136,1.75908050493823
137,1.90671790014537
138,2.16956312048343
139,2.24370813925265
140,2.21152936554271
141,2.83932867324336
142,4.65975549450549
143,5.03981882783883
144,4.41294857142857
145,2.3829253932107
146,1.75908050493823
147,2.45398011990162
148,1.99194711668047
149,1.9649349433231
150,1.86961979180794
151,2.66307584066787
152,2.41049067824575
153,2.84185649274976
154,3.46333471220879
155,2.88445527245315
156,4.54231842904751
157,6.5921738258729
158,4.05298599759008
159,2.5351968340751
160,2.7234224308503
161,3.66948594597502
162,2.41725734491242
163,2.91898757888584
164,2.48395801590809
165,3.12044416361416
166,3.42378246896894
167,3.09596484873643
168,4.71843607695516
169,2.18482493491465
170,2.18482493491465
171,7.59377735930736
172,2.29930327323693
173,3.08993467585046
174,3.29284996966801
175,2.99576816669296
176,3.25559360603165
177,2.91513311907391
178,2.61238856351835
179,3.0766816971917
180,3.28012027269832
181,3.87298094202899
182,3.98445799830604
183,5.76717926406926
184,4.57963801273606
185,4.5216780952381
186,3.8091634190575
187,3.74064874458875
188,3.30625778185583
189,3.50037802197802
190,4.02377457839262
191,2.65032189685169
192,3.30584557889823
193,3.87162300124996
194,2.23172480591932
195,2.8306254532132
196,1.86961979180794
197,2.13569385353836
198,4.86823079365079
199,2.11081931924285
200,2.16256480591932
201,3.34413803418804
202,2.10221931924285
203,2.11081931924285
204,2.64269778244631
205,3.79655422466422
206,3.10585079365079
207,3.64166925405059
208,3.90228949936083
209,2.8279807741836
210,2.13705160158132
211,3.43457353976487
212,4.22321094236227
213,8.10577943977591
214,2.4363169861967
215,4.61196544956959
216,2.13705160158132
217,3.79072427569561
218,1.98223125212079
219,1.91864858545412
220,3.91812449718863
221,2.06196101656857
222,2.63419805658394
223,1.82706216502795
224,2.7131421040286
225,2.1510743499019
226,2.87590032931121
227,2.30528264957265
228,3.03719713285102
229,2.473863034143
230,3.44207315591879
231,3.93579417544498
232,3.06541556053332
233,2.3793605514884
234,2.15718240863125
235,2.34016993990359
236,2.15168240863125
237,1.91241458545412
238,2.5876697488931
239,4.50727214429361
240,4.48938732165294
241,3.19513183723747
242,2.85161385110668
243,2.61329983326175
244,2.96631582589658
