,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0.02,0.98
2,survived,0.2,0.8
3,died,0.52,0.48
4,died,0.74,0.26
5,survived,0.3,0.7
6,died,0.96,0.04
7,survived,0.22,0.78
8,died,0.96,0.04
9,survived,0.02,0.98
10,died,1,0
11,died,0.78,0.22
12,survived,0.02,0.98
13,survived,0.02,0.98
14,survived,0.02,0.98
15,died,0.98,0.02
17,died,0.56,0.44
18,survived,0,1
19,survived,0.02,0.98
20,died,0.82,0.18
21,died,0.72,0.28
22,survived,0,1
23,died,0.76,0.24
24,survived,0.02,0.98
25,survived,0.02,0.98
26,died,0.84,0.16
27,died,0.52,0.48
28,survived,0.02,0.98
29,survived,0.02,0.98
30,died,0.88,0.12
31,died,0.98,0.02
32,died,0.94,0.06
33,survived,0.02,0.98
34,survived,0.02,0.98
35,died,0.96,0.04
36,survived,0.02,0.98
37,survived,0,1
39,died,0.94,0.06
40,died,0.96,0.04
42,survived,0.04,0.96
43,survived,0.02,0.98
44,survived,0.02,0.98
45,survived,0.02,0.98
46,died,0.98,0.02
48,died,0.96,0.04
49,survived,0.02,0.98
50,died,0.76,0.24
51,survived,0,1
52,died,0.8,0.2
53,died,0.88,0.12
54,died,0.94,0.06
55,survived,0.4,0.6
56,survived,0.1,0.9
57,died,0.62,0.38
58,survived,0.1,0.9
59,died,0.98,0.02
61,died,0.76,0.24
62,survived,0.12,0.88
63,died,0.78,0.22
64,survived,0,1
65,died,0.58,0.42
66,survived,0.02,0.98
67,survived,0.18,0.82
68,survived,0.02,0.98
69,died,0.98,0.02
72,died,0.58,0.42
73,survived,0,1
74,survived,0.06,0.94
76,died,1,0
77,survived,0,1
78,died,0.72,0.28
79,survived,0.1,0.9
80,survived,0.02,0.98
82,died,0.86,0.14
83,survived,0.1,0.9
84,survived,0.12,0.88
85,died,0.74,0.26
86,survived,0.04,0.96
87,died,0.94,0.06
88,died,0.8,0.2
89,survived,0.02,0.98
90,died,0.6,0.4
91,survived,0.16,0.84
92,died,0.6,0.4
93,survived,0.02,0.98
94,died,0.96,0.04
95,survived,0.22,0.78
96,survived,0,1
97,died,0.84,0.16
98,survived,0.06,0.94
99,survived,0,1
100,survived,0,1
101,died,0.58,0.42
102,died,0.96,0.04
103,survived,0.02,0.98
104,survived,0.04,0.96
105,survived,0,1
106,survived,0.18,0.82
110,died,0.82,0.18
111,died,0.92,0.08
112,survived,0.12,0.88
113,survived,0.12,0.88
114,survived,0.08,0.92
115,died,0.82,0.18
116,died,0.98,0.02
117,survived,0.14,0.86
118,survived,0.02,0.98
120,died,0.86,0.14
121,died,0.62,0.38
123,survived,0.02,0.98
124,died,0.62,0.38
125,survived,0,1
127,died,0.78,0.22
128,survived,0.02,0.98
129,died,1,0
130,survived,0.02,0.98
131,survived,0,1
132,survived,0,1
133,died,0.9,0.1
134,died,0.58,0.42
136,died,1,0
137,died,0.9,0.1
138,survived,0.04,0.96
139,died,0.92,0.08
140,survived,0,1
141,died,0.56,0.44
142,survived,0,1
143,died,1,0
144,died,0.52,0.48
145,survived,0.02,0.98
146,died,0.66,0.34
147,survived,0,1
149,died,0.74,0.26
150,survived,0.02,0.98
151,died,0.94,0.06
152,died,0.8,0.2
154,survived,0.02,0.98
155,died,0.96,0.04
156,survived,0,1
157,died,0.96,0.04
159,died,1,0
160,survived,0,1
161,survived,0,1
162,survived,0.02,0.98
163,died,0.72,0.28
164,survived,0.02,0.98
165,died,0.72,0.28
166,died,0.72,0.28
168,survived,0.02,0.98
169,survived,0.04,0.96
170,survived,0.02,0.98
171,died,0.98,0.02
172,died,1,0
173,died,1,0
174,died,0.78,0.22
175,died,1,0
176,died,0.74,0.26
178,died,0.72,0.28
179,survived,0.02,0.98
181,survived,0.02,0.98
182,survived,0.02,0.98
183,survived,0.02,0.98
184,died,0.72,0.28
186,died,0.96,0.04
187,survived,0.02,0.98
188,survived,0,1
189,survived,0,1
190,died,0.92,0.08
191,survived,0.04,0.96
192,died,0.92,0.08
193,survived,0.02,0.98
194,survived,0,1
195,died,0.92,0.08
196,survived,0.04,0.96
198,died,0.76,0.24
199,survived,0.02,0.98
200,survived,0.02,0.98
201,died,1,0
202,died,1,0
203,died,0.82,0.18
204,died,0.7,0.3
206,died,1,0
207,died,0.8,0.2
208,survived,0.02,0.98
209,survived,0.02,0.98
210,died,0.68,0.32
211,died,1,0
212,died,1,0
213,died,0.88,0.12
214,survived,0.02,0.98
215,survived,0,1
216,died,0.94,0.06
217,survived,0.02,0.98
218,died,1,0
219,survived,0.02,0.98
221,survived,0,1
222,died,0.92,0.08
223,died,0.92,0.08
225,died,1,0
226,died,0.94,0.06
227,died,0.74,0.26
228,survived,0,1
229,died,0.78,0.22
230,survived,0.02,0.98
231,survived,0.02,0.98
232,died,0.9,0.1
233,died,1,0
234,survived,0,1
235,died,0.96,0.04
237,died,0.94,0.06
239,survived,0.02,0.98
240,died,0.82,0.18
241,died,0.98,0.02
243,survived,0.02,0.98
244,died,1,0
245,died,0.82,0.18
246,survived,0.02,0.98
247,died,0.92,0.08
248,survived,0,1
249,died,0.8,0.2
250,survived,0.34,0.66
251,survived,0.06,0.94
252,survived,0.06,0.94
253,died,0.92,0.08
254,survived,0.04,0.96
256,survived,0.02,0.98
258,survived,0.02,0.98
259,survived,0.02,0.98
260,died,0.76,0.24
261,survived,0.02,0.98
262,died,0.72,0.28
263,died,0.84,0.16
264,survived,0.02,0.98
265,died,0.94,0.06
266,died,0.88,0.12
267,died,0.94,0.06
268,died,0.94,0.06
269,died,0.62,0.38
271,survived,0.02,0.98
272,died,0.62,0.38
273,survived,0,1
274,survived,0.22,0.78
275,died,0.64,0.36
276,survived,0,1
277,died,0.88,0.12
279,died,0.76,0.24
280,died,1,0
281,died,0.92,0.08
282,survived,0,1
283,survived,0,1
285,survived,0.1,0.9
286,died,0.94,0.06
287,survived,0.22,0.78
288,died,1,0
289,survived,0.02,0.98
290,survived,0.02,0.98
291,died,0.96,0.04
292,survived,0,1
293,died,0.66,0.34
295,died,0.8,0.2
296,died,0.58,0.42
297,survived,0,1
299,died,0.82,0.18
300,died,0.94,0.06
301,died,1,0
302,died,1,0
303,survived,0.02,0.98
304,died,0.94,0.06
305,survived,0.02,0.98
306,died,1,0
307,died,0.94,0.06
308,died,0.52,0.48
309,survived,0.02,0.98
310,survived,0.06,0.94
311,died,0.9,0.1
312,survived,0,1
313,died,0.96,0.04
314,died,0.82,0.18
315,survived,0.02,0.98
316,survived,0.04,0.96
317,died,0.94,0.06
318,died,0.52,0.48
320,survived,0.02,0.98
322,died,1,0
323,survived,0.18,0.82
324,died,1,0
325,survived,0.04,0.96
326,died,1,0
327,died,1,0
328,died,1,0
329,died,1,0
330,survived,0.02,0.98
331,died,0.98,0.02
332,died,1,0
333,died,1,0
334,survived,0.06,0.94
335,died,1,0
336,died,1,0
337,died,0.86,0.14
338,survived,0.02,0.98
339,died,1,0
340,survived,0.12,0.88
341,survived,0,1
342,survived,0,1
343,survived,0.02,0.98
344,died,1,0
345,survived,0.06,0.94
346,died,1,0
347,died,1,0
348,died,0.96,0.04
349,died,1,0
350,survived,0.12,0.88
351,survived,0.02,0.98
352,died,0.84,0.16
353,survived,0.02,0.98
354,survived,0.02,0.98
355,died,0.98,0.02
356,survived,0.06,0.94
357,died,1,0
358,died,0.96,0.04
359,survived,0.12,0.88
360,survived,0.06,0.94
361,died,0.54,0.46
362,survived,0.02,0.98
363,survived,0.06,0.94
365,died,0.96,0.04
366,survived,0.34,0.66
367,died,1,0
368,died,1,0
369,died,1,0
370,survived,0.04,0.96
371,survived,0.02,0.98
372,survived,0.04,0.96
373,died,0.98,0.02
374,survived,0.04,0.96
375,died,0.96,0.04
376,died,1,0
377,died,1,0
378,survived,0,1
379,died,0.9,0.1
380,survived,0,1
381,survived,0.08,0.92
382,survived,0.1,0.9
384,died,1,0
386,survived,0.06,0.94
387,died,1,0
388,survived,0.04,0.96
389,survived,0.06,0.94
390,died,0.98,0.02
391,died,1,0
392,died,0.98,0.02
393,survived,0.02,0.98
394,died,1,0
395,died,1,0
396,survived,0.08,0.92
397,survived,0,1
398,died,1,0
399,survived,0.08,0.92
400,died,0.98,0.02
401,survived,0,1
402,survived,0.06,0.94
403,survived,0.04,0.96
404,died,1,0
405,died,1,0
406,died,1,0
407,died,1,0
408,survived,0.04,0.96
409,died,1,0
410,died,1,0
412,survived,0.24,0.76
413,died,1,0
414,died,1,0
415,died,1,0
416,survived,0.06,0.94
417,died,1,0
418,died,1,0
419,died,1,0
