,Predicted_RetailPrice
1,20298.0216598576
2,21641.330222582
3,35906.8371818827
4,36233.6382747449
5,38393.7260784771
6,36029.2412918467
7,38430.6802042779
8,36110.9262906297
9,35779.2262971944
10,25358.7806568657
11,26397.3434021968
12,25199.9559318747
13,25003.3387649346
14,22869.0658050632
15,24907.5055774512
16,26650.4069199032
17,24864.8934036809
18,25430.8750146299
19,24838.5481178229
20,27003.5044759998
21,25837.2393382866
22,24947.1119132377
23,24895.659039515
24,28365.9199338721
25,29837.3660339402
26,29405.4094342687
27,30116.1559565902
28,29763.9424704889
29,28618.5871385101
30,29292.6021028768
31,38138.9828596974
32,36734.5492652681
33,39366.2030732349
34,37218.6659946584
35,32841.589694406
36,36200.5709881465
37,36985.9360868424
38,26256.4226449564
39,26365.5138135918
40,27482.2741003485
41,24425.3795558973
42,26172.7896234073
43,23498.1242598251
44,24218.110863944
45,21575.3147052606
46,27209.4470310425
47,23884.813406964
48,28644.9998893041
49,24849.3337717648
50,25042.2378447249
51,24295.3755127509
52,24477.3171177701
53,27019.9481779112
54,26273.7473480864
55,28415.9582956024
56,30104.0015445029
57,30067.8857348504
58,28614.520416532
59,30083.4453667666
60,29679.7790069425
61,29193.5862634105
62,15158.9379335496
63,15997.1673491839
64,14390.6811076909
65,14322.3900299688
66,15147.754708743
67,16518.7655775956
68,13794.7282341894
69,37743.1087564071
70,42767.1017253252
71,42481.7239308635
72,39351.4546455845
73,39195.2821305792
74,40836.1160417342
75,38014.8718729422
76,12600.7529284163
77,14756.781958704
78,13281.8404527449
79,13077.7562237548
80,16135.6183973615
81,11348.3793731672
82,11880.7663242974
83,13188.0881591601
84,14726.9003928651
85,12572.9931305659
86,12595.4485084449
87,13998.1139628838
88,13481.6402716678
89,13337.0064204475
90,30567.5027218112
91,30385.4300566398
92,25587.2285645046
93,30098.5919963388
94,27343.3452030382
95,30489.1741202334
96,28378.0149716137
97,26899.1931731157
98,28894.0087103626
99,26503.3066292498
100,29382.5457897291
101,27929.0036574117
102,27005.1505123917
103,26693.0280502271
104,12727.9326832612
105,13997.9467643249
106,12953.0169040478
107,12298.8051075744
108,12090.8309706053
109,13224.7800205829
110,11851.4248158958
111,19945.7624199093
112,21130.5930275225
113,19943.6406519208
114,20155.817450777
115,19870.7932843134
116,23374.0059786527
117,24099.1659425908
118,21647.5940919589
119,18556.711643397
120,21018.3130693511
121,21709.3052464029
122,20171.2002686941
123,20545.3356219007
124,21432.2377098964
125,23278.3496051683
126,22787.1633845927
127,21709.3479314732
128,22608.9318047768
129,20822.049530409
130,19389.1977047567
131,20070.1084150862
132,20690.6767291172
133,19061.9149925209
134,19638.2828755668
135,19531.7097879884
136,21587.4804010596
137,21939.8676323834
138,21502.6096815171
139,41388.4920096482
140,40458.7582488128
141,40534.8340222499
142,41811.9615373655
143,39969.559667297
144,41582.4569666027
145,41926.5370087479
146,37543.0954045298
147,40600.7856438944
148,38040.3421236965
149,40297.6806956811
150,42677.4203088531
151,42982.1165830578
152,40491.5145924834
153,22020.6027972012
154,22771.8854791514
155,20257.1008447975
156,19553.163440502
157,19952.2735104407
158,21821.1974803662
159,22760.0798153052
160,17446.2116153495
161,16812.1566147673
162,18975.6069532581
163,16339.0054220945
164,17871.760225985
165,19950.6050978495
166,21070.5022827421
167,17400.197290527
168,17669.5307649223
169,16794.6550976383
170,18105.8619607231
171,16581.5484749399
172,17440.1999393819
173,19721.0547732397
174,14605.4692424429
175,12843.8713699388
176,14351.0259492808
177,15180.9988093405
178,16077.5768446603
179,15913.4903847682
180,16160.1916672855
181,18911.6002856031
182,18377.3141343303
183,19695.4198121545
184,16933.4540868901
185,17226.2550005351
186,19568.4642920622
187,19887.2630011204
188,26099.0327408288
189,26127.6308548274
190,24949.2113050269
191,26553.3989645323
192,26430.5589890417
193,24680.9844684728
194,24488.918711661
195,56366.4464667857
196,57398.5097792224
197,49953.2259073563
198,53400.7452607724
199,54283.5775580135
200,56106.1762601887
201,55376.1112581241
202,22001.0643451621
203,20142.3986559579
204,20493.728072064
205,18938.7800105989
206,21069.4344529607
207,16706.3722124799
208,19910.3729353615
209,20784.6137852346
210,20808.9683632562
211,19450.8600365771
212,19987.8410829059
213,21228.1943549963
214,20072.5380572259
215,21689.6758237321
216,36564.0578851166
217,33991.9903948285
218,38042.0918569963
219,37283.7335463077
220,35865.8651567273
221,38900.301254523
222,38124.6151719277
223,22750.4236117028
224,27730.2100120825
225,24283.1753468167
226,19511.8953363835
227,24695.0239732204
228,25151.6857101349
