,Predicted_price
4,14505.0490147443
5,17978.3493284413
7,18796.9670214778
9,21704.6346353364
11,16920.8592422456
12,17620.2771650986
13,19949.5499543247
14,20939.3136383309
19,3990.58601006736
20,7455.41398993253
21,8252.6419651622
22,5071.72359293573
23,5192.49691978199
24,9116.84530132337
25,6841.43342352423
26,7376.43000003072
27,7376.43000003072
29,8632.47613693397
30,12897.3182184054
31,5691.22441936415
32,6224.56637295774
33,6626.73946904806
34,7573.17417651605
35,7647.27452813981
36,8244.17948233145
37,7382.6152054279
38,8425.80051359022
39,8671.25792834392
40,8542.92746542238
41,8697.41595859549
42,8965.81686328806
43,9728.82448026171
48,32250
51,6168.02286082992
52,6769.7084945178
53,6792.86485440022
54,7526.172967573
55,7460.32937008882
60,10269.6623142445
61,10640.1640945257
62,10269.6623142445
63,10640.1640945257
65,10276.5245811491
66,16043.061115999
68,28389.6412644623
69,29032.5059918096
70,26495.7742187247
71,30818.4402324587
73,33895.6382925444
77,5212.9563893722
78,5449.71826982419
79,5727.59458841327
80,8736.03015771672
81,10309.4286310904
82,7564.55893149655
86,7681.38347072451
87,7866.6343497839
88,10407.7280824124
89,8232.56171757876
90,6194.24821662452
91,6857.99231224719
92,6328.55510394258
93,7073.33980421675
94,7538.34987732782
95,6481.38707916658
96,6844.03121716364
97,7226.17177944075
98,7598.55641302212
99,7571.84675417608
100,9121.85271340648
101,9453.07332294764
102,15022.4962416071
103,15419.3977632753
104,14441.8211718586
105,15266.342567958
106,18177.3949174248
107,18431.2779928515
108,13795.7909572682
109,16892.7833307664
112,14673.7956217417
113,17147.5032894731
116,14050.5109159749
117,17147.5032894731
118,17715.4068420436
119,5196.81113763859
120,9042.99490523099
121,6836.65341456101
122,6326.8437514385
123,7546.99190651819
124,8029.70488461249
126,22018
133,13741.0609689572
134,14431.7344053817
135,16366.1774958277
136,14723.5045399003
137,16636.5360481477
138,17332.0475107424
139,6116.01929696959
140,6472.38802984546
141,6065.9222014123
142,8407.00394989594
143,8442.42829904295
144,9487.37926265278
145,8312.58474516442
146,11987.5912262583
147,8925.97470430566
148,9809.07478797706
149,8641.57105769477
150,11918.6082007807
151,5987.00435880786
152,6407.71547977733
153,6847.39439912886
154,5997.75376339908
155,5818.1605029669
156,9753.94429794271
157,7602.5175422298
158,7377.10927035525
159,7246.33257327451
160,7609.51041933443
161,8038.14406982957
162,7299.24816329625
163,7815.7196518968
164,8388.40115374868
165,8117.38707990182
166,8416.65469640288
167,8145.64062255602
168,10339.7191034245
169,10321.1940155186
170,10687.5836607079
171,10983.4659081559
172,11442.480992875
173,18829.3617074554
174,9541.04290141088
175,11170.0751755041
176,9855.96741815679
177,9898.95248214211
178,10059.7433851221
179,15932.9299045129
180,16181.7848965265
181,15664.9870538756
183,7623.46619367458
184,8222.4612795859
185,7985.6095669802
186,8584.60465289152
187,8876.37478741006
188,10060.4708545505
189,8411.08842556176
191,10765.5857025083
195,15349.9710848795
196,15437.8179108929
197,15392.8862273845
198,15411.2639737506
199,18616.794449874
200,18658.3285561225
201,17717.5488594129
202,20571.7711146178
203,19770.5960196249
204,21246.5829519617
205,20521.4388514783
