,Predicted_AverageOzoneReading
5,2.52186075495981
6,7.36618544829446
7,-0.677624887367481
8,1.25891366547126
9,5.01270214988789
12,3.24584147074544
13,7.27161156165388
14,5.22985352964147
15,5.8646211066857
16,4.80781193819687
19,10.9644052364487
21,5.87358839183023
22,3.0712117013977
23,4.04513766467305
27,9.49470674691581
29,4.46491664171321
30,8.17932870285244
33,14.1847742515113
34,8.77624994903684
35,4.44028123717717
36,2.67009328832678
37,5.95253891978015
40,2.09700559267204
41,5.07870658745561
43,6.82993921925081
44,12.9137331480908
48,10.7607809752606
49,16.7358873809643
51,4.01473473741198
54,2.5361283849978
55,0.771008442076597
56,13.0776889819937
57,13.2410815706248
58,17.6552547143329
61,-0.465624006610099
62,-4.00734998207597
63,-3.37748387443836
65,8.50896218154975
68,5.49205863960012
69,6.74981068248311
70,3.9431924569213
71,5.09955193994611
72,10.6730609306348
75,17.1355876291849
76,11.2036905297668
77,19.0034459915168
78,13.1784733883166
79,5.76964672618827
82,13.6511892264148
83,12.8718923156371
85,10.2382658350745
86,11.9220455396844
89,11.2731838569729
90,13.9642472977286
91,9.6707759866218
92,6.69029985748529
93,13.3592406588418
96,2.30177943327453
97,6.65734231238573
98,13.2372679677859
99,1.93974538095928
100,11.8537830781962
103,2.34764616901065
104,3.32341356357637
105,4.87718331033074
106,5.22218671652381
110,15.9905297006364
111,20.3452069623391
112,21.2689185879126
113,5.78365929573735
114,13.6100802603239
117,11.0532180528894
118,7.90990574857468
119,5.81511930149971
120,18.2570121713357
121,23.0180784364044
125,14.2632104400911
127,9.94444451749897
128,13.5160769385212
131,19.1012964617387
132,23.6192287123717
133,25.4886511349151
134,25.8825265186007
135,24.7738534544443
146,9.68404518293182
149,11.0911735407161
154,16.3362952511841
155,15.1669001467364
156,13.5597187628228
159,8.62320025066701
160,9.95034087076605
161,6.38145715611194
162,4.72559925170133
163,11.9608469033862
166,24.0475524785826
167,22.0493238946521
168,14.888622902228
169,16.2866835274218
170,23.0595379339758
173,18.824288380072
174,15.7955785718001
175,17.3095580280572
176,17.3914589277604
188,30.1346835340995
191,25.7048900045379
194,17.1064685979863
195,16.6374630158731
196,22.3890395722311
198,11.276213996853
201,17.3374120370357
202,22.2333601616288
203,25.4325032265661
205,17.5100062276485
208,19.747533784022
209,21.9125861723745
210,18.4412948032771
215,13.0241036822915
216,13.0717642102136
222,21.1671226027132
224,26.0126565173319
225,21.3953872825635
229,5.41016232268383
230,11.5766951195431
231,10.2389521081637
233,21.7727944267425
237,20.1599876777039
238,24.9400356277692
239,22.8480123970508
240,29.9125861103811
243,29.0922327689085
244,25.3292240133782
245,20.8182074723968
246,16.1451961140485
247,16.4521662676476
251,19.8091251461167
252,17.7017512302579
257,17.2875512801881
258,19.7697812773221
259,7.18374229757529
261,6.80147856611418
265,16.6182491532466
266,16.4001269112833
268,10.5809557665226
271,11.5881966511975
272,10.8590680310538
273,12.4907319779914
274,8.56757440357024
275,4.57003826795301
278,15.0008081591789
279,20.6122107993119
280,24.2041525189667
281,19.5473153124134
282,14.2895325845165
286,15.7170760522623
287,19.9894322420084
288,19.2193922295962
289,13.0876227133777
292,11.3205551155243
293,15.9380062996909
294,12.6400583002489
295,13.3522560391227
296,9.55215200828152
301,8.07722497284575
302,5.50178376701555
303,9.14833118068996
308,11.8998541089344
310,8.68687297585174
314,12.3429800314292
315,11.2525017039217
316,3.26856283035026
317,-2.55822938662352
320,6.46943123420729
321,3.74607715268699
322,9.80381558468257
323,6.20248145401966
324,11.5053059111421
327,13.0378226196978
328,11.5717765323853
329,10.488048113697
331,0.188108655728669
334,1.46980397169146
335,6.34560080423394
336,2.9214544021649
337,4.46217679708909
338,6.08231340208312
341,4.74065274897444
342,4.37696466864697
343,5.3676576284289
344,5.25153061068157
345,5.68040647087097
348,3.27872603724745
349,6.34030873550435
350,5.45691564200051
351,0.689712307124504
352,1.76710023546092
355,4.67849685494857
356,1.63019622124998
357,1.26041167366902
358,-0.454579413722687
362,3.43935002859803
363,1.59192339076861
364,4.58119080621429
365,2.79718488403058
