,Predicted_censored
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,1
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,0
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,1
373,0
374,0
375,1
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,1
449,1
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,0
498,1
499,1
500,0
501,0
502,1
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,1
528,0
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,1
537,0
538,1
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,1
549,0
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,1
563,0
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,1
576,1
577,0
578,0
579,1
580,1
581,1
582,1
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,0
602,1
603,1
604,1
605,0
606,0
607,0
608,1
609,0
610,0
611,0
612,1
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,1
621,1
622,0
623,0
624,0
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,1
634,1
635,0
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,0
646,0
647,1
648,1
649,0
650,0
651,1
652,0
653,1
654,1
655,0
656,1
657,0
658,0
659,1
660,0
661,1
662,0
663,1
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,0
673,0
674,0
675,0
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,1
684,0
685,1
686,0
