Price,Mileage,Cylinder,Doors,Cruise,Sound,Leather,Buick,Cadillac,Chevy,Pontiac,Saab,Saturn,Convertible,Coupe,Hatchback,Sedan,Wagon
22661.05,20105,6,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
21725.01,13457,6,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0
29142.71,31655,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
30731.94,22479,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
33358.77,17590,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
30315.17,23635,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
33381.82,17381,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
30251.02,27558,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0
30166.85,25049,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
27060.14,17319,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
26841.08,10003,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0
25790.51,21160,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
25148.38,22272,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
24173.53,27015,4,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0
24852.5,22814,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
27825.95,10014,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
26698.08,23055,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
28185.78,19854,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
27241.44,23204,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
30800.66,8017,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
28416.46,14613,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
26653.24,22590,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
27610.86,22881,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
27788.81,26786,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
29986.79,18464,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
29197.79,20907,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
29908.18,19830,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1
29481.53,21822,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1
26792.3,25357,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
29321.08,21545,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
37383.5,16088,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0
34393,24031,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0
38324.81,12090,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
35304.49,21293,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0
28777.96,48991,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
33248.34,27051,4,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0
35580.33,21167,4,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0
30274.71,10800,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0
30122.43,14568,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
32197.34,3867,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0
27109.41,22598,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
30353.59,11273,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0
27256.49,26400,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0
28291.76,22328,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0
24912.08,38717,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
33183.33,9795,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
28502.96,28598,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
35033.22,1676,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
29844.2,23143,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
30075.99,22052,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
28054.98,26276,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
28432.82,25247,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
32746.13,7924,4,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0
31002.73,15087,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0
28829.03,26503,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
31849.31,16956,4,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1
31554.41,20103,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1
