,Predicted_RetailPrice
1,20593.7603066573
2,20166.628852791
3,34237.3956056583
4,34496.2304206726
5,36279.4695071291
6,34328.3927079033
7,36309.8138686938
8,34707.1101054642
9,34123.0964052599
10,26692.7305971178
11,26931.7593127631
12,26260.1843105203
13,26098.7348843962
14,24336.6932945352
15,26020.042807994
16,27753.3313685535
17,25985.0524197782
18,26449.8002732164
19,25963.4193581843
20,28043.2724692458
21,27085.6102257974
22,26052.5649945514
23,26010.3151896933
24,28751.0313137784
25,29959.2886197179
26,29604.5935225765
27,29886.0834569128
28,29596.8682978847
29,28958.5054414145
30,29511.9633662212
31,36372.4202832011
32,35219.18935541
33,37078.0053377788
34,35616.7150107407
35,31720.4106674503
36,34780.7205902168
37,34811.8396132276
38,26816.0442114853
39,27217.2658006373
40,27822.6349231026
41,25926.2813880268
42,26747.3701300494
43,24551.1062190969
44,25142.3131104434
45,23585.9906508916
46,27910.2497133084
47,25180.2734908161
48,29089.0337876803
49,25972.2758464878
50,26130.6763176222
51,25517.4007996832
52,25666.7995941811
53,28056.7749842004
54,27141.9130558905
55,28792.1196119736
56,30178.2326256488
57,29846.447042046
58,28955.166109759
59,29859.2236153364
60,29527.7586514503
61,29430.6578998277
62,15182.6612669587
63,15568.8319892765
64,14551.8179607454
65,14441.1638337055
66,15430.5433592142
67,16308.7779589568
68,14017.3950725788
69,33383.5116952385
70,37508.8929847081
71,37274.5590154956
72,35006.3119345027
73,34575.9434728979
74,35923.2912017033
75,33606.6661628219
76,12593.8745542239
77,14309.6896543794
78,13153.1400123445
79,12930.9812456794
80,15496.4797044694
81,11565.5055926799
82,12002.6676628774
83,13021.5787653749
84,14285.1528261285
85,12571.0799859672
86,12589.5189042386
87,13741.2979487012
88,13317.2028284598
89,13198.4387721922
90,28268.7270755797
91,28421.3502564512
92,24481.3744680252
93,27883.6876168736
94,25923.3849898458
95,28204.4086441291
96,26470.8599499549
97,26127.967611512
98,27765.9823826739
99,25802.8909342711
100,28167.1377463258
101,27275.7116257059
102,26517.1025865887
103,25958.6780154142
104,13569.7278430159
105,14558.004207283
106,13754.5525907281
107,13217.3557592001
108,12992.0028492124
109,13977.7070583115
110,12795.4178465397
111,20002.377983927
112,20975.2850023241
113,20000.6357239328
114,20174.8617233473
115,19940.8181308005
116,23129.074957253
117,24026.6594739543
118,21711.4560753504
119,18861.7784410934
120,21194.7307987536
121,21450.4864157271
122,20187.4931083049
123,20806.3520083921
124,21222.9762981584
125,23050.5280691836
126,22335.5544927528
127,22064.2939672157
128,22500.8450410309
129,21033.5717492952
130,19847.4922758319
131,20406.6125456196
132,20925.696817991
133,19578.748671735
134,19749.8954731088
135,19964.5140721053
136,21350.4516543966
137,21951.4523895439
138,21280.7612546308
139,40318.2723768831
140,39252.7049590797
141,39617.3031059055
142,40665.9984340479
143,39153.1360057987
144,40477.5439780146
145,40760.0804737317
146,36858.5493504588
147,39671.4583540568
148,37568.9861061224
149,39120.4383878575
150,41074.5281596239
151,41626.8548208189
152,39581.7319643584
153,21606.5496614453
154,22223.4548877054
155,20213.0526602066
156,19580.4464765876
157,19962.7479743812
158,21497.3886525572
159,22268.3386999663
160,18244.290416442
161,17723.6450548583
162,19198.0023318525
163,17023.4806883777
164,17979.9511821123
165,20300.7379628644
166,20606.5533116186
167,17592.7338984136
168,18116.0228930394
169,17397.6310221203
170,18172.1805347996
171,16920.5119173393
172,18239.3540131252
173,19810.1163431288
174,14673.610354591
175,13227.0989944522
176,14528.768998272
177,15146.1983780028
178,15580.2812501596
179,15757.1868650654
180,16261.891753087
181,19145.4441553625
182,19008.8521772059
183,19477.4236470799
184,17511.603863404
185,18063.6761303823
186,19684.8188118832
187,19634.9529882171
188,25810.2870888653
189,25531.640435084
190,24866.1273603716
191,25881.2539405758
192,26082.5152129505
193,24645.8766594451
194,24186.0349662727
195,51500.4858765327
196,52347.9501753514
197,46234.3598558967
198,49065.2419697166
199,49790.1673156137
200,51286.7686505842
201,50687.2860242655
202,21269.9599666633
203,19432.099824006
204,19720.5890413699
205,18141.635678625
206,20193.3222531145
207,16610.6549518211
208,18939.4455676106
209,20993.3185986479
210,20711.1874248783
211,19595.9958402927
212,20348.5731949305
213,21055.4289620548
214,20106.4780185771
215,21746.0108985676
216,34465.4202510584
217,32655.5327368585
218,35981.2166890155
219,35670.1443172279
220,34194.2386883542
221,36383.7936929449
222,36058.4928645383
