,Predicted_RetailPrice
1,20690.3488441366
2,20387.9349632576
3,34113.5044307963
4,34421.9130963704
5,36248.7760522642
6,34246.4154785666
7,36280.5052928533
8,34536.2105196975
9,34031.7497073086
10,26478.0688935057
11,26902.6587300441
12,26094.2273289631
13,25925.4095512835
14,24120.7115194382
15,25843.1260661194
16,27587.0741686425
17,25806.5387599862
18,26292.4971290092
19,25783.9183922924
20,27890.2478215456
21,26888.8790611328
22,25877.1325249326
23,25832.9544913851
24,28454.8028265753
25,29718.2034973052
26,29347.3205558741
27,29710.1029397404
28,29407.6883595806
29,28671.7458160567
30,29250.4628740775
31,36277.5233883952
32,35071.6604314563
33,37083.756067767
34,35487.3286646315
35,31481.6474219275
36,34613.1804956735
37,34820.3718990827
38,26781.662535071
39,27094.9888311826
40,27834.1927982502
41,25676.639893169
42,26709.8542537371
43,24413.3555820035
44,25031.5444225729
45,23229.5411895482
46,27819.5996700921
47,24965.0307189054
48,29052.1819875249
49,25793.1790797372
50,25958.8087519033
51,25317.5440999957
52,25473.7612701692
53,27904.3665745341
54,27016.1970806288
55,28497.7663437354
56,29947.1398361028
57,29668.6575680623
58,28668.2540814476
59,29682.0172483103
60,29335.4246346037
61,29165.446727042
62,15178.6264748537
63,15650.867148027
64,14518.9922626063
65,14566.8049043061
66,15495.1319354744
67,16318.376785262
68,14085.934911893
69,33834.9707682419
70,38148.6293428855
71,37903.6006619727
72,35463.3879995293
73,35081.8236532119
74,36490.6626611901
75,34068.3097289386
76,12441.2943974952
77,14398.9340564761
78,13026.0840374448
79,12957.3031060725
80,15476.3708465799
81,11365.9919520745
82,11823.1055569258
83,13052.0353841944
84,14373.2773978189
85,12417.4595134162
86,12436.7399610472
87,13641.084772501
88,13197.6344769933
89,13073.4501765063
90,28675.664955941
91,28766.8080714108
92,24647.0166749119
93,28273.0527739192
94,26154.838768365
95,28608.411111055
96,26795.7454046694
97,26472.2513708632
98,28185.0231044846
99,26132.3385972786
100,28604.4867013649
101,27603.9314002005
102,26810.7003854719
103,26295.235607577
104,13496.731905658
105,14693.6288632405
106,13689.9918256105
107,13128.2779969975
108,13056.1571455626
109,13923.3307863071
110,12850.6002472005
111,20140.4221637828
112,21157.7314517644
113,20138.6003892047
114,20320.7778471323
115,20076.0527953155
116,23303.6111600866
117,24173.7147227479
118,21821.2939107438
119,18947.7670725461
120,21280.9859334383
121,21654.6204682641
122,20333.985712833
123,20874.8820168065
124,21416.7270711187
125,23221.4794894706
126,22580.0819545386
127,22121.7892882835
128,22646.7096097072
