,Predicted_RetailPrice
1,20935.3110333638
2,21398.479765857
3,30117.8209443898
4,31736.3326709172
5,35123.936614384
6,31356.9857314435
7,35191.5662411123
8,32054.7470376455
9,30890.7333427872
10,27883.4927308903
11,30050.3688181599
12,28088.1551778094
13,27756.3546440539
14,24418.7216217592
15,27593.069700703
16,29435.6995811773
17,27520.2097663828
18,28470.4456938717
19,27475.0961314884
20,29756.6135029253
21,28518.6200566005
22,27660.6560090833
23,27572.8283455498
24,27891.1707015245
25,29632.8156911835
26,29159.9533141921
27,30092.8360875486
28,29645.6384939145
29,28210.0606196676
30,29029.7160828958
31,36053.0686297944
32,33355.389452028
33,36711.0277432736
34,34342.2586727042
35,25962.119085246
36,32241.7033916885
37,32984.6532162755
38,29868.5997854657
39,29884.9024128743
40,31152.8935131843
41,26519.1052362243
42,29756.9777927903
43,25346.6527563088
44,26597.3541147245
45,22770.5057065903
46,30889.8610674383
47,25843.0668946933
48,31810.6760585029
49,27493.5713372376
50,27822.37116481
51,26540.5972631211
52,26853.5886922413
53,29770.3096717248
54,29758.1206334585
55,27954.5768625866
56,29900.6974301578
57,30033.2926950683
58,28204.9589757652
59,30052.5511152499
60,29534.8102065347
61,28913.4374732501
62,16321.5372541356
63,16011.3348411127
64,16020.8600919333
65,15492.6091098764
66,16039.5504054164
67,16686.9295333289
68,15549.5985651845
69,37013.9786120122
70,45950.9128779959
71,45856.4580849096
72,41724.8492330838
73,40553.0018822828
74,44014.8834869309
75,37671.6665490351
76,12216.6050369615
77,13585.1856950334
78,12464.56406759
79,12486.1889256311
80,14544.6099148379
81,12170.0661403807
82,12118.1808350212
83,12540.4425740418
84,13561.5199758724
85,12209.5021659841
86,12215.2284413181
87,12857.081941538
88,12561.8147544562
89,12490.3916476089
90,37276.1836554966
91,35419.3988670797
92,30866.5524096312
93,36922.1006335324
94,33324.1464719147
95,37226.9502521442
96,34547.0738173046
97,28057.918802911
98,30646.9068409237
99,27499.9864671953
100,31125.0715228591
101,29731.3990546029
102,28874.6659473263
103,27766.5542576043
104,11867.0293576229
105,12131.9436146801
106,11943.8749157924
107,11767.2914852133
108,11460.2245314166
109,12057.6759716889
110,11455.8932156972
111,19224.0487314116
112,20717.3106260972
113,19221.7294512006
114,19461.0556695175
115,19143.0442138345
116,22868.2154530435
117,23472.7054251422
118,21232.9447974478
119,18089.1566046777
120,20682.1582340111
121,21540.8469099308
122,19478.968759085
123,20313.6626837407
124,21142.4165349734
125,22779.5805212112
126,23094.5055795088
127,22545.2128003263
128,22144.0275794001
129,20523.6349779308
130,20380.8879060744
131,20780.2180733327
132,20421.8568308121
133,20228.4924668898
134,18904.6585701182
135,20455.7181228115
136,21364.9723138857
137,21504.6992566538
138,21243.0488147429
139,39756.3918965241
140,37490.3704341715
141,38403.905538907
142,40347.4469511596
143,37435.4030647639
144,40035.1183976907
145,40495.6574659206
146,33432.470826109
147,38514.1218129953
148,34139.0822783612
149,37251.6516970848
150,40400.2409400996
151,41572.4673754647
152,38331.120892794
153,18082.0404127181
154,18681.660537792
155,19113.4855093801
156,16371.4291878727
157,18848.2208202123
158,20592.8881215473
159,21449.1696224045
160,18372.8184469956
161,17966.9592735066
162,18814.8920128809
163,16682.9502410504
164,17936.5209982499
165,20776.3502168182
166,22502.2338186407
167,17329.1769104053
168,18009.8958398998
169,17065.1297935833
170,18259.3310411421
171,16458.5260302871
172,18368.3873392859
173,19643.4822742593
174,15584.6483810123
175,15403.3910187771
176,15874.4016143443
177,15835.0949327088
178,15894.000064206
179,16045.1636935033
180,16408.4340255673
181,18746.0092408115
182,19166.864736931
183,20613.6597256672
184,17197.8814278064
185,18217.6056063589
186,19471.4319816614
187,20895.8017361777
188,24037.587393893
189,23142.6427250522
190,22685.5870719622
191,23704.683088362
192,24451.7925551685
193,22406.1629518796
194,21291.9572520832
195,65597.8642488954
196,64454.9772950871
197,49479.0193201569
198,61551.8248621911
199,63738.2828934444
200,65662.1427230971
201,65370.6583743262
202,18266.2434466574
203,16986.7200817582
204,17430.9186828748
205,15408.3435692065
206,18188.0675362513
207,14589.0719998775
208,16415.4811930026
209,21295.209650006
210,20279.254912514
211,18727.4765505215
212,19947.3327325773
213,20853.5913018418
214,19365.3709917151
215,21271.5940185008
216,32183.135753948
217,27776.6021944306
218,34711.2798853585
219,34471.6001745565
220,31052.3870570198
221,36002.2879325326
222,34617.8611922234
223,24253.617999875
224,30250.9868993909
225,26519.6598708654
226,21832.4333710021
227,27112.1142867044
228,28007.1606138066
229,27449.2169070971
230,30310.854895771
231,28943.7123487195
232,30208.6122962157
233,25266.563905393
234,30437.799380843
235,31999.3910469885
236,29838.4184516314
237,28240.8651994817
238,25493.9589071876
239,28288.7474889306
240,29818.5031697091
241,12544.8445784418
242,12514.6692576424
243,12288.6136116645
244,12840.3976899931
245,13042.8798633867
246,12383.2033456092
247,12127.0667684503
248,12133.8450266686
