,Predicted_RetailPrice
1,-798430.010797329
2,-158744.621416031
3,-76390.5931456202
4,292964.564126393
5,-157199.087418978
6,300798.912595157
7,-157084.621225992
8,-553.371494294635
9,310063.197221006
10,762841.881746871
11,-275345.613540329
12,-743865.238711136
13,-728401.292234188
14,262406.572377333
15,-717926.822698995
16,634929.000679764
17,-712688.252804927
18,-750842.974059034
19,-709275.839724986
20,588009.582110326
21,724251.750766501
22,-722478.451543574
23,-716505.649846802
24,811179.06672301
25,730566.124510081
26,765551.076373275
27,425480.548123334
28,389738.694954115
29,806683.611293875
30,773910.576254082
31,-99703.317102266
32,-50764.6441236409
33,-139292.519499311
34,-66883.3755634533
35,-162639.74962973
36,-10466.264954989
37,-538209.649043128
38,-275382.609317927
39,-678596.071160008
40,-287108.682843911
41,819894.996020988
42,-275535.83211407
43,-151852.958435648
44,-213455.689861957
45,603911.707646325
46,-551099.300632241
47,-520238.01561684
48,-367007.567351704
49,-710688.740488466
50,-732119.396043296
51,-612847.004721538
52,-650122.580081012
53,585765.638474355
54,-689934.728500141
55,810525.210654691
56,709882.119039398
57,420874.818817235
58,806783.301703666
59,422379.524812065
60,381349.762186087
61,780697.774375671
62,-215336.055408103
63,-299289.894813141
64,-258603.972105558
65,-929666.202520785
66,-1141975.01523061
67,85925.6491431694
68,-944341.276412344
69,181828.911902537
70,158120.381663132
71,228983.2460137
72,586546.571163691
73,496387.704949779
74,531643.533973705
75,246105.363558984
76,460165.421088424
77,384164.791495656
78,459041.492130005
79,462005.399896077
80,86309.042545783
81,349428.736794477
82,399403.762009978
83,467987.593229922
84,388302.678141199
85,458733.444913325
86,459901.329707028
87,428597.106700502
88,450952.970759741
89,456918.93860344
90,516204.500777522
91,610588.791066217
92,539427.107019213
93,595994.791985113
94,648132.543038594
95,530022.25370798
96,714100.03968399
97,-587343.967402208
98,-298110.357474798
99,-658699.708170084
100,-271566.164053646
101,-110151.466142754
102,-137797.982877768
103,-626779.486976515
104,-569215.86961138
105,-1199229.29969356
106,-572706.269108572
107,-546065.472201508
108,-1047694.07133628
109,-565777.837004475
110,-1009438.49035746
111,300644.302082193
112,278780.653657397
113,300691.188611361
114,298471.252876313
115,302641.828572963
116,-47734.4712782358
117,-383901.541057507
118,328458.346179523
119,381622.638115117
120,415867.417888972
121,198004.813258343
122,298476.767102656
123,431829.354985766
124,243384.775552308
125,-36583.3355290223
126,4986.43699367228
127,-356821.325653426
128,78881.8281604081
129,426789.826781345
130,-663514.112103087
131,-776222.602918363
132,430520.416356568
133,-591693.059206899
134,313249.545492733
135,-691672.72594275
136,219235.557774389
137,256639.837390567
138,232883.788542548
139,-769695.621254738
140,357036.174555346
141,-723820.384867409
142,-727850.182351882
143,-610216.622119515
144,-755258.295145692
145,-710385.211804915
146,442392.101740201
147,-733486.794202048
148,-60542.3139194596
149,361846.432836181
150,102012.609945399
151,-478386.693835717
152,-716993.996202152
153,-1105970.79421269
154,-1067141.6246952
155,-615459.284450492
156,-766624.063244023
157,-655282.395433348
158,-413537.98600864
159,-264431.675267543
160,415998.786468489
161,451082.824404995
162,1045117.40999836
163,-223458.444246774
164,721636.626283707
165,419661.350603209
166,422306.428475858
167,683006.385805255
168,-303380.379263094
169,-291784.48611834
170,738101.554684714
171,648609.994784735
172,416356.188656768
173,905860.503977999
174,-967186.942495751
175,-709583.609940084
176,-133362.121525802
177,-1038813.33977543
178,-1221699.25768296
179,-1052159.50968578
180,-1144435.84101886
181,1049332.63999653
182,384440.31072261
183,588794.43531155
184,-305726.831195869
185,429315.143497936
186,943307.489297364
187,556368.855822326
188,-203857.976026522
189,875472.592271807
190,-107813.554126361
191,860816.548692556
192,-189282.371506461
193,-66585.4924361991
194,770889.028416347
195,-117118.20873287
196,-149420.878461302
197,-331018.584965156
198,-279461.53954444
199,-220999.543885273
200,-115255.778535197
201,-150545.437653593
202,227800.040982711
203,-344110.338542329
204,-269259.718147654
205,299308.807783571
206,-145153.968281143
207,-177374.487674348
208,348131.473969071
209,-806970.50257531
210,297837.589174065
211,325344.367538527
212,424816.280874942
213,269133.609645898
214,298791.200695431
215,319150.784643013
216,-515094.300304263
217,258449.664288139
218,253018.089637084
219,-68520.2332658495
220,307065.696165698
221,-620592.216166439
222,-154149.203609169
223,258169.365028129
224,495445.74920457
225,-610212.522862006
226,505155.488469354
227,288648.999615794
228,-740852.072573849
229,-253829.588098767
230,440759.416434713
231,778995.822391159
232,690492.793631416
233,100705.327807294
234,448165.986467947
235,405280.870530734
236,714567.375233694
237,806058.715473585
238,140443.315094536
239,99361.5888141237
240,716091.652421716
241,452363.769654472
242,465370.690571792
243,427824.362677394
244,429867.074235183
245,458086.534237432
246,464928.462012679
247,418952.161356849
248,425798.127497805
249,375540.227962337
250,475272.898750794
251,454309.098721101
252,124829.712530275
253,467376.482139979
254,461135.368921875
255,-142223.266765293
256,-200055.63018173
257,-143302.184436618
258,494363.294482552
259,564500.176065848
260,-158582.632337827
261,472755.332278227
262,-111910.472864495
263,164279.344496522
264,-406904.730256804
265,126241.426863103
266,-139996.85759945
267,-410693.25958255
268,-425162.206048797
269,64927.1863284467
270,-200654.135187431
271,-648764.280196707
272,39513.1224069511
273,93725.6467585369
274,-639193.677256667
275,98762.0281689093
276,-1071185.85251044
277,167711.551899193
278,153035.50289347
279,192618.715129083
280,272630.415450405
281,667416.914254786
282,270035.684486148
283,22800.3494684966
284,278731.26449735
285,-62339.5212113949
286,-1268150.2791935
287,-940871.912985474
288,-1267675.92872679
289,-1053583.92392517
290,-123777.501586528
291,104608.221196695
292,287021.075084263
293,181415.87396232
294,14692.7926958894
295,-1309389.53338515
296,-377396.887569957
297,-394195.670668382
298,-472785.343713473
299,321394.858057866
300,-476492.938866369
301,-409689.143311139
302,-458991.979432324
303,-437724.168136381
304,-1037230.49060217
305,-1015427.88141371
306,-564463.296279471
307,-546059.047543654
308,-593334.247731583
309,-607881.87461632
310,-588909.416649919
311,399788.680493867
312,430712.857734495
313,432181.431637329
314,54421.3074411166
315,438179.115634875
316,315973.359739241
317,131014.467305499
318,234506.657689356
319,140778.099213425
320,-1302322.80290639
321,85871.9786704239
322,-1203473.76059601
323,217695.330943386
324,-1272123.49337809
325,494235.902576246
326,845652.598708165
327,535710.630854662
328,626593.766837633
329,681293.556684191
330,-139962.558531164
331,284855.911593522
332,256650.601396418
333,284847.855722822
334,-321319.898540488
335,-283425.793295494
336,279125.863515445
337,271443.599790707
338,90396.4754142055
339,-530301.283712226
340,-649609.96523384
341,73549.2711643455
342,-648117.798347555
343,109900.324144395
344,103012.532710538
345,341112.472970702
346,43515.3570276099
347,-1306896.26877161
348,435495.935569534
349,409741.713354884
350,227845.875831285
351,709583.390232438
352,91177.4319847126
353,-1232367.1588109
354,177617.764048432
355,-641831.540526114
356,-1259260.2265273
357,-1164651.53660674
358,148198.436060911
359,-1037800.91421044
360,-1027967.59401746
361,-1016836.73892152
362,-1029845.27105342
363,-1032925.58306733
364,-229676.714438932
365,-586943.249766904
366,-657052.207704329
367,-534112.187065105
368,-67307.9496888004
369,76241.8295106715
370,98634.7177647728
371,-44330.4552635932
372,66576.5365187954
373,-194817.011924085
374,-71862.993805056
375,-546097.602627738
376,-307903.848156351
377,-295579.009760655
378,-553859.859992292
379,-319920.692815858
380,-402705.640959603
381,-541604.140868134
382,-646773.498507405
383,-396739.283789704
384,-242801.605690646
385,-431382.438157934
386,-60380.3372461665
387,1012625.73000943
388,724532.840302204
389,420244.136821952
390,729627.756489077
391,739819.883610409
392,709120.965632685
393,885746.585980799
394,-156635.025319312
395,-53201.9035907004
396,-270208.708950131
397,311176.83981481
398,314922.370730513
399,-53252.3871486413
400,314685.088098189
401,300332.811686323
402,299207.954870307
403,430200.10470472
404,-309591.2468199
405,8765.37492467438
406,134172.911333789
407,-80338.0502818244
408,431394.868248391
409,-325365.98020029
410,30968.6452585565
411,-203616.169459559
412,398933.364725263
413,-99048.8189595952
414,173911.991786635
