,Predicted_Type
1,WinF
2,WinF
3,WinNF
4,WinF
5,WinF
6,WinNF
7,WinF
8,WinF
9,WinNF
10,WinNF
11,WinNF
12,WinF
13,WinNF
14,WinF
15,WinF
16,WinF
17,WinF
18,WinF
19,WinF
20,WinNF
21,WinNF
22,WinF
23,WinNF
24,WinNF
25,WinF
26,WinF
27,WinNF
28,WinF
29,WinNF
30,WinF
31,WinNF
32,WinF
33,WinNF
34,WinF
35,WinNF
36,WinNF
37,WinNF
38,WinNF
39,WinF
40,WinF
41,WinF
42,WinF
43,WinNF
44,WinF
45,WinNF
46,WinNF
47,WinNF
48,WinF
49,WinF
50,WinNF
51,WinF
52,WinNF
53,WinF
54,WinNF
55,WinNF
56,WinNF
57,Veh
58,WinF
59,WinF
60,WinF
61,WinF
62,WinF
63,WinF
64,WinF
65,WinF
66,WinF
67,WinF
68,WinF
69,WinF
70,WinF
71,WinNF
72,WinNF
73,WinNF
74,WinNF
75,WinNF
76,WinNF
77,WinNF
78,WinNF
79,WinF
80,WinNF
81,WinNF
82,WinNF
83,WinF
84,WinNF
85,WinNF
86,WinNF
87,WinF
88,WinNF
89,WinNF
90,WinNF
91,WinNF
92,WinNF
93,WinNF
94,WinNF
95,WinNF
96,WinNF
97,WinNF
98,WinF
99,WinNF
100,WinNF
101,WinNF
102,WinNF
103,WinF
104,WinF
105,WinNF
106,Con
107,WinNF
108,WinNF
109,WinNF
110,Tabl
111,WinNF
112,WinNF
113,WinNF
114,WinF
115,WinF
116,WinF
117,WinNF
118,WinNF
119,WinNF
120,WinNF
121,WinNF
122,WinNF
123,WinNF
124,WinNF
125,WinF
126,WinNF
127,WinNF
128,WinNF
129,WinNF
130,WinNF
131,WinNF
132,WinNF
133,WinF
134,WinNF
135,WinF
136,WinNF
137,WinF
138,WinNF
139,WinNF
140,WinNF
141,WinNF
142,WinF
143,WinNF
144,WinNF
145,WinNF
146,WinNF
147,WinF
148,WinNF
149,WinNF
150,WinNF
151,WinNF
152,WinF
153,WinF
154,WinNF
155,WinNF
156,WinF
157,WinNF
158,WinF
159,WinNF
160,WinNF
161,WinNF
162,WinF
163,WinNF
164,Con
165,Con
166,WinNF
167,Con
168,Con
169,WinNF
170,Con
171,Con
172,Con
173,Con
174,Con
175,Con
176,Con
177,Tabl
178,Tabl
179,Tabl
180,Tabl
181,Tabl
182,Tabl
183,Tabl
184,Tabl
185,Tabl
186,Head
187,Head
188,WinF
189,Head
190,Head
191,Head
192,Head
193,Head
194,Head
195,Head
196,Head
197,Head
198,Head
199,Head
200,Head
201,Head
202,Head
203,Head
204,Head
205,Head
206,Head
207,Head
208,Head
209,Head
210,Head
211,Head
212,Head
213,Head
214,Head
